X,Y,Total_de_notas
6,2000.0,49
6,2666.0,1
6,3334.0,1
6,0.0,335
6,500.0,61
6,1000.0,98
6,1500.0,219
6,2500.0,92
6,3000.0,157
6,3500.0,80
6,2750.0,4
6,3250.0,19
6,3750.0,4
6,250.0,2
7,0.0,282
7,2000.0,4
8,0.0,125
8,3916.0,56
8,3958.0,41
8,2000.0,21
8,2666.0,1
8,2708.0,1
8,3376.0,1
8,3416.0,1
8,3666.0,2
8,166.0,1
8,3876.0,10
8,416.0,3
8,1000.0,6
8,1458.0,1
8,1666.0,2
8,2126.0,2
8,1416.0,1
8,876.0,1
8,1958.0,2
8,2916.0,1
8,3000.0,1
8,1876.0,3
8,126.0,1
8,1916.0,4
8,3834.0,7
8,3792.0,1
9,2000.0,12
9,2626.0,10
9,2666.0,12
9,3292.0,8
9,3334.0,14
9,3958.0,7
9,0.0,14
9,1958.0,4
9,1916.0,4
9,3916.0,5
9,1876.0,1
9,2584.0,2
9,3250.0,2
9,3834.0,1
11,1000.0,104
11,2584.0,82
11,3000.0,104
11,584.0,89
11,2542.0,16
11,542.0,13
11,2626.0,6
11,626.0,2
