X,Y,Total_de_notas
0,120.0,72
0,372.0,7
0,388.0,5
0,400.0,14
0,412.0,3
0,480.0,19
0,532.0,4
0,536.0,1
0,556.0,1
0,564.0,4
0,720.0,87
0,800.0,12
0,808.0,4
0,0.0,317
0,60.0,35
0,68.0,26
0,84.0,1
0,128.0,12
0,144.0,5
0,184.0,7
0,240.0,220
0,268.0,14
0,280.0,17
0,600.0,156
0,640.0,36
0,660.0,19
0,664.0,30
0,36.0,10
0,48.0,15
0,300.0,20
0,324.0,16
0,616.0,8
0,676.0,17
0,756.0,11
0,764.0,5
0,840.0,131
0,844.0,18
0,868.0,5
0,76.0,19
0,92.0,10
0,312.0,10
0,644.0,6
0,684.0,9
0,52.0,10
0,132.0,7
0,136.0,7
0,308.0,10
0,320.0,25
0,360.0,43
0,404.0,6
0,424.0,6
0,428.0,7
0,636.0,5
0,784.0,9
0,788.0,7
0,908.0,10
0,44.0,15
0,288.0,16
0,304.0,24
0,656.0,18
0,40.0,10
0,56.0,20
0,64.0,19
0,816.0,7
0,864.0,6
0,884.0,5
0,104.0,5
0,220.0,8
0,232.0,16
0,332.0,16
0,352.0,22
0,396.0,14
0,464.0,6
0,468.0,5
0,492.0,16
0,496.0,11
0,572.0,4
0,716.0,7
0,724.0,12
0,728.0,5
0,744.0,9
0,768.0,15
0,848.0,12
0,228.0,23
0,236.0,10
0,284.0,21
0,776.0,5
0,780.0,7
0,164.0,11
0,416.0,5
0,420.0,7
0,680.0,13
0,736.0,5
0,796.0,9
0,852.0,6
0,188.0,5
0,296.0,5
0,368.0,7
0,668.0,8
0,704.0,16
0,872.0,10
0,876.0,8
0,88.0,9
0,316.0,11
0,652.0,13
0,692.0,18
0,80.0,11
0,192.0,9
0,900.0,5
0,916.0,6
0,940.0,5
0,952.0,7
0,956.0,8
0,476.0,13
0,512.0,4
0,112.0,7
0,152.0,3
0,196.0,1
0,292.0,4
0,516.0,1
0,648.0,10
0,888.0,3
0,924.0,1
0,200.0,1
0,224.0,1
0,336.0,6
0,708.0,6
0,832.0,3
0,836.0,1
0,116.0,15
0,204.0,2
0,208.0,1
0,356.0,18
0,560.0,6
0,604.0,5
0,944.0,3
0,472.0,8
0,592.0,3
0,712.0,13
0,804.0,9
0,820.0,13
0,264.0,11
0,608.0,6
0,508.0,4
0,544.0,3
0,904.0,3
0,364.0,7
0,440.0,3
0,444.0,3
0,328.0,4
0,696.0,4
0,252.0,4
0,408.0,5
0,488.0,12
0,584.0,5
0,596.0,22
0,752.0,8
0,108.0,10
0,256.0,4
0,272.0,6
0,732.0,10
0,740.0,8
0,688.0,4
0,812.0,6
0,72.0,5
0,772.0,6
0,792.0,6
0,896.0,3
0,928.0,1
0,348.0,3
0,484.0,2
0,344.0,6
0,504.0,2
0,340.0,4
0,376.0,2
0,168.0,2
0,212.0,3
0,588.0,2
0,276.0,2
0,748.0,2
0,172.0,2
0,176.0,2
0,524.0,2
0,528.0,2
0,140.0,2
0,620.0,3
0,432.0,1
0,452.0,3
0,912.0,1
0,436.0,1
0,148.0,1
0,156.0,1
0,160.0,4
0,100.0,1
0,448.0,2
1,120.0,13
1,480.0,132
1,696.0,5
1,720.0,73
1,944.0,25
1,0.0,133
1,268.0,4
1,372.0,14
1,400.0,15
1,828.0,9
1,840.0,94
1,876.0,10
1,340.0,50
1,360.0,119
1,396.0,34
1,508.0,20
1,600.0,48
1,636.0,20
1,336.0,14
1,808.0,10
1,872.0,10
1,820.0,18
1,888.0,14
1,64.0,10
1,240.0,38
1,932.0,10
1,12.0,10
1,80.0,5
1,92.0,9
1,252.0,5
1,852.0,9
1,948.0,5
1,324.0,13
1,392.0,17
1,488.0,5
1,836.0,5
1,796.0,3
1,316.0,5
1,388.0,12
1,812.0,8
1,884.0,8
1,776.0,8
1,288.0,4
1,380.0,4
1,576.0,4
1,616.0,4
1,312.0,5
1,896.0,4
1,216.0,3
1,308.0,3
1,440.0,4
1,728.0,4
1,788.0,8
1,952.0,12
1,376.0,4
1,452.0,3
1,568.0,3
1,676.0,3
1,328.0,4
1,384.0,4
1,864.0,4
1,904.0,8
1,348.0,4
1,368.0,4
1,404.0,4
1,764.0,8
1,192.0,4
1,436.0,4
1,456.0,4
1,560.0,4
1,724.0,8
1,108.0,4
1,228.0,4
1,608.0,4
1,612.0,4
1,824.0,4
1,844.0,4
1,572.0,4
1,632.0,4
1,332.0,4
1,220.0,3
1,300.0,7
1,460.0,4
1,924.0,4
1,408.0,4
1,588.0,4
1,264.0,4
1,756.0,8
1,596.0,4
1,84.0,7
1,212.0,8
1,444.0,8
1,620.0,4
1,644.0,4
1,716.0,4
1,900.0,8
1,116.0,4
1,920.0,1
1,364.0,1
1,432.0,1
1,512.0,1
1,784.0,1
1,160.0,1
1,344.0,1
1,140.0,1
2,120.0,75
2,360.0,93
2,376.0,5
2,396.0,5
2,480.0,27
2,484.0,1
2,512.0,1
2,536.0,1
2,720.0,103
2,752.0,5
2,772.0,9
2,776.0,5
2,0.0,391
2,48.0,20
2,64.0,23
2,240.0,364
2,312.0,47
2,600.0,258
2,688.0,5
2,692.0,33
2,700.0,15
2,68.0,41
2,76.0,42
2,80.0,15
2,284.0,23
2,304.0,34
2,672.0,24
2,676.0,20
2,72.0,40
2,292.0,17
2,332.0,10
2,336.0,5
2,680.0,15
2,684.0,15
2,20.0,5
2,52.0,24
2,280.0,5
2,300.0,14
2,652.0,21
2,36.0,9
2,328.0,20
2,656.0,13
2,668.0,20
2,60.0,22
2,872.0,5
2,876.0,5
2,896.0,9
2,908.0,13
2,44.0,29
2,496.0,5
2,500.0,13
2,532.0,5
2,540.0,5
2,84.0,23
2,108.0,9
2,296.0,9
2,308.0,23
2,324.0,5
2,696.0,10
2,704.0,17
2,708.0,23
2,320.0,9
2,348.0,18
2,664.0,9
2,316.0,5
2,88.0,9
2,340.0,5
2,356.0,17
2,716.0,5
2,56.0,13
2,724.0,9
