X,Y,Total_de_notas
2,2500.0,4
2,2948.0,4
2,3000.0,4
2,3448.0,6
2,3500.0,4
2,2448.0,2
2,0.0,7
2,3594.0,7
2,1500.0,1
2,1948.0,1
2,2000.0,1
2,3948.0,1
3,3500.0,19
3,3718.0,1
3,3750.0,1
3,3968.0,1
3,0.0,7
3,448.0,15
3,500.0,15
3,2448.0,8
3,2500.0,14
3,2948.0,7
3,3000.0,8
3,3448.0,10
3,3948.0,6
3,948.0,11
3,1000.0,11
3,1448.0,10
3,1500.0,13
3,1948.0,7
3,2000.0,7
3,3396.0,6
3,2896.0,3
3,896.0,1
3,3594.0,1
3,2396.0,4
3,3698.0,2
3,1896.0,1
3,3604.0,1
3,3626.0,1
3,1792.0,1
4,2500.0,10
4,2948.0,2
4,3000.0,4
4,3448.0,4
4,3500.0,12
4,3948.0,7
4,0.0,9
4,448.0,4
4,500.0,6
4,948.0,3
4,1000.0,6
4,1448.0,6
4,1500.0,13
4,1948.0,6
4,2000.0,6
4,2448.0,8
4,3396.0,8
4,3594.0,2
4,1396.0,1
4,2896.0,2
4,896.0,1
4,2396.0,1
4,218.0,1
4,250.0,1
4,468.0,1
4,718.0,1
4,750.0,1
4,968.0,1
4,3698.0,1
4,1344.0,6
4,1792.0,2
5,0.0,127
5,448.0,170
5,1000.0,115
5,1448.0,83
5,2000.0,67
5,2448.0,70
5,2500.0,183
5,2948.0,159
5,3500.0,124
5,3948.0,65
5,500.0,82
5,948.0,79
5,1500.0,103
5,1948.0,44
5,3000.0,45
5,3448.0,45
5,2396.0,56
5,1896.0,32
5,3396.0,24
5,896.0,16
5,3604.0,1
5,3626.0,1
5,3698.0,3
6,0.0,45
6,1344.0,49
6,1500.0,54
6,1948.0,43
6,2000.0,44
6,3792.0,5
6,2896.0,16
6,3000.0,33
6,3448.0,24
6,3500.0,40
6,3948.0,30
6,3344.0,16
6,2448.0,17
6,2500.0,17
6,2948.0,17
6,3896.0,9
6,448.0,4
6,500.0,4
6,948.0,3
6,1000.0,3
6,1448.0,2
6,1896.0,1
6,1396.0,1
6,3594.0,1
7,0.0,93
7,448.0,88
7,1000.0,145
7,1448.0,96
7,1500.0,57
7,1948.0,57
7,2000.0,54
7,2448.0,49
7,2500.0,46
7,2948.0,46
7,3000.0,111
7,3448.0,62
7,3500.0,54
7,3948.0,54
7,500.0,18
7,948.0,18
7,1896.0,49
7,3896.0,49
7,896.0,5
7,2896.0,5
