X,Y,Total_de_notas
2,1012.0,8
2,3006.0,12
2,996.0,9
2,3004.0,7
2,1004.0,14
2,2994.0,5
2,3000.0,7
2,3664.0,5
2,6.0,16
2,18.0,12
2,702.0,5
2,994.0,6
2,1008.0,9
2,2032.0,6
2,2034.0,5
2,2662.0,3
2,2992.0,5
2,2998.0,10
2,3994.0,4
2,14.0,13
2,650.0,3
2,1000.0,7
2,1006.0,9
2,1696.0,1
2,2004.0,10
2,2018.0,13
2,3008.0,8
2,3012.0,11
2,8.0,17
2,30.0,4
2,1002.0,9
2,1678.0,3
2,1996.0,9
2,2008.0,16
2,2694.0,1
2,2988.0,8
2,3016.0,10
2,36.0,6
2,666.0,2
2,988.0,5
2,1030.0,5
2,1984.0,9
2,2676.0,4
2,3018.0,10
2,3996.0,4
2,1034.0,8
2,1692.0,4
2,2016.0,15
2,3010.0,14
2,3648.0,1
2,26.0,6
2,674.0,5
2,986.0,8
2,2036.0,2
2,2696.0,3
2,2986.0,5
2,3034.0,5
2,12.0,11
2,684.0,5
2,1036.0,6
2,1688.0,2
2,2014.0,7
2,2990.0,6
2,3116.0,1
2,3246.0,1
2,3392.0,1
2,3518.0,1
2,3620.0,2
2,3752.0,2
2,3868.0,1
2,0.0,8
2,112.0,1
2,254.0,2
2,392.0,1
2,482.0,1
2,614.0,2
2,738.0,1
2,892.0,1
2,1010.0,10
2,1662.0,3
2,1988.0,6
2,2684.0,4
2,2982.0,4
2,694.0,3
2,984.0,4
2,2024.0,5
2,2656.0,2
2,3026.0,6
2,3668.0,7
2,3986.0,8
2,20.0,6
2,1028.0,3
2,1664.0,3
2,2020.0,6
2,2996.0,9
2,3660.0,1
2,3988.0,2
2,682.0,5
2,992.0,8
2,2030.0,6
2,2688.0,3
2,2.0,9
2,656.0,1
2,1032.0,4
2,1686.0,4
2,2000.0,9
2,3686.0,4
2,3992.0,6
2,1026.0,4
2,1654.0,2
2,2682.0,4
2,2980.0,2
2,2658.0,4
2,3694.0,1
2,3984.0,6
2,1684.0,6
2,1992.0,5
2,2006.0,7
2,3028.0,4
2,3656.0,1
2,32.0,2
2,998.0,14
2,2010.0,13
2,2700.0,2
2,662.0,3
2,2012.0,7
2,3676.0,4
2,16.0,11
2,1682.0,3
2,2668.0,4
2,2984.0,6
2,664.0,1
2,1020.0,6
2,1994.0,4
2,2680.0,3
2,3696.0,1
2,3998.0,7
2,1014.0,6
2,1700.0,3
2,2028.0,2
2,3658.0,3
2,690.0,1
2,982.0,2
2,3002.0,9
2,10.0,7
2,676.0,6
2,1018.0,7
2,3024.0,6
2,24.0,6
2,1650.0,1
2,3020.0,7
2,698.0,1
2,1016.0,8
2,3032.0,6
2,3662.0,1
2,1680.0,4
2,1998.0,8
2,2686.0,2
2,1982.0,3
2,3036.0,6
2,2698.0,3
2,108.0,2
2,266.0,1
2,364.0,1
2,498.0,2
2,640.0,1
2,748.0,2
2,876.0,1
2,1144.0,3
2,1268.0,1
2,1374.0,1
2,1480.0,1
2,1606.0,1
2,1734.0,2
2,1864.0,1
2,2666.0,3
2,686.0,1
2,3688.0,3
2,1986.0,5
2,2692.0,3
2,3990.0,5
2,3680.0,2
2,696.0,1
2,4.0,3
2,654.0,2
2,1670.0,4
2,3698.0,4
2,1024.0,7
2,1674.0,5
2,2002.0,7
2,2678.0,1
2,1990.0,3
2,3678.0,2
2,2026.0,3
2,990.0,4
2,3030.0,3
2,3670.0,3
2,118.0,2
2,260.0,1
2,354.0,1
2,504.0,2
2,630.0,1
2,734.0,1
2,866.0,2
2,1130.0,1
2,1230.0,1
2,1380.0,1
2,1494.0,1
2,1608.0,1
2,1764.0,2
2,2664.0,2
2,3980.0,2
2,34.0,2
2,2674.0,3
2,28.0,1
2,1702.0,2
2,2670.0,2
2,668.0,1
2,2646.0,1
2,3982.0,3
2,3014.0,4
2,1668.0,1
2,3646.0,1
2,700.0,1
2,670.0,3
2,3666.0,2
2,2702.0,1
2,3682.0,3
2,3652.0,2
2,1694.0,1
2,3684.0,2
2,1646.0,1
2,2716.0,1
2,3650.0,1
2,1690.0,1
2,1980.0,1
2,2850.0,1
2,1652.0,1
2,3852.0,1
2,680.0,1
2,3690.0,1
2,38.0,1
2,1660.0,1
2,688.0,3
2,1676.0,1
2,658.0,1
2,2690.0,1
2,3674.0,1
2,980.0,1
2,252.0,1
2,386.0,1
2,506.0,1
2,644.0,1
2,740.0,1
2,886.0,1
2,1248.0,1
2,1376.0,2
2,1486.0,1
2,1642.0,1
2,1870.0,1
2,2142.0,1
2,2234.0,2
2,2390.0,1
2,2492.0,1
2,2642.0,1
2,2740.0,1
2,2884.0,2
2,3110.0,1
2,3250.0,1
2,3390.0,1
2,3492.0,1
2,3632.0,1
2,3884.0,1
2,120.0,1
2,246.0,1
2,374.0,1
2,878.0,1
2,1120.0,1
2,1240.0,1
2,1384.0,1
2,1500.0,1
2,1636.0,1
2,1732.0,1
2,1856.0,1
2,2110.0,1
2,2232.0,1
2,2382.0,1
2,2494.0,1
2,2616.0,1
2,2744.0,1
2,2858.0,1
2,814.0,1
2,1150.0,1
2,2128.0,1
2,2260.0,2
2,2376.0,1
2,2514.0,1
2,2604.0,1
2,2738.0,2
2,2860.0,1
2,3134.0,1
2,3234.0,1
2,3354.0,1
2,3512.0,1
2,3612.0,1
2,3756.0,2
2,3886.0,1
2,370.0,1
2,492.0,1
2,612.0,1
2,762.0,1
2,890.0,1
2,1242.0,1
2,1510.0,1
2,1614.0,1
2,1874.0,1
2,2124.0,1
2,2388.0,1
2,2490.0,1
2,2618.0,1
2,3128.0,1
2,3266.0,1
2,3388.0,1
2,3496.0,1
2,3892.0,1
2,144.0,1
2,244.0,1
2,376.0,1
2,624.0,1
2,750.0,1
2,1106.0,1
2,1238.0,1
2,1392.0,1
2,1506.0,1
2,1610.0,1
2,1736.0,1
2,1868.0,1
2,2116.0,1
2,2374.0,1
2,2496.0,1
2,2632.0,1
2,2742.0,1
2,2868.0,1
3,3012.0,5
3,684.0,2
3,1998.0,7
3,0.0,4
3,1676.0,3
3,2982.0,2
3,984.0,5
3,2678.0,1
3,3992.0,5
3,2012.0,2
3,3662.0,2
3,668.0,2
3,10.0,1
