Track name, Artist name, Album, Playlist name, Type, ISRC
"Machine Gun - Live at the Fillmore East, NY - 1/1/70 - 1st Set",Jimi Hendrix,Band Of Gypsys,VisualMusic,Playlist track,USQX90900802
Bachianinha No. 1,Toquinho,Toquinho e Paulinho Nogueira,VisualMusic,Playlist track,BRMVP0300121
Take Five,The Dave Brubeck Quartet,Legacy Of A Legend,VisualMusic,Playlist track,USSM15900108
Gírias Do Norte,Marinês E Sua Gente,O Nordeste E Seu Ritmo,VisualMusic,Playlist track,BRBMG6100100
Gírias do Norte / De Quinze Prá Trás / Sapo No Saco,Xangai,Mutirão da Vida,VisualMusic,Playlist track,BRKUA8401904
Blue Rondo à la Turk,The Dave Brubeck Quartet,Time Out,VisualMusic,Playlist track,USSM15900106
Ninho de Vespa,Spokfrevo Orquestra,Ninho de Vespa,VisualMusic,Playlist track,BRQ3L1300007
Wave,Antônio Carlos Jobim,Bossa Nova,VisualMusic,Playlist track,ARG990900585
The Optimist,Anathema,The Optimist,VisualMusic,Playlist track,GBCQV1700074
Demons,Imagine Dragons,Night Visions,VisualMusic,Playlist track,USUM71201071
Tanguillos de la Frontera,Son De La Frontera,Cal,VisualMusic,Playlist track,ES5120601010
Take Five,The Dave Brubeck Quartet,Time Out,VisualMusic,Playlist track,USSM15900108
Cordilheira,Djavan,Malásia,VisualMusic,Playlist track,BRSME9600391
O Quereres - Ao Vivo,Maria Bethânia,Maricotinha (ao Vivo),VisualMusic,Playlist track,BRPUI0200071
Maracatu Atômico,Chico Science,Afrociberdelia,VisualMusic,Playlist track,BRSME9600102
A Thousand Years,Christina Perri,A Thousand Years,VisualMusic,Playlist track,USAT21102141
Eu Só Quero Acabar Com Você,Validuaté,Alegria Girar,VisualMusic,Playlist track,BRZMN0900007
Blood Sweat & Tears,BTS,Wings,VisualMusic,Playlist track,KRA381601892
Mujeres Del Latino-America,Casas Populares da BR 232,Negraíndia,VisualMusic,Playlist track,BR15E1900004
A Praieira,Chico Science,Da Lama Ao Caos,VisualMusic,Playlist track,BRSME9400005
The Climb,Miley Cyrus,The Time Of Our Lives (International Version),VisualMusic,Playlist track,USWD10935758
"Symphony No.2 in E minor, Op.27: 2. Allegro molto - Live",Sergei Rachmaninoff,50 Best – Rachmaninoff,VisualMusic,Playlist track,AUAB01250063
"Machine Gun - Live at the Fillmore East, NY - 12/31/69 - 1st Set",Jimi Hendrix,Songs For Groovy Children: The Fillmore East Concerts,VisualMusic,Playlist track,USQX91601433
Esperança e Luta,Tim Rescala,Velho Chico (Música Original de Tim Rescala),VisualMusic,Playlist track,BRRGE1600858
Hearing Blue,Little Tybee,For Distant Viewing,VisualMusic,Playlist track,USCL81302403
Eu Não Existo Sem Você - Ao Vivo,Antônio Carlos Jobim,Tom Jobim Canta Vinicius (Ao Vivo),VisualMusic,Playlist track,BRJ9B0900007
Corrente,Chico Buarque,Meus Caros Amigos,VisualMusic,Playlist track,BRPGD7600074
Hora Do Adeus,Luiz Gonzaga,Óia Eu Aqui De Novo,VisualMusic,Playlist track,BRBMG6700107
Manha de Carnaval / Eyridice,Elizeth Cardoso,Orfeo Negro (Original Motion Picture),VisualMusic,Playlist track,ES5271103903
É de Fazer Chorar,Eddie,Frevo do Mundo,VisualMusic,Playlist track,BREEI0700046
Partido alto,Jorge Aragão,E aí?,VisualMusic,Playlist track,BRESM0600166
Tua,Liniker e os Caramelows,Remonta,VisualMusic,Playlist track,BXR761600006
Zero,Liniker e os Caramelows,Cru,VisualMusic,Playlist track,US7VG1530997
bellyache,Billie Eilish,Bellyache,VisualMusic,Playlist track,USUM71615103
