Music,Chord,Key
 alceu valenca 78 rotacoes ,Ebm,E
 alceu valenca 78 rotacoes ,Ebm,E
 alceu valenca 78 rotacoes ,B,E
 alceu valenca 78 rotacoes ,Ebm,E
 alceu valenca 78 rotacoes ,C#,E
 alceu valenca 78 rotacoes ,G#,E
 alceu valenca 78 rotacoes ,Gm,E
 alceu valenca 78 rotacoes ,B,E
 alceu valenca 78 rotacoes ,C#,E
 alceu valenca 78 rotacoes ,B,E
 alceu valenca 78 rotacoes ,Bb,E
 alceu valenca 78 rotacoes ,C#m,E
 alceu valenca 78 rotacoes ,B,E
 alceu valenca 78 rotacoes ,C#m,E
 alceu valenca 78 rotacoes ,B,E
 alceu valenca 78 rotacoes ,C#m,E
 alceu valenca 78 rotacoes ,B,E
 alceu valenca 78 rotacoes ,C#m,E
 alceu valenca 78 rotacoes ,B,E
 alceu valenca 78 rotacoes ,Ebm,E
 alceu valenca 78 rotacoes ,Ebm,E
 alceu valenca 78 rotacoes ,G#m,E
 alceu valenca 78 rotacoes ,Ebm,E
 alceu valenca 78 rotacoes ,C#m,E
 alceu valenca 78 rotacoes ,Ebm,E
 alceu valenca 78 rotacoes ,C#m,E
 alceu valenca 78 rotacoes ,Ebm,E
 alceu valenca 78 rotacoes ,C#m,E
 alceu valenca 78 rotacoes ,Bb,E
 alceu valenca 78 rotacoes ,Ebm,E
 alceu valenca 78 rotacoes ,G#,E
 alceu valenca a cantiga do sapo ,G,G
 alceu valenca a cantiga do sapo ,C,G
 alceu valenca a cantiga do sapo ,G,G
 alceu valenca a cantiga do sapo ,C,G
 alceu valenca a cantiga do sapo ,G,G
 alceu valenca a cantiga do sapo ,C,G
 alceu valenca a cantiga do sapo ,G,G
 alceu valenca a cantiga do sapo ,C,G
 alceu valenca a cantiga do sapo ,G,G
 alceu valenca a cantiga do sapo ,C,G
 alceu valenca a cantiga do sapo ,G,G
 alceu valenca a cantiga do sapo ,G,G
 alceu valenca a cantiga do sapo ,C,G
 alceu valenca a cantiga do sapo ,G,G
 alceu valenca a cantiga do sapo ,C,G
 alceu valenca a cantiga do sapo ,G,G
 alceu valenca a cantiga do sapo ,C,G
 alceu valenca a cantiga do sapo ,G,G
 alceu valenca a cantiga do sapo ,D7,G
 alceu valenca a cantiga do sapo ,G,G
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,E5+,E
 alceu valenca admiravel gado novo ,A7+,E
 alceu valenca admiravel gado novo ,E5+,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,E5+,E
 alceu valenca admiravel gado novo ,A7+,E
 alceu valenca admiravel gado novo ,E5+,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,E5+,E
 alceu valenca admiravel gado novo ,A7+,E
 alceu valenca admiravel gado novo ,E5+,E
 alceu valenca admiravel gado novo ,E,E
 alceu valenca admiravel gado novo ,E5+,E
 alceu valenca admiravel gado novo ,A7+,E
 alceu valenca admiravel gado novo ,E5+,E
 alceu valenca admiravel gado novo ,F#m,E
 alceu valenca admiravel gado novo ,G#,E
 alceu valenca admiravel gado novo ,C#m,E
