X,Y,Total_de_notas
2,0.0,36
2,248.0,6
2,500.0,51
2,748.0,33
2,1000.0,41
2,1248.0,23
2,1500.0,43
2,1748.0,35
2,2000.0,52
2,2248.0,29
2,2500.0,29
2,2748.0,41
2,3000.0,57
2,3248.0,38
2,3500.0,28
2,3748.0,38
2,3750.0,45
2,3998.0,39
2,1998.0,36
2,2998.0,39
2,498.0,32
2,750.0,14
2,998.0,40
2,1498.0,24
2,1750.0,16
2,2498.0,10
2,2750.0,30
2,3250.0,20
2,1250.0,4
2,2250.0,10
2,3498.0,12
2,3666.0,1
3,0.0,36
3,248.0,6
3,500.0,51
3,748.0,19
3,1000.0,41
3,1248.0,19
3,1500.0,43
3,1748.0,19
3,2000.0,52
3,2248.0,19
3,2500.0,29
3,2748.0,19
3,3000.0,57
3,3248.0,18
3,3500.0,28
3,3736.0,15
3,3750.0,45
3,3986.0,13
3,3974.0,12
3,1898.0,10
3,1886.0,8
3,2948.0,11
3,3948.0,12
3,474.0,20
3,736.0,14
3,750.0,14
3,986.0,14
3,1474.0,18
3,1736.0,16
3,1750.0,16
3,1986.0,10
3,2474.0,10
3,2736.0,10
3,2750.0,30
3,2986.0,26
3,3236.0,20
3,3250.0,20
3,3724.0,20
3,936.0,8
3,460.0,12
3,1236.0,4
3,1250.0,4
3,1486.0,4
3,2224.0,4
3,2250.0,10
3,2724.0,10
3,3474.0,6
3,974.0,18
3,1974.0,8
3,2236.0,6
3,2710.0,2
3,3460.0,4
3,3898.0,2
3,3660.0,2
3,3310.0,2
3,1410.0,2
3,2936.0,2
3,3748.0,1
3,3666.0,1
4,0.0,36
4,248.0,6
4,500.0,51
4,748.0,33
4,1000.0,41
4,1248.0,23
4,1500.0,43
4,1748.0,35
4,2000.0,52
4,2248.0,29
4,2500.0,29
4,2748.0,41
4,3000.0,57
4,3248.0,38
4,3500.0,28
4,3748.0,38
4,3750.0,45
4,3998.0,39
4,1998.0,36
4,2998.0,39
4,498.0,32
4,750.0,14
4,998.0,40
4,1498.0,24
4,1750.0,16
4,2498.0,10
4,2750.0,30
4,3250.0,20
4,1250.0,4
4,2250.0,10
4,3498.0,12
4,3666.0,1
5,0.0,48
5,1998.0,38
5,2000.0,36
5,3998.0,46
5,3748.0,25
5,3750.0,25
5,3498.0,12
5,3000.0,40
5,3500.0,11
5,498.0,33
5,500.0,35
5,998.0,40
5,1000.0,28
5,1498.0,32
5,1500.0,31
5,2498.0,25
5,2500.0,27
5,2998.0,36
5,3248.0,26
5,3250.0,26
5,748.0,7
5,750.0,7
5,1748.0,10
5,1750.0,10
5,2248.0,6
5,2250.0,7
5,2748.0,13
5,2750.0,19
5,248.0,2
5,250.0,2
5,3666.0,1
6,0.0,48
6,1998.0,38
6,2000.0,36
6,3998.0,46
6,3748.0,25
6,3750.0,25
6,3498.0,12
6,3000.0,40
6,3500.0,11
6,498.0,33
6,500.0,35
6,998.0,40
6,1000.0,28
6,1498.0,32
6,1500.0,31
6,2498.0,25
6,2500.0,27
6,2998.0,36
6,3248.0,26
6,3250.0,26
6,748.0,7
6,750.0,7
6,1748.0,10
6,1750.0,10
6,2248.0,6
6,2250.0,7
6,2748.0,13
6,2750.0,19
6,248.0,2
6,250.0,2
6,3666.0,1
7,0.0,48
7,1998.0,38
7,2000.0,36
7,3998.0,46
7,3748.0,25
7,3750.0,25
7,3498.0,12
7,3000.0,40
7,3500.0,11
7,498.0,33
7,500.0,35
7,998.0,40
7,1000.0,28
7,1498.0,32
7,1500.0,31
7,2498.0,25
7,2500.0,27
7,2998.0,36
7,3248.0,26
7,3250.0,26
7,748.0,7
7,750.0,7
7,1748.0,10
7,1750.0,10
7,2248.0,6
7,2250.0,7
7,2748.0,13
7,2750.0,19
7,248.0,2
7,250.0,2
7,3666.0,1
8,0.0,48
8,498.0,51
8,3250.0,17
8,3748.0,24
8,3750.0,24
8,3998.0,52
8,1500.0,66
8,1998.0,36
8,3000.0,50
8,3498.0,65
8,500.0,54
8,748.0,14
8,1000.0,38
8,1248.0,14
8,1748.0,14
8,2000.0,37
8,2498.0,53
8,2500.0,53
8,2748.0,14
8,3248.0,14
8,3500.0,53
8,1498.0,40
8,998.0,24
8,2998.0,24
8,3666.0,1
9,0.0,72
9,498.0,51
9,3250.0,17
9,3748.0,15
9,3750.0,15
9,3998.0,60
9,1500.0,50
9,1998.0,36
9,3000.0,50
9,3498.0,49
9,500.0,38
9,748.0,14
9,1000.0,38
9,1248.0,14
9,1748.0,14
9,2000.0,37
9,2498.0,37
9,2500.0,37
9,2748.0,14
9,3248.0,14
9,3500.0,37
9,998.0,24
9,1498.0,24
9,2998.0,24
9,3666.0,1
10,0.0,72
10,498.0,51
10,3250.0,17
10,3748.0,15
10,3750.0,15
10,3998.0,60
10,1500.0,50
10,1998.0,36
10,3000.0,50
10,3498.0,49
10,500.0,38
10,748.0,14
10,1000.0,38
10,1248.0,14
10,1748.0,14
10,2000.0,37
10,2498.0,37
10,2500.0,37
10,2748.0,14
10,3248.0,14
10,3500.0,37
10,998.0,24
10,1498.0,24
10,2998.0,24
10,3666.0,1
