X,Y,Total_de_notas
2,0.0,7
2,10.0,13
2,20.0,7
2,74.0,7
2,562.0,28
2,626.0,7
2,678.0,1
2,782.0,19
2,824.0,16
2,834.0,19
2,876.0,10
2,928.0,10
2,980.0,7
2,990.0,1
2,1052.0,4
2,1324.0,4
2,1584.0,13
2,1614.0,7
2,1646.0,4
2,1782.0,16
2,1812.0,10
2,1824.0,7
2,1948.0,7
2,2386.0,13
2,2480.0,9
2,2510.0,24
2,2542.0,28
2,2688.0,4
2,2740.0,10
2,2750.0,18
2,2906.0,4
2,3344.0,1
2,3468.0,18
2,3500.0,15
2,3532.0,15
2,3666.0,25
2,3698.0,13
2,3718.0,19
2,3948.0,9
2,428.0,1
2,542.0,15
2,574.0,27
2,604.0,21
2,750.0,15
2,760.0,12
2,968.0,15
2,1042.0,9
2,1126.0,9
2,1166.0,3
2,1282.0,6
2,1510.0,18
2,1552.0,27
2,1604.0,12
2,1718.0,15
2,1750.0,21
2,1760.0,19
2,2000.0,9
2,2334.0,3
2,2520.0,27
2,2552.0,30
2,2718.0,12
2,2730.0,21
2,2770.0,30
2,2928.0,9
2,3240.0,6
2,3490.0,21
2,3520.0,18
2,3552.0,21
2,3688.0,24
2,3990.0,15
2,416.0,6
2,532.0,30
2,552.0,36
2,594.0,27
2,770.0,30
2,812.0,18
2,864.0,12
2,1218.0,6
2,1542.0,18
2,1562.0,24
2,1770.0,21
2,1906.0,6
2,2376.0,15
2,2500.0,12
2,2532.0,15
2,2562.0,12
2,2698.0,15
2,2876.0,8
2,3510.0,39
2,3542.0,21
2,3730.0,18
2,3980.0,6
2,448.0,9
2,510.0,9
2,730.0,3
2,740.0,9
2,896.0,9
2,1500.0,33
2,1520.0,21
2,1730.0,27
2,1740.0,24
2,2020.0,12
2,2354.0,3
2,2584.0,24
2,2760.0,51
2,2948.0,14
2,3282.0,8
2,3458.0,9
2,3480.0,21
2,3646.0,6
2,3792.0,15
2,3938.0,3
2,396.0,3
2,792.0,15
2,1260.0,6
2,1574.0,17
2,1928.0,6
2,2594.0,6
2,2782.0,21
2,2792.0,18
2,2958.0,6
2,3354.0,6
2,3448.0,15
2,3656.0,9
2,3928.0,5
2,376.0,12
2,458.0,3
2,490.0,9
2,520.0,15
2,656.0,3
2,698.0,3
2,718.0,12
2,1438.0,6
2,1468.0,15
2,1490.0,15
2,1666.0,6
2,1708.0,15
2,2364.0,6
2,2802.0,9
2,2968.0,6
2,3376.0,3
2,3708.0,18
2,3740.0,15
2,136.0,3
2,240.0,3
2,334.0,6
2,584.0,18
2,614.0,14
2,916.0,9
2,1344.0,12
2,1802.0,17
2,1864.0,3
2,2042.0,3
2,2468.0,12
2,2614.0,3
2,2812.0,15
2,3000.0,6
2,3334.0,3
2,3574.0,12
2,3876.0,3
2,468.0,6
2,708.0,3
2,958.0,6
2,1354.0,8
2,1980.0,11
2,3042.0,15
2,3584.0,15
2,3750.0,6
2,3760.0,12
2,3824.0,6
2,198.0,3
2,1396.0,3
2,1428.0,12
2,1532.0,26
2,1990.0,15
2,2240.0,3
2,2458.0,6
2,2490.0,18
2,3312.0,6
2,802.0,18
2,854.0,3
2,3010.0,12
2,3324.0,9
2,3968.0,9
2,1188.0,3
2,1230.0,3
2,1240.0,6
2,2406.0,6
2,2448.0,5
2,2916.0,12
2,3770.0,18
2,312.0,3
2,480.0,6
2,1376.0,9
2,1792.0,12
2,2114.0,3
2,2260.0,6
2,2292.0,3
2,3230.0,3
2,3562.0,15
2,3614.0,9
2,3678.0,3
2,166.0,3
2,208.0,3
2,364.0,3
2,1010.0,6
2,1032.0,3
2,1114.0,6
2,2678.0,8
2,2708.0,20
2,3260.0,6
2,3782.0,15
2,938.0,9
2,1480.0,3
2,1678.0,17
2,1958.0,3
2,2324.0,6
2,2824.0,12
2,3250.0,3
2,3438.0,12
2,3812.0,9
2,344.0,3
2,844.0,9
2,2438.0,3
2,2854.0,3
2,2980.0,6
2,3626.0,6
2,3906.0,3
2,886.0,3
2,1386.0,3
2,1698.0,12
2,1968.0,6
2,1074.0,9
2,1104.0,9
2,1156.0,9
2,3084.0,3
2,3156.0,6
2,3198.0,9
2,3208.0,3
2,3364.0,3
2,52.0,6
2,84.0,5
2,1292.0,6
2,1448.0,3
2,1458.0,12
2,1896.0,3
2,2074.0,3
2,2104.0,6
2,2136.0,6
2,2574.0,15
2,2626.0,9
2,2656.0,3
2,3052.0,6
2,3094.0,3
2,3166.0,3
2,94.0,7
2,500.0,6
2,636.0,8
2,1594.0,12
2,2010.0,3
2,2604.0,18
2,3218.0,3
2,3594.0,6
2,948.0,9
2,1416.0,5
2,2250.0,3
2,2396.0,5
2,3854.0,6
2,3958.0,12
2,354.0,6
2,1938.0,3
2,2864.0,10
2,3636.0,9
2,646.0,3
2,906.0,6
2,1000.0,3
2,3802.0,3
2,386.0,3
2,1656.0,6
2,2834.0,4
2,3302.0,3
2,3406.0,3
2,3604.0,6
2,104.0,3
2,114.0,6
2,3114.0,3
2,3136.0,3
2,156.0,4
2,1834.0,3
2,1876.0,3
2,2032.0,3
2,2062.0,6
2,3104.0,6
2,62.0,4
2,1364.0,3
2,1688.0,6
2,2990.0,6
2,2636.0,3
2,2896.0,3
2,2938.0,3
2,3032.0,6
2,3386.0,6
2,3834.0,3
2,42.0,4
2,1406.0,3
2,2416.0,3
2,3396.0,3
2,2886.0,3
2,3844.0,3
2,666.0,2
2,1302.0,2
2,1626.0,2
2,3916.0,2
2,126.0,1
2,2844.0,1
3,146.0,1
3,1062.0,6
3,1094.0,1
3,2000.0,4
3,2948.0,6
3,0.0,12
3,958.0,6
3,2010.0,15
3,3032.0,6
3,3468.0,3
3,10.0,21
3,968.0,9
3,1980.0,9
3,2968.0,9
3,3396.0,3
3,3968.0,12
3,990.0,18
3,3980.0,6
3,1968.0,6
3,2958.0,3
3,948.0,3
3,2938.0,3
3,3948.0,6
3,2032.0,12
3,1490.0,3
3,2990.0,12
3,32.0,8
3,1042.0,6
3,3010.0,18
3,1948.0,3
3,3438.0,3
3,3990.0,5
3,1114.0,3
3,1990.0,5
3,2980.0,9
3,2052.0,3
3,3052.0,9
3,3552.0,3
3,20.0,6
3,1126.0,3
3,1156.0,3
3,1468.0,3
3,2074.0,12
3,1084.0,6
3,3042.0,15
3,52.0,3
3,1032.0,3
3,42.0,6
3,1010.0,6
3,1074.0,6
3,2094.0,6
3,1052.0,12
3,3500.0,3
3,74.0,12
3,1020.0,3
3,104.0,3
3,2062.0,6
3,2084.0,3
3,980.0,3
3,2020.0,6
3,3000.0,3
3,2042.0,3
3,126.0,1
4,552.0,16
4,562.0,18
4,574.0,3
4,1416.0,7
4,1438.0,10
4,1448.0,7
4,1468.0,11
4,1490.0,21
4,1500.0,43
4,1542.0,18
4,1718.0,16
4,1740.0,16
4,1792.0,11
4,1958.0,16
4,1980.0,31
4,1990.0,52
4,2020.0,40
4,2270.0,19
4,2282.0,16
4,2334.0,7
4,2344.0,10
4,2406.0,1
4,2448.0,14
4,2490.0,14
4,2678.0,1
4,2708.0,28
4,2730.0,25
4,2740.0,13
4,2876.0,7
4,2928.0,23
4,2968.0,40
4,2980.0,48
4,3032.0,7
4,3178.0,1
4,3208.0,10
4,3218.0,10
4,3230.0,7
4,3396.0,4
4,3448.0,17
4,3480.0,11
4,3532.0,4
4,3740.0,7
4,3760.0,24
4,3812.0,10
4,3938.0,31
4,3958.0,25
4,3968.0,41
4,0.0,40
4,136.0,22
4,146.0,13
4,188.0,5
4,532.0,15
4,698.0,6
4,834.0,15
4,1084.0,3
4,1146.0,6
4,1218.0,3
4,1270.0,6
4,1510.0,42
4,1626.0,3
4,1656.0,9
4,1730.0,18
4,1928.0,3
4,2104.0,6
4,2126.0,6
4,2178.0,12
4,2188.0,12
4,2396.0,7
4,2428.0,6
4,2438.0,8
4,2468.0,21
4,2666.0,9
4,2688.0,3
4,2770.0,26
4,2906.0,30
4,2916.0,12
4,2958.0,50
4,3188.0,9
4,3250.0,27
4,3270.0,3
4,3282.0,26
4,3354.0,6
4,3386.0,6
4,3416.0,9
4,3626.0,3
4,3666.0,18
4,3698.0,15
4,3916.0,30
4,3928.0,6
4,104.0,11
4,126.0,13
4,428.0,6
4,438.0,9
4,480.0,9
4,1364.0,6
4,1376.0,3
4,1386.0,21
4,1480.0,24
4,1760.0,24
4,1770.0,12
4,1834.0,27
4,1948.0,6
4,1968.0,24
4,2292.0,9
4,2458.0,22
4,2480.0,16
4,2782.0,11
4,2802.0,21
4,2938.0,18
4,3198.0,12
4,3240.0,26
4,3468.0,42
4,3750.0,18
4,3782.0,15
4,3792.0,12
4,3980.0,42
4,3990.0,36
4,156.0,16
4,166.0,14
4,594.0,3
4,708.0,6
4,750.0,3
4,844.0,9
4,854.0,24
4,1062.0,6
4,1104.0,9
4,1178.0,9
4,1230.0,6
4,1666.0,6
4,1678.0,8
4,1708.0,32
4,2000.0,72
4,2032.0,9
4,2208.0,6
4,2250.0,9
4,2750.0,24
4,2760.0,9
4,2824.0,18
4,3428.0,9
4,3438.0,18
4,3490.0,18
4,3604.0,3
4,3614.0,3
4,3656.0,6
4,10.0,85
4,178.0,13
4,344.0,3
4,490.0,9
4,542.0,11
4,584.0,6
4,1406.0,18
4,1428.0,9
4,1750.0,18
4,2010.0,78
4,2302.0,15
4,2500.0,21
4,2948.0,33
4,3166.0,3
4,3458.0,15
4,3500.0,12
4,3574.0,3
4,218.0,6
4,282.0,12
4,292.0,3
4,458.0,9
4,468.0,12
4,626.0,5
4,678.0,12
4,948.0,27
4,958.0,18
4,968.0,27
4,990.0,27
4,1240.0,3
4,1250.0,6
4,1302.0,3
4,1458.0,3
4,1698.0,9
4,2218.0,18
4,2240.0,12
4,2260.0,6
4,2510.0,22
4,2532.0,6
4,2718.0,3
4,2990.0,33
4,3000.0,33
4,3010.0,49
4,3094.0,6
4,3324.0,9
4,3678.0,6
4,3730.0,12
4,20.0,21
4,1094.0,6
4,1188.0,9
4,1260.0,6
4,1334.0,6
4,1552.0,12
4,1864.0,17
4,1876.0,27
4,1906.0,8
4,2156.0,3
4,2166.0,3
4,2198.0,6
4,2552.0,11
4,2562.0,3
4,2584.0,6
4,3042.0,9
4,3062.0,6
4,3074.0,8
4,3292.0,6
4,3302.0,17
4,3312.0,6
4,3510.0,22
4,3520.0,5
4,3708.0,6
4,3718.0,21
4,3770.0,18
4,62.0,6
4,302.0,3
4,354.0,3
4,386.0,6
4,406.0,9
4,500.0,15
4,510.0,15
4,520.0,12
4,802.0,21
4,812.0,9
4,864.0,12
4,1010.0,42
4,1042.0,12
4,1052.0,12
4,1312.0,3
4,1324.0,6
4,1354.0,9
4,1520.0,5
4,1532.0,3
4,2230.0,9
4,2520.0,11
4,2792.0,29
4,2812.0,24
4,3688.0,6
4,3948.0,30
4,114.0,6
4,2042.0,9
4,2312.0,3
4,3802.0,17
4,666.0,3
4,688.0,6
4,740.0,3
4,760.0,6
4,1074.0,9
4,1136.0,9
4,1688.0,3
4,3260.0,14
4,3334.0,3
4,3376.0,3
4,448.0,3
4,1812.0,15
4,730.0,3
4,782.0,9
4,876.0,12
4,2834.0,17
4,3562.0,3
4,3594.0,6
4,3646.0,3
4,1782.0,6
4,2324.0,6
4,260.0,9
4,270.0,6
4,334.0,3
4,1282.0,3
4,1292.0,6
4,32.0,6
4,42.0,3
4,1166.0,3
4,1396.0,3
4,1562.0,6
4,1802.0,15
4,2574.0,3
4,2594.0,6
4,2614.0,3
4,3052.0,15
4,3344.0,3
4,3542.0,6
4,416.0,3
4,824.0,6
4,896.0,18
4,1020.0,12
4,2542.0,5
4,3020.0,12
4,3552.0,7
4,240.0,3
4,1032.0,9
4,2844.0,12
4,3824.0,18
4,886.0,15
4,916.0,12
4,1824.0,30
4,2074.0,7
4,2626.0,3
4,3844.0,14
4,3854.0,9
4,3886.0,6
4,928.0,12
4,2896.0,21
4,3876.0,15
4,324.0,5
4,938.0,18
4,980.0,24
4,1000.0,33
4,1896.0,9
4,2084.0,3
4,1844.0,19
4,1854.0,15
4,3864.0,35
4,2886.0,18
4,3834.0,3
4,770.0,5
4,1886.0,9
4,3896.0,9
4,52.0,9
4,312.0,3
4,2854.0,6
4,2062.0,8
4,2052.0,3
4,2864.0,12
