X,Y,Total_de_notas
2,0.0,23
2,1906.0,27
2,2000.0,27
2,3906.0,22
2,2156.0,2
2,2500.0,3
2,3406.0,13
2,3500.0,14
2,906.0,16
2,1000.0,16
2,1406.0,10
2,1500.0,10
2,1656.0,7
2,1750.0,7
2,2406.0,1
2,2906.0,2
2,3000.0,2
2,406.0,8
2,500.0,14
2,3656.0,11
2,3750.0,11
2,156.0,8
2,250.0,2
3,1988.0,81
3,2894.0,69
3,2988.0,69
3,3144.0,66
3,3988.0,72
3,894.0,66
3,988.0,66
3,1144.0,63
3,2394.0,3
3,2488.0,3
3,3394.0,3
3,3488.0,3
3,3894.0,6
3,394.0,3
3,488.0,3
3,1394.0,3
3,1488.0,3
3,1894.0,15
3,3500.0,3
4,2008.0,67
4,2508.0,10
4,2914.0,58
4,3008.0,54
4,3914.0,61
4,8.0,58
4,508.0,10
4,1508.0,49
4,1914.0,75
4,914.0,48
4,1008.0,48
4,2414.0,3
4,3414.0,3
4,3508.0,48
4,414.0,3
4,1414.0,3
4,3164.0,45
4,1164.0,42
4,3500.0,3
5,0.0,26
5,84.0,26
5,3000.0,27
5,3084.0,27
5,1000.0,33
5,1084.0,33
5,2000.0,25
5,2084.0,25
5,2250.0,11
5,2334.0,11
5,2750.0,24
5,2834.0,24
5,3250.0,22
5,3334.0,22
5,3750.0,28
5,3834.0,28
5,250.0,8
5,334.0,8
5,500.0,23
5,584.0,23
5,1250.0,15
5,1334.0,15
5,1750.0,17
5,1834.0,17
5,3500.0,13
5,3584.0,13
5,750.0,20
5,834.0,20
5,1500.0,28
5,1584.0,28
5,2500.0,15
5,2584.0,15
5,2872.0,2
5,2956.0,2
6,3988.0,231
6,1988.0,312
6,3488.0,3
6,1488.0,3
6,1738.0,3
6,1894.0,12
6,3894.0,3
6,3500.0,3
7,3988.0,64
7,488.0,37
7,920.0,45
7,988.0,47
7,1420.0,35
7,1488.0,37
7,1894.0,21
7,1920.0,66
7,1988.0,43
7,2488.0,51
7,2920.0,51
7,2988.0,51
7,3420.0,48
7,3488.0,50
7,3894.0,22
7,3920.0,53
7,3170.0,2
7,3238.0,2
7,1170.0,16
7,1238.0,16
7,2420.0,6
7,1828.0,2
7,1862.0,4
7,1930.0,3
7,420.0,17
7,3828.0,1
7,3862.0,1
7,3930.0,1
7,1796.0,1
7,3500.0,3
8,1988.0,1
8,1894.0,1
9,1988.0,67
9,3910.0,49
9,3988.0,59
9,1910.0,65
9,410.0,2
9,488.0,2
9,910.0,2
9,988.0,2
10,2952.0,1
10,2984.0,4
10,2992.0,1
10,3026.0,1
10,3898.0,2
10,3934.0,2
10,3986.0,4
10,3994.0,6
10,912.0,2
10,940.0,2
10,982.0,5
10,990.0,3
10,1892.0,3
10,1910.0,2
10,1984.0,4
10,1994.0,8
10,3886.0,1
10,3908.0,2
10,3998.0,9
10,1912.0,3
10,1990.0,13
10,3928.0,1
10,3956.0,1
10,3996.0,5
10,58.0,1
10,914.0,1
10,992.0,6
10,998.0,4
10,1898.0,1
10,1938.0,5
10,1988.0,4
10,2044.0,2
10,3896.0,2
10,3982.0,4
10,898.0,1
10,1888.0,1
10,3668.0,2
10,3738.0,1
10,3858.0,1
10,3872.0,1
10,3964.0,2
10,3988.0,7
10,3990.0,11
10,446.0,1
10,454.0,2
10,482.0,3
10,498.0,1
10,930.0,1
10,950.0,1
10,986.0,5
10,996.0,6
10,1432.0,1
10,1462.0,1
10,1480.0,1
10,1492.0,3
10,1952.0,1
10,3930.0,2
10,3962.0,2
10,2270.0,2
10,2564.0,1
10,2598.0,1
10,2632.0,1
10,2654.0,1
10,2930.0,2
10,2954.0,1
10,2982.0,6
10,2994.0,2
10,3302.0,1
10,3314.0,2
10,3358.0,1
10,3368.0,1
10,3662.0,1
10,3690.0,1
10,3694.0,1
10,3952.0,3
10,3960.0,3
10,3980.0,2
10,2.0,3
10,240.0,1
10,272.0,1
10,378.0,1
10,390.0,1
10,642.0,1
10,646.0,1
10,702.0,1
10,718.0,1
10,964.0,1
10,1012.0,1
10,1030.0,1
10,1034.0,3
10,1314.0,2
10,1338.0,1
10,1388.0,1
10,1402.0,1
10,1686.0,1
10,1704.0,2
10,1730.0,1
10,1732.0,1
10,1966.0,1
10,2004.0,1
10,2038.0,2
10,3916.0,2
10,3938.0,5
10,2704.0,1
10,2962.0,1
10,2998.0,1
10,3018.0,1
10,3044.0,1
10,3650.0,1
10,3700.0,2
10,3958.0,3
10,18.0,1
10,668.0,1
10,680.0,1
10,978.0,2
10,1062.0,1
10,1970.0,3
10,1982.0,7
10,2000.0,2
10,3680.0,2
10,3696.0,1
10,2492.0,1
10,2916.0,1
10,2986.0,1
10,3440.0,1
10,3454.0,1
10,3482.0,2
10,3558.0,1
10,3944.0,2
10,448.0,2
10,458.0,1
10,540.0,1
10,1444.0,1
10,1496.0,1
10,1934.0,5
10,1998.0,5
10,3922.0,2
10,3946.0,2
10,26.0,1
10,1928.0,3
10,1936.0,4
10,2494.0,2
10,2920.0,1
10,2950.0,1
10,3906.0,1
10,3940.0,3
10,928.0,2
10,954.0,1
10,994.0,3
10,1942.0,4
10,1980.0,5
10,1986.0,3
10,3920.0,3
10,1486.0,2
10,1498.0,2
10,1920.0,2
10,1996.0,5
10,3932.0,2
10,916.0,1
10,958.0,1
10,1940.0,1
10,3926.0,1
10,1738.0,1
10,1818.0,1
10,1854.0,1
10,1958.0,3
10,2936.0,2
10,2944.0,1
10,948.0,1
10,1448.0,3
10,1484.0,2
10,1488.0,4
10,3430.0,2
10,1490.0,2
10,1948.0,4
10,1956.0,3
10,3924.0,1
10,3948.0,3
10,3974.0,2
10,46.0,1
10,1678.0,1
10,1740.0,2
10,1846.0,1
10,1860.0,1
10,1992.0,6
10,3704.0,2
10,1882.0,1
10,2706.0,1
10,2968.0,1
10,3004.0,1
10,3020.0,3
10,3054.0,1
10,3706.0,1
10,22.0,1
10,662.0,1
10,692.0,1
10,972.0,1
10,1056.0,1
10,1060.0,1
10,1978.0,1
10,1968.0,1
10,2260.0,1
10,2280.0,1
10,2594.0,3
10,2646.0,1
10,2652.0,1
10,2932.0,2
10,2942.0,1
10,3294.0,1
10,3326.0,1
10,3364.0,1
10,3376.0,1
10,3636.0,1
10,3664.0,1
10,3684.0,1
10,3966.0,3
10,3984.0,3
10,8.0,1
10,252.0,2
10,368.0,1
10,374.0,1
10,618.0,1
10,656.0,1
10,698.0,1
10,714.0,1
10,1024.0,1
10,1370.0,1
10,1380.0,1
10,1400.0,1
10,1666.0,1
10,1700.0,1
10,1720.0,1
10,1734.0,1
10,2034.0,1
10,2036.0,1
10,3888.0,1
10,3546.0,1
10,3972.0,2
10,3992.0,4
10,40.0,1
10,438.0,1
10,492.0,1
10,520.0,1
10,572.0,1
10,1004.0,1
10,1014.0,1
10,1494.0,1
10,1516.0,1
10,1350.0,1
10,1360.0,1
10,2474.0,1
10,2482.0,1
10,2868.0,1
10,2900.0,1
10,2990.0,2
10,3000.0,1
10,3328.0,1
10,3388.0,1
