X,Y,Total_de_notas
2,0.0,61
2,1852.0,5
2,2000.0,25
2,2228.0,6
2,3000.0,45
2,3976.0,30
2,1602.0,10
2,2728.0,6
2,1728.0,3
2,2352.0,6
2,3852.0,15
2,1806.0,1
2,2852.0,8
2,3958.0,1
2,2478.0,8
2,2978.0,9
2,3228.0,5
2,3500.0,41
2,3352.0,8
2,1478.0,1
2,1500.0,50
2,352.0,1
2,500.0,8
2,924.0,1
2,1000.0,8
2,1426.0,1
2,1924.0,1
2,2426.0,1
2,2500.0,26
2,2926.0,1
2,3424.0,1
2,2102.0,3
2,3728.0,6
2,978.0,7
2,2602.0,13
2,3478.0,17
2,1102.0,26
2,1228.0,6
2,228.0,3
2,852.0,3
2,1352.0,5
2,3102.0,5
2,3602.0,4
2,3448.0,1
2,1160.0,1
2,1646.0,1
2,2384.0,1
2,728.0,1
2,298.0,4
2,798.0,4
2,1298.0,4
2,1798.0,4
2,2298.0,4
2,2798.0,4
2,3298.0,4
2,3798.0,3
2,3834.0,1
3,0.0,130
3,3000.0,78
3,2500.0,52
3,2750.0,26
3,1750.0,9
3,500.0,84
3,3250.0,24
3,2250.0,36
3,1250.0,26
3,2000.0,40
3,3500.0,33
3,1000.0,37
3,1500.0,44
3,3750.0,6
3,750.0,11
3,250.0,6
4,24.0,1
4,250.0,1
4,972.0,1
4,1198.0,1
4,1924.0,1
4,2100.0,1
4,2494.0,1
4,2692.0,1
4,2398.0,1
4,2612.0,1
4,3234.0,1
4,3458.0,1
4,900.0,1
4,1094.0,1
4,1982.0,1
4,2170.0,1
4,2808.0,1
4,3036.0,1
4,2206.0,1
4,2412.0,1
4,2910.0,1
4,3102.0,1
4,3836.0,1
4,28.0,1
4,576.0,1
4,772.0,1
4,2606.0,1
4,2804.0,1
4,3502.0,1
4,3754.0,1
4,2458.0,1
4,2676.0,1
4,3444.0,1
4,3666.0,1
4,2530.0,2
4,2744.0,2
4,3004.0,2
4,3202.0,2
4,3934.0,2
4,132.0,2
4,612.0,2
4,818.0,2
4,2466.0,2
4,2662.0,2
4,2956.0,5
4,3152.0,2
4,3928.0,2
4,106.0,2
4,918.0,2
4,1122.0,2
4,1940.0,2
4,2124.0,2
4,3006.0,2
4,3206.0,2
4,2428.0,2
4,2644.0,2
4,2942.0,2
4,3116.0,2
4,3446.0,2
4,3636.0,2
4,3948.0,2
4,112.0,2
4,340.0,2
4,558.0,2
4,584.0,2
4,762.0,2
4,1032.0,2
4,1202.0,2
4,1614.0,4
4,1812.0,2
4,2366.0,2
4,2570.0,2
4,3222.0,2
4,3434.0,2
4,372.0,2
4,474.0,2
4,542.0,2
4,646.0,2
4,952.0,2
4,1142.0,2
4,1148.0,2
4,1314.0,2
4,1720.0,2
4,1788.0,2
4,1908.0,2
4,2248.0,3
4,2444.0,2
4,2882.0,2
4,3104.0,2
4,2502.0,2
4,2730.0,2
4,2832.0,2
4,3016.0,2
4,3370.0,2
4,3550.0,4
4,912.0,2
4,1112.0,2
4,1568.0,2
4,1764.0,2
4,2564.0,2
4,2772.0,2
4,3602.0,2
4,3810.0,2
4,2346.0,2
4,2542.0,2
4,2810.0,2
4,2992.0,2
4,3398.0,2
4,3576.0,4
4,3794.0,2
4,3976.0,2
4,392.0,2
4,606.0,2
4,870.0,2
4,1058.0,2
4,1506.0,2
4,1692.0,2
4,2128.0,2
4,2352.0,2
4,2916.0,2
4,3122.0,2
4,472.0,2
4,658.0,2
4,944.0,2
4,1128.0,2
4,1512.0,2
4,1690.0,2
4,2030.0,6
4,2214.0,2
4,3412.0,2
4,74.0,2
4,258.0,2
4,1340.0,2
4,1528.0,2
4,2028.0,2
4,2226.0,2
4,3382.0,2
4,94.0,2
4,294.0,2
4,2784.0,2
4,2994.0,2
4,3462.0,2
4,3674.0,2
4,2756.0,3
4,3292.0,3
4,3482.0,3
4,488.0,3
4,662.0,3
4,896.0,3
4,1086.0,3
4,1578.0,3
4,1794.0,3
4,2076.0,3
4,2312.0,3
4,3316.0,3
4,3506.0,3
4,4.0,3
4,210.0,3
4,2750.0,3
4,2926.0,3
4,3224.0,3
4,3416.0,3
4,3872.0,3
4,38.0,4
4,594.0,3
4,784.0,3
4,994.0,3
4,1156.0,3
4,1556.0,3
4,1826.0,3
4,1942.0,3
4,2134.0,3
4,3414.0,3
4,3596.0,3
4,144.0,3
4,342.0,3
4,448.0,4
4,636.0,4
4,928.0,4
4,1114.0,4
4,1474.0,4
4,1654.0,4
4,2242.0,4
4,3438.0,4
4,3638.0,4
4,0.0,4
4,194.0,4
4,1350.0,4
4,1546.0,4
4,1948.0,4
4,2142.0,4
4,3328.0,4
4,3526.0,4
4,48.0,4
4,246.0,5
4,2618.0,4
4,2816.0,4
4,3518.0,4
4,3714.0,4
4,12.0,1
4,240.0,1
4,996.0,1
4,1192.0,1
4,1904.0,1
4,2064.0,1
4,2040.0,1
4,510.0,1
4,698.0,1
5,0.0,324
5,500.0,23
5,1000.0,50
5,1500.0,142
5,2348.0,3
5,2500.0,52
5,3000.0,138
5,3414.0,1
5,3500.0,127
5,262.0,12
5,348.0,3
5,2370.0,7
5,2958.0,5
5,370.0,1
5,414.0,2
5,2936.0,4
5,2980.0,4
5,3370.0,4
5,3848.0,2
5,3914.0,2
5,3980.0,2
5,152.0,4
5,3348.0,4
5,762.0,20
5,848.0,4
5,2870.0,2
5,3304.0,1
5,3696.0,1
5,196.0,1
5,2436.0,1
5,2922.0,1
5,2968.0,1
5,3250.0,2
5,3956.0,1
5,10.0,21
5,18.0,18
5,28.0,17
5,998.0,15
5,1006.0,5
5,1016.0,2
5,1026.0,14
5,1044.0,8
5,1514.0,26
5,1522.0,28
5,1542.0,28
5,2520.0,8
5,2540.0,14
5,3002.0,30
5,3010.0,28
5,3018.0,28
5,3038.0,18
5,3528.0,22
5,3546.0,20
5,16.0,17
5,36.0,2
5,44.0,24
5,996.0,5
5,1014.0,4
5,1022.0,5
5,1042.0,11
5,1512.0,28
5,1540.0,30
5,2518.0,4
5,2538.0,6
5,3008.0,30
5,3028.0,26
5,3046.0,20
5,3526.0,26
5,3544.0,24
5,6.0,19
5,24.0,37
5,34.0,1
5,42.0,20
5,994.0,5
5,1004.0,3
5,1012.0,3
5,1020.0,7
5,1040.0,7
5,1520.0,30
5,2536.0,10
5,2546.0,6
5,3016.0,28
5,3024.0,32
5,3044.0,30
5,3514.0,4
5,3534.0,22
5,3542.0,24
5,14.0,19
5,1002.0,6
5,1010.0,5
5,1038.0,4
5,1518.0,24
5,1528.0,28
5,1546.0,20
5,2516.0,2
5,2544.0,6
5,3006.0,30
5,3014.0,26
5,3042.0,24
5,3532.0,20
5,4.0,16
5,20.0,18
5,32.0,1
5,40.0,15
5,1018.0,5
5,1046.0,3
5,1516.0,28
5,1544.0,30
5,2514.0,2
5,2534.0,6
5,2542.0,6
5,3004.0,26
5,3012.0,26
5,3022.0,28
5,3040.0,30
5,3512.0,6
5,3530.0,22
5,3540.0,28
5,38.0,14
5,1008.0,5
5,1524.0,26
5,2512.0,4
5,2532.0,8
5,3020.0,26
5,3510.0,16
5,3538.0,24
5,8.0,16
5,46.0,11
5,2530.0,6
5,3518.0,10
5,3536.0,22
5,750.0,88
5,758.0,22
5,766.0,24
5,778.0,22
5,794.0,25
5,1250.0,88
5,1274.0,6
5,1294.0,22
5,1502.0,28
5,1510.0,26
5,1538.0,14
5,2250.0,84
5,2254.0,20
5,2262.0,18
5,2272.0,20
5,2292.0,24
5,2750.0,84
5,2770.0,6
5,2790.0,20
5,3506.0,22
5,3522.0,20
5,3750.0,84
5,3778.0,6
5,3796.0,14
5,12.0,16
5,756.0,22
5,776.0,16
5,1272.0,4
5,1292.0,18
5,1508.0,24
5,2252.0,22
5,2270.0,18
5,2290.0,16
5,2768.0,16
5,2788.0,18
5,3504.0,18
5,3776.0,6
5,3794.0,20
5,2.0,19
5,764.0,20
5,772.0,22
5,792.0,22
5,1262.0,14
5,1282.0,14
5,1290.0,24
5,2260.0,20
5,2268.0,22
5,2288.0,12
5,2786.0,16
5,2796.0,16
5,3502.0,24
5,3520.0,24
5,3764.0,16
5,3784.0,14
5,3792.0,18
5,754.0,20
5,770.0,18
5,790.0,21
5,1260.0,8
5,1280.0,12
5,1506.0,24
5,2258.0,14
5,2278.0,18
5,2296.0,14
5,2766.0,12
5,2794.0,16
5,3782.0,14
5,752.0,18
5,760.0,20
5,788.0,14
5,1268.0,16
5,1288.0,18
5,1296.0,16
5,1504.0,20
5,2256.0,20
5,2266.0,18
5,2276.0,20
5,2294.0,18
5,2764.0,12
5,2784.0,14
5,2792.0,18
5,3508.0,22
5,3762.0,14
5,3790.0,18
5,768.0,20
5,796.0,16
5,1266.0,16
5,1286.0,16
5,2264.0,22
5,2762.0,14
5,2782.0,16
5,3760.0,10
5,3780.0,16
5,3788.0,20
5,1030.0,4
5,2508.0,6
5,2526.0,6
5,512.0,2
5,520.0,4
5,540.0,2
5,1536.0,4
5,2000.0,12
5,2008.0,4
5,2026.0,4
5,2036.0,2
