X,Y,Total_de_notas
2,3508.0,3
2,1042.0,1
2,1426.0,2
2,1984.0,2
2,2416.0,2
2,3658.0,2
2,450.0,2
2,658.0,2
2,1434.0,9
2,2750.0,2
2,3416.0,7
2,3666.0,2
2,408.0,5
2,1666.0,1
2,2450.0,3
2,2684.0,2
2,3392.0,4
2,558.0,1
2,1308.0,3
2,1584.0,1
2,2250.0,2
2,3566.0,3
2,392.0,3
2,642.0,1
2,1334.0,3
2,2516.0,1
2,3226.0,1
2,3608.0,1
2,1800.0,2
2,2408.0,2
2,2826.0,3
2,3426.0,3
2,400.0,2
2,1284.0,5
2,1600.0,3
2,2316.0,2
2,3816.0,1
2,308.0,2
2,584.0,1
2,2734.0,4
2,3692.0,3
2,358.0,4
2,1792.0,2
2,2376.0,7
2,2650.0,3
2,3358.0,3
2,784.0,2
2,1416.0,3
2,1634.0,1
2,2326.0,1
2,3726.0,2
2,326.0,5
2,692.0,2
2,1326.0,3
2,2600.0,2
2,3326.0,2
2,342.0,3
2,1726.0,2
2,2334.0,1
2,2566.0,1
2,3334.0,2
2,676.0,3
2,1350.0,4
2,1592.0,1
2,2366.0,7
2,3800.0,3
2,716.0,3
2,1408.0,3
2,2616.0,2
2,3450.0,4
2,3684.0,2
2,492.0,2
2,1834.0,4
2,2442.0,2
2,2708.0,2
2,800.0,2
2,2400.0,5
2,3900.0,2
2,366.0,2
2,700.0,3
2,3050.0,1
2,66.0,1
2,1376.0,2
2,1466.0,1
2,2342.0,4
2,2642.0,4
2,776.0,1
2,1776.0,4
2,3750.0,1
2,416.0,2
2,750.0,3
2,1400.0,3
2,3676.0,3
2,1916.0,3
2,2700.0,1
2,808.0,2
2,1366.0,2
2,1684.0,3
2,3758.0,1
2,376.0,4
2,650.0,3
2,1392.0,5
2,1676.0,2
2,3308.0,2
2,3592.0,1
2,334.0,2
2,1200.0,1
2,1742.0,1
2,2626.0,2
2,3400.0,2
2,816.0,3
2,1626.0,3
2,2358.0,1
2,500.0,3
2,3250.0,3
2,300.0,3
2,1492.0,1
2,3766.0,2
2,576.0,4
2,2834.0,2
2,3792.0,2
2,1892.0,1
2,2476.0,3
2,2742.0,1
2,2184.0,1
2,2284.0,2
2,266.0,1
2,592.0,3
2,3484.0,2
2,3742.0,4
2,1708.0,3
2,2350.0,1
2,2558.0,1
2,3284.0,1
2,742.0,2
2,1276.0,2
2,2276.0,1
2,3700.0,2
2,3342.0,4
2,2392.0,4
2,2634.0,1
2,3366.0,3
2,834.0,1
2,1358.0,4
2,1650.0,1
2,3776.0,1
2,442.0,4
2,666.0,2
2,2800.0,2
2,3650.0,2
2,1758.0,1
2,2434.0,4
2,3458.0,2
2,876.0,1
2,1316.0,1
2,3350.0,1
2,384.0,3
2,1900.0,1
2,2716.0,1
2,2458.0,2
2,476.0,2
2,2950.0,1
2,3642.0,1
2,426.0,4
2,1808.0,2
2,3384.0,2
2,708.0,2
2,1566.0,2
2,3708.0,5
2,2784.0,2
2,3534.0,1
2,3808.0,1
2,484.0,3
2,1342.0,4
2,2166.0,1
2,2384.0,3
2,916.0,1
2,1542.0,1
2,2500.0,1
2,2142.0,1
2,2884.0,1
2,1926.0,1
2,2676.0,5
2,958.0,2
2,1534.0,2
2,2908.0,2
2,684.0,1
2,1450.0,1
2,2934.0,1
2,3576.0,1
2,3842.0,1
2,2658.0,1
2,3316.0,1
2,3634.0,2
2,2816.0,1
2,3376.0,3
2,2758.0,1
2,734.0,1
2,1476.0,1
2,2466.0,2
2,3976.0,1
2,2916.0,1
2,3884.0,3
2,534.0,1
2,1966.0,1
2,2808.0,2
2,3526.0,1
2,926.0,1
2,1484.0,1
2,1826.0,1
2,2426.0,1
2,3442.0,1
2,16.0,1
2,2876.0,1
2,1700.0,2
2,3826.0,1
2,1250.0,2
2,2542.0,1
2,3300.0,1
2,250.0,1
2,1750.0,1
2,84.0,1
2,1384.0,2
2,2300.0,2
2,3434.0,3
2,1766.0,1
2,2858.0,1
2,1784.0,1
2,2526.0,1
2,3926.0,1
2,3158.0,1
2,726.0,1
2,2776.0,1
2,292.0,1
2,2234.0,2
2,3734.0,1
2,2126.0,1
2,3266.0,1
2,2534.0,1
2,3216.0,1
2,634.0,2
2,1616.0,1
2,2576.0,1
2,1884.0,1
2,766.0,1
2,1442.0,1
2,2058.0,1
2,3408.0,2
2,134.0,1
2,316.0,1
2,542.0,1
2,1692.0,1
2,3850.0,1
2,92.0,1
2,758.0,1
3,3500.0,11
3,442.0,11
3,450.0,14
3,466.0,8
3,634.0,3
3,700.0,5
3,758.0,8
3,1426.0,5
3,1466.0,13
3,1492.0,10
3,1500.0,14
3,1684.0,3
3,1716.0,2
3,2308.0,6
3,2458.0,12
3,3476.0,8
3,3492.0,8
3,3658.0,6
3,3684.0,6
3,3758.0,5
3,484.0,5
3,608.0,2
3,984.0,2
3,2484.0,9
3,2492.0,8
3,2516.0,8
3,2658.0,6
3,2734.0,3
3,2800.0,3
3,3526.0,5
3,3708.0,4
3,3776.0,3
3,3808.0,4
3,258.0,4
3,476.0,8
3,1526.0,3
3,1650.0,4
3,1666.0,6
3,1734.0,4
3,2466.0,7
3,2476.0,14
3,2508.0,12
3,2616.0,5
3,2684.0,5
3,3042.0,3
3,3358.0,8
3,416.0,8
3,426.0,9
3,566.0,4
3,592.0,2
3,692.0,5
3,1408.0,10
3,1550.0,2
3,1584.0,3
3,1916.0,2
3,2392.0,10
3,3442.0,18
3,3458.0,9
3,3466.0,12
3,3584.0,5
3,3608.0,4
3,3692.0,7
3,226.0,2
3,334.0,2
3,350.0,6
3,542.0,4
3,742.0,3
3,1276.0,2
3,2350.0,5
3,2358.0,7
3,2426.0,9
3,2776.0,6
3,3384.0,13
3,42.0,2
3,50.0,3
3,400.0,14
3,1450.0,18
3,1750.0,4
3,1816.0,3
3,2292.0,1
3,2442.0,9
3,2450.0,12
3,3400.0,12
3,3434.0,11
3,750.0,3
3,776.0,5
3,1084.0,1
3,1358.0,8
3,2242.0,2
3,2266.0,4
3,2300.0,3
3,3408.0,6
3,408.0,20
3,558.0,4
3,1292.0,1
3,1350.0,4
3,1416.0,17
3,1634.0,4
3,2742.0,4
3,2792.0,3
3,2984.0,3
3,3326.0,2
3,108.0,3
3,358.0,8
3,1434.0,9
3,1742.0,6
3,1766.0,7
3,1784.0,5
3,2666.0,4
3,3350.0,7
3,3392.0,12
3,3416.0,8
3,684.0,9
3,800.0,5
3,1376.0,7
3,1534.0,4
3,2126.0,1
3,2276.0,3
3,3616.0,6
3,3666.0,6
3,376.0,12
3,508.0,5
3,942.0,2
3,1016.0,1
3,1326.0,4
3,2334.0,4
3,2542.0,4
3,2584.0,1
3,3376.0,9
3,3450.0,12
3,3742.0,5
3,3866.0,3
3,3900.0,2
3,326.0,3
3,1366.0,6
3,1700.0,4
3,2376.0,13
3,2708.0,4
3,3226.0,1
3,3316.0,2
3,3334.0,5
3,392.0,11
3,666.0,4
3,1316.0,4
3,1442.0,12
3,2084.0,2
3,2208.0,1
3,2434.0,3
3,3366.0,3
3,3550.0,5
3,1058.0,2
3,1284.0,2
3,2700.0,4
3,2716.0,3
3,2816.0,1
3,3508.0,6
3,3566.0,4
3,3792.0,3
3,100.0,2
3,492.0,8
3,1476.0,12
3,1484.0,8
3,1642.0,3
3,1708.0,3
3,1776.0,6
3,2400.0,10
3,2416.0,13
3,2558.0,5
3,3292.0,1
3,550.0,4
3,650.0,2
3,1334.0,6
3,2066.0,4
3,3876.0,6
3,142.0,5
3,866.0,3
3,2858.0,2
3,2908.0,2
3,3258.0,2
3,366.0,6
3,434.0,18
3,500.0,6
3,1458.0,11
3,1658.0,3
3,1834.0,4
3,3250.0,2
3,3276.0,3
3,458.0,10
3,766.0,6
3,834.0,6
3,2366.0,16
3,2384.0,7
3,242.0,4
3,892.0,1
3,1400.0,3
3,2534.0,3
3,2750.0,6
3,3516.0,3
3,3734.0,6
3,3766.0,2
3,92.0,2
3,1850.0,1
3,2576.0,2
3,2834.0,3
3,2934.0,3
3,2058.0,2
3,2184.0,4
3,3816.0,2
3,3850.0,2
3,526.0,4
3,1208.0,3
3,1216.0,2
3,2826.0,3
3,3966.0,3
3,342.0,5
3,1608.0,2
3,1626.0,3
3,1726.0,3
3,2034.0,2
3,2626.0,2
3,2692.0,2
3,516.0,3
3,708.0,5
3,3634.0,3
3,16.0,2
3,58.0,3
3,908.0,2
3,2650.0,4
3,1516.0,4
3,2142.0,2
3,2600.0,1
3,642.0,6
3,1934.0,1
3,3342.0,4
3,3534.0,1
3,166.0,1
3,276.0,6
3,1226.0,1
3,1250.0,3
3,1258.0,3
3,1342.0,4
3,1758.0,5
3,3426.0,6
3,3908.0,4
3,1950.0,1
3,2026.0,1
3,2408.0,6
3,2966.0,2
3,2726.0,2
3,3726.0,4
3,208.0,1
3,976.0,1
3,1000.0,1
3,2500.0,13
3,2876.0,1
3,1692.0,2
3,2976.0,1
3,3308.0,2
3,734.0,6
3,784.0,4
3,1576.0,3
3,2284.0,1
3,3700.0,4
3,216.0,4
3,1166.0,1
3,1200.0,1
3,2758.0,3
3,2092.0,1
3,2784.0,3
3,726.0,4
3,1308.0,1
3,1800.0,5
3,2116.0,3
3,3576.0,3
3,3642.0,1
3,2608.0,2
3,3484.0,8
3,2526.0,5
3,2676.0,1
3,1266.0,2
3,184.0,1
3,3784.0,3
3,2192.0,3
3,1392.0,3
3,3750.0,4
3,192.0,1
3,384.0,6
3,2892.0,1
3,3884.0,2
3,1866.0,1
3,2134.0,1
3,3016.0,1
3,934.0,1
3,1976.0,2
3,84.0,2
3,3826.0,4
3,3958.0,2
3,300.0,2
3,2042.0,2
3,2250.0,2
3,3716.0,2
3,234.0,1
3,284.0,1
3,292.0,2
3,1600.0,2
3,1616.0,3
3,2342.0,3
3,716.0,1
3,2326.0,2
3,3942.0,4
3,2766.0,1
3,3208.0,3
3,792.0,2
3,858.0,1
3,3834.0,1
3,2158.0,1
3,2642.0,1
3,658.0,1
3,2000.0,2
3,3592.0,2
3,576.0,3
3,3600.0,2
3,3926.0,2
3,2050.0,3
3,2258.0,3
3,808.0,2
3,1542.0,3
3,2108.0,1
3,1176.0,1
3,534.0,6
3,2076.0,1
3,2850.0,4
3,3542.0,1
3,626.0,1
3,850.0,2
3,1876.0,1
3,2226.0,1
3,3150.0,2
3,3242.0,1
3,3858.0,1
3,250.0,2
3,1116.0,1
3,1234.0,1
3,3916.0,1
3,266.0,1
3,2216.0,1
3,2842.0,2
3,1508.0,4
3,2316.0,1
3,3950.0,1
3,2808.0,5
3,1808.0,1
3,2550.0,1
3,926.0,2
3,3558.0,1
3,1558.0,1
3,1676.0,1
3,1242.0,1
3,1892.0,1
3,3934.0,1
3,2866.0,1
3,1158.0,1
3,1792.0,4
3,3842.0,1
3,3800.0,1
3,2592.0,2
3,600.0,3
3,1384.0,2
3,3000.0,1
3,3626.0,1
3,2926.0,1
3,1566.0,2
3,1184.0,1
3,0.0,1
3,2016.0,1
3,816.0,1
3,1858.0,1
3,2942.0,1
3,66.0,1
3,308.0,1
3,3266.0,1
3,1992.0,1
4,1516.0,2
4,1000.0,5
4,1466.0,3
4,1900.0,2
4,2442.0,4
4,2884.0,2
4,3434.0,6
4,3966.0,4
4,450.0,7
4,934.0,5
4,1450.0,7
4,1884.0,4
4,2384.0,4
4,2892.0,3
4,3908.0,2
4,366.0,3
4,858.0,2
4,1366.0,5
4,1934.0,2
4,2958.0,4
4,3916.0,3
4,384.0,2
4,2008.0,1
4,2934.0,1
4,3426.0,4
4,3950.0,2
4,416.0,3
4,926.0,2
4,1400.0,3
4,1808.0,1
4,2484.0,3
4,2684.0,1
4,3034.0,2
4,3216.0,1
4,3392.0,4
4,3600.0,2
4,3734.0,1
4,350.0,1
4,1642.0,1
4,1866.0,2
4,2042.0,2
4,2276.0,1
4,2576.0,2
4,3326.0,1
4,434.0,4
4,2450.0,6
4,0.0,7
4,442.0,4
4,900.0,6
4,1784.0,2
4,2434.0,2
4,2616.0,2
4,2842.0,1
4,3000.0,7
4,3200.0,1
4,3358.0,3
4,3642.0,1
4,3726.0,2
4,42.0,2
4,1216.0,1
4,3384.0,1
4,1426.0,4
4,1926.0,2
4,2400.0,4
4,2876.0,1
4,3876.0,1
4,400.0,2
4,866.0,1
4,1392.0,3
4,1892.0,2
4,2084.0,2
4,2526.0,2
4,2976.0,1
4,3492.0,3
4,3934.0,4
4,916.0,3
4,2358.0,5
4,2850.0,2
4,3458.0,3
4,966.0,5
4,1442.0,3
4,1942.0,3
4,2500.0,6
4,8.0,3
4,476.0,3
4,942.0,2
4,1458.0,4
4,3400.0,3
4,2492.0,2
4,2950.0,2
4,3450.0,5
4,1408.0,5
4,2426.0,3
4,500.0,11
4,1026.0,2
4,1508.0,2
4,3558.0,1
4,984.0,3
4,1476.0,2
4,1984.0,5
4,2466.0,3
4,2916.0,4
4,3416.0,3
4,1950.0,2
4,84.0,1
4,626.0,2
4,1500.0,5
4,426.0,7
4,3592.0,1
4,3984.0,3
4,992.0,1
4,1992.0,2
4,2966.0,2
4,3942.0,2
4,976.0,2
4,1976.0,2
4,2984.0,2
4,3976.0,1
4,492.0,3
4,2408.0,1
4,2866.0,1
4,3366.0,2
4,3884.0,1
4,3050.0,2
4,3526.0,1
4,3334.0,1
4,2000.0,8
4,3500.0,10
4,1492.0,1
4,2516.0,2
4,3958.0,3
4,408.0,1
4,2250.0,2
4,1434.0,3
4,2992.0,1
4,3926.0,2
4,3442.0,4
4,3992.0,1
4,2476.0,2
4,958.0,2
4,1908.0,2
4,2900.0,2
4,3408.0,3
4,3800.0,2
4,358.0,1
4,892.0,1
4,466.0,1
4,250.0,2
4,1750.0,2
4,1416.0,4
4,2550.0,1
4,3534.0,3
4,3342.0,2
4,1526.0,1
4,3484.0,2
4,534.0,2
4,684.0,1
