X,Y,Total_de_notas
2,0.0,30
2,3998.0,36
2,498.0,6
2,500.0,13
2,1498.0,13
2,1500.0,13
2,1998.0,24
2,2000.0,25
2,2498.0,13
2,2500.0,14
2,3498.0,9
2,3500.0,13
2,2998.0,29
2,3000.0,22
2,998.0,21
2,1000.0,21
2,2664.0,1
2,2666.0,1
2,3332.0,1
2,3334.0,1
2,1664.0,1
2,1666.0,1
2,2332.0,1
2,2334.0,1
3,1000.0,32
3,1498.0,27
3,1500.0,27
3,1998.0,48
3,2000.0,48
3,2498.0,27
3,2500.0,27
3,2998.0,36
3,3000.0,28
3,3498.0,21
3,3500.0,28
3,998.0,29
3,3998.0,44
3,498.0,9
3,500.0,22
3,0.0,29
3,2664.0,1
3,2666.0,1
3,3332.0,1
3,3334.0,1
3,1664.0,1
3,1666.0,1
3,2332.0,1
3,2334.0,1
4,0.0,39
4,498.0,14
4,500.0,19
4,998.0,33
4,1000.0,37
4,1498.0,21
4,1500.0,21
4,1998.0,38
4,2000.0,40
4,2498.0,22
4,2500.0,22
4,2998.0,41
4,3000.0,31
4,3498.0,15
4,3500.0,22
4,3998.0,47
4,2664.0,3
4,2666.0,3
4,3332.0,3
4,3334.0,3
4,1664.0,3
4,1666.0,3
4,2332.0,3
4,2334.0,3
5,0.0,43
5,498.0,10
5,500.0,16
5,998.0,29
5,1000.0,29
5,1498.0,16
5,1500.0,16
5,1998.0,35
5,2000.0,35
5,2498.0,17
5,2500.0,17
5,2998.0,36
5,3000.0,31
5,3498.0,14
5,3500.0,18
5,3998.0,48
5,2664.0,1
5,2666.0,1
5,3332.0,1
5,3334.0,1
5,1664.0,1
5,1666.0,1
5,2332.0,1
5,2334.0,1
