X,Y,Total_de_notas
3,500.0,154
3,1000.0,129
3,1500.0,129
3,2250.0,125
3,2750.0,127
3,3250.0,121
3,3750.0,115
3,510.0,8
3,520.0,10
3,532.0,6
3,750.0,16
3,760.0,8
3,782.0,2
3,1218.0,2
3,1230.0,6
3,1520.0,12
3,1532.0,4
3,1782.0,8
3,1792.0,8
3,1802.0,4
3,2188.0,12
3,2198.0,8
3,2604.0,2
3,3010.0,4
3,3020.0,8
3,3032.0,6
3,3896.0,4
3,3906.0,2
3,3916.0,4
3,480.0,14
3,1010.0,16
3,1510.0,10
3,2208.0,12
3,2230.0,8
3,2240.0,6
3,2708.0,18
3,2718.0,18
3,2802.0,2
3,3208.0,32
3,3218.0,10
3,3230.0,2
3,3240.0,2
3,3678.0,10
3,3688.0,12
3,3698.0,2
3,584.0,4
3,990.0,6
3,2218.0,14
3,2324.0,2
3,2730.0,12
3,3198.0,16
3,448.0,2
3,458.0,20
3,958.0,14
3,1490.0,16
3,3480.0,2
3,3490.0,10
3,3730.0,8
3,3876.0,2
3,156.0,2
3,166.0,2
3,178.0,2
3,468.0,8
3,490.0,8
3,1198.0,10
3,1208.0,2
3,1458.0,6
3,1468.0,12
3,1480.0,12
3,1750.0,22
3,1760.0,8
3,2166.0,8
3,2178.0,8
3,2532.0,4
3,2542.0,4
3,2552.0,2
3,2562.0,2
3,2574.0,2
3,3042.0,2
3,542.0,2
3,1020.0,4
3,1770.0,4
3,2490.0,2
3,2698.0,10
3,3948.0,4
3,3958.0,10
3,3980.0,2
3,1032.0,2
3,1042.0,4
3,1542.0,2
3,2520.0,4
3,3166.0,10
3,3188.0,2
3,3448.0,2
3,3938.0,4
3,3968.0,10
3,968.0,6
3,980.0,12
3,3500.0,8
3,2260.0,10
3,2270.0,4
3,2740.0,10
3,2760.0,6
3,3282.0,2
3,3552.0,2
3,3562.0,6
3,3574.0,2
3,10.0,4
3,32.0,4
3,42.0,4
3,3260.0,4
3,3708.0,6
3,3718.0,4
3,3740.0,6
3,3666.0,2
3,416.0,2
3,438.0,4
3,938.0,2
3,948.0,2
3,2312.0,2
3,730.0,2
3,740.0,4
3,1166.0,2
3,1178.0,6
3,1188.0,2
3,1718.0,10
3,2156.0,2
3,2448.0,2
3,2458.0,6
3,2468.0,4
3,3178.0,2
3,3510.0,2
3,3990.0,2
4,500.0,48
4,1250.0,45
4,1500.0,45
4,2250.0,45
4,2500.0,45
4,3250.0,43
4,3500.0,43
4,250.0,35
4,0.0,4
4,750.0,2
4,1750.0,2
4,2750.0,2
5,3750.0,16
5,0.0,20
5,250.0,19
5,500.0,6
5,1000.0,12
5,1750.0,28
5,2250.0,26
5,2500.0,22
5,2750.0,26
5,3250.0,26
5,3500.0,16
5,750.0,4
5,1250.0,8
5,3876.0,1
5,3958.0,2
5,458.0,3
5,1968.0,1
5,2208.0,2
5,3730.0,1
5,3948.0,1
5,166.0,1
5,1718.0,1
5,1928.0,1
5,2136.0,1
5,2416.0,1
5,2666.0,1
5,2896.0,1
5,3146.0,1
5,3416.0,1
5,3646.0,1
5,3824.0,1
5,3916.0,1
5,468.0,1
5,1708.0,1
5,1958.0,3
5,3740.0,1
5,188.0,1
5,2178.0,1
5,2428.0,1
5,2678.0,1
5,2928.0,1
5,3166.0,1
5,3428.0,1
5,3708.0,1
5,3802.0,2
5,3906.0,1
5,480.0,1
5,2218.0,1
5,10.0,1
5,552.0,1
5,1792.0,1
5,2010.0,1
5,2230.0,1
5,2468.0,1
5,2730.0,1
5,2968.0,1
5,3198.0,1
5,3448.0,1
5,3718.0,1
5,3896.0,1
5,406.0,1
7,500.0,120
7,750.0,33
7,1000.0,60
7,1250.0,119
7,1500.0,78
7,1750.0,33
7,2000.0,103
7,2250.0,78
7,2500.0,76
7,2750.0,64
7,3000.0,74
7,3250.0,107
7,3500.0,76
7,3750.0,117
7,0.0,62
7,250.0,74
7,542.0,4
7,948.0,2
7,1760.0,4
7,2240.0,2
7,2510.0,2
7,2740.0,2
7,3208.0,2
7,3490.0,4
7,3770.0,2
7,208.0,2
7,552.0,2
7,990.0,2
7,1490.0,8
7,1980.0,2
7,2480.0,4
7,2948.0,4
7,3468.0,4
7,3958.0,4
7,626.0,2
7,980.0,2
7,1958.0,2
7,2458.0,2
7,2968.0,2
7,520.0,4
7,1458.0,2
7,3188.0,2
7,3480.0,2
7,3740.0,2
7,1240.0,2
7,1782.0,2
7,2166.0,2
7,2520.0,2
7,2438.0,2
7,3458.0,2
7,458.0,2
7,730.0,2
7,1198.0,2
7,1718.0,2
7,2136.0,2
7,2428.0,2
7,2698.0,2
7,3198.0,2
