X,Y,Total_de_notas
2,738.0,63
2,988.0,67
2,1238.0,59
2,1488.0,168
2,2238.0,61
2,2988.0,67
2,3238.0,95
2,3488.0,64
2,3988.0,161
2,3738.0,18
2,1738.0,3
2,1988.0,11
2,2112.0,1
2,2488.0,9
2,2738.0,2
2,748.0,1
2,488.0,9
2,734.0,8
2,984.0,8
2,1234.0,8
2,1484.0,22
2,2234.0,8
2,2984.0,8
2,3234.0,14
2,3484.0,8
2,3984.0,22
2,3734.0,2
3,3500.0,1
3,0.0,11
3,1000.0,9
3,3000.0,1
3,1500.0,6
3,3750.0,6
3,3996.0,2
3,996.0,1
3,1496.0,1
3,3746.0,2
3,3974.0,1
3,3496.0,1
4,758.0,63
4,1008.0,67
4,1258.0,59
4,1508.0,168
4,2258.0,61
4,3008.0,67
4,3258.0,95
4,3508.0,64
4,8.0,161
4,3758.0,18
4,1758.0,3
4,2008.0,11
4,2134.0,1
4,2508.0,9
4,2758.0,2
4,768.0,1
4,508.0,9
4,4.0,25
4,754.0,8
4,1004.0,8
4,1254.0,8
4,1504.0,22
4,2254.0,8
4,3004.0,8
4,3254.0,14
4,3504.0,8
4,3754.0,2
5,0.0,18
5,84.0,18
5,500.0,23
5,584.0,23
5,750.0,34
5,834.0,34
5,1750.0,29
5,1834.0,29
5,2000.0,22
5,2084.0,22
5,2250.0,14
5,2334.0,14
5,2500.0,23
5,2584.0,23
5,2750.0,24
5,2834.0,24
5,3250.0,20
5,3334.0,20
5,3500.0,26
5,3584.0,26
5,870.0,4
5,954.0,4
5,1000.0,30
5,1084.0,30
5,3000.0,18
5,3084.0,18
5,250.0,12
5,334.0,12
5,1250.0,9
5,1334.0,9
5,1500.0,14
5,1584.0,14
5,3750.0,15
5,3834.0,15
5,620.0,3
5,704.0,3
5,1870.0,5
5,1954.0,5
5,2120.0,1
5,2204.0,1
5,496.0,1
5,580.0,1
5,746.0,2
5,830.0,2
5,996.0,3
5,1080.0,3
5,1746.0,1
5,1830.0,1
5,1996.0,2
5,2080.0,2
5,2246.0,2
5,2330.0,2
5,2496.0,1
5,2580.0,1
5,2746.0,2
5,2830.0,2
5,3246.0,1
5,3330.0,1
5,3496.0,2
5,3580.0,2
5,866.0,1
5,950.0,1
5,2996.0,1
5,3080.0,1
5,3996.0,1
5,80.0,1
6,3988.0,149
6,2988.0,16
6,3488.0,20
6,8.0,2
6,1988.0,10
6,488.0,1
6,3984.0,15
6,3484.0,6
6,2984.0,4
6,3496.0,3
7,1988.0,1
7,2112.0,1
7,2238.0,2
7,2362.0,2
7,2488.0,2
7,2612.0,2
7,2738.0,2
7,2862.0,1
7,2988.0,1
8,988.0,1
8,3988.0,1
9,738.0,3
9,3988.0,381
9,3984.0,45
9,3496.0,3
10,0.0,16
10,250.0,16
10,3500.0,3
10,3750.0,3
10,3000.0,14
10,3250.0,14
10,1000.0,3
10,1250.0,3
10,3996.0,3
10,246.0,2
10,2996.0,1
10,3246.0,1
10,3746.0,1
