X,Y,Total_de_notas
2,2000.0,81
2,3334.0,5
2,3666.0,17
2,0.0,92
2,666.0,51
2,1000.0,77
2,2666.0,44
2,3000.0,84
2,1666.0,61
2,1334.0,10
2,2334.0,5
2,334.0,5
3,2000.0,94
3,2666.0,6
3,3000.0,100
3,3666.0,6
3,0.0,94
3,666.0,6
3,1000.0,82
3,1666.0,6
4,2034.0,6
4,2592.0,8
4,2666.0,4
4,3016.0,4
4,3076.0,6
4,3584.0,6
4,3700.0,2
4,34.0,4
4,126.0,2
4,616.0,4
4,708.0,2
4,966.0,3
4,1066.0,6
4,1608.0,4
4,1676.0,2
4,1926.0,4
4,2076.0,4
4,2526.0,4
4,2658.0,4
4,2900.0,2
4,3058.0,4
4,3558.0,2
4,3650.0,2
4,3900.0,2
4,0.0,3
4,600.0,2
4,684.0,2
4,908.0,6
4,1058.0,2
4,1558.0,2
4,1626.0,4
4,1900.0,3
4,2066.0,9
4,2650.0,2
4,2708.0,2
4,2958.0,2
4,3066.0,10
4,716.0,2
4,2108.0,2
4,2700.0,4
4,2950.0,2
4,3516.0,4
4,3666.0,6
4,3892.0,6
4,84.0,5
4,542.0,4
4,676.0,4
4,892.0,6
4,1576.0,2
4,1642.0,4
4,1892.0,2
4,2042.0,8
4,2466.0,6
4,2642.0,5
4,2858.0,4
4,3092.0,2
4,3642.0,4
4,3934.0,2
4,66.0,8
4,534.0,7
4,592.0,2
4,866.0,4
4,1026.0,3
4,1442.0,2
4,1634.0,6
4,1876.0,6
4,2508.0,6
4,2676.0,8
4,2934.0,2
4,3084.0,2
4,976.0,2
4,2926.0,4
4,3692.0,2
4,3916.0,8
4,108.0,2
4,558.0,2
4,692.0,2
4,950.0,2
4,1076.0,4
4,1550.0,2
4,1934.0,2
4,2684.0,4
4,2908.0,8
4,3676.0,8
4,3950.0,2
4,58.0,6
4,516.0,4
4,634.0,4
4,916.0,2
4,1084.0,4
4,1526.0,2
4,2050.0,6
4,2550.0,2
4,2892.0,4
4,992.0,2
4,2966.0,2
4,3508.0,2
4,3884.0,2
4,508.0,2
4,650.0,4
4,900.0,2
4,1566.0,3
4,1658.0,3
4,1916.0,4
4,2458.0,2
4,2634.0,2
4,2808.0,4
4,3576.0,2
4,2192.0,2
4,1966.0,2
4,2542.0,2
4,2608.0,4
4,3000.0,2
4,3484.0,6
4,3634.0,2
4,3842.0,2
4,1584.0,2
4,1692.0,2
4,2092.0,2
4,2716.0,2
4,3108.0,2
4,566.0,2
4,626.0,4
4,1042.0,4
4,1434.0,4
4,1600.0,2
4,2366.0,2
4,2500.0,2
4,2758.0,5
4,2992.0,2
4,3034.0,8
4,926.0,4
4,2100.0,2
4,2558.0,2
4,2916.0,2
4,3042.0,2
4,3426.0,2
4,3616.0,4
4,1016.0,2
4,1516.0,7
4,1884.0,4
4,2626.0,6
4,3050.0,2
4,3926.0,2
4,526.0,3
4,1616.0,2
4,2316.0,2
4,2492.0,2
4,2984.0,3
4,1050.0,4
4,2584.0,2
4,3500.0,2
4,3658.0,5
4,934.0,2
4,1650.0,2
4,2476.0,2
4,2816.0,2
4,3534.0,2
4,42.0,4
4,642.0,4
4,1034.0,2
4,1450.0,2
4,3026.0,3
4,2566.0,2
4,3850.0,2
4,484.0,2
4,850.0,2
4,3542.0,2
4,3876.0,2
4,26.0,2
4,2800.0,2
4,3708.0,1
4,3826.0,1
4,50.0,1
4,550.0,1
4,858.0,1
4,1008.0,1
4,1416.0,1
4,1776.0,1
4,1976.0,1
4,2516.0,1
4,2866.0,1
4,3376.0,1
4,3550.0,1
4,3766.0,1
4,392.0,1
4,876.0,1
4,1458.0,1
4,1592.0,1
4,1808.0,1
4,2008.0,1
4,2442.0,1
4,2576.0,1
4,3600.0,1
4,3800.0,1
4,8.0,1
4,584.0,1
4,800.0,1
4,1292.0,1
4,1792.0,1
4,1992.0,1
5,3666.0,29
5,0.0,59
5,666.0,21
5,1000.0,38
5,1666.0,16
5,2000.0,32
5,334.0,16
5,3000.0,22
5,2334.0,2
5,2666.0,5
5,3334.0,2
5,1334.0,2
6,2000.0,38
6,1000.0,37
6,0.0,38
6,3000.0,21
7,2000.0,22
7,3666.0,7
7,1000.0,32
7,0.0,26
7,3000.0,16
7,666.0,5
7,334.0,2
7,2666.0,2
7,1666.0,2
8,2000.0,44
8,1000.0,41
8,0.0,42
8,3000.0,27
8,2334.0,5
8,3334.0,1
9,2034.0,2
9,2592.0,4
9,2666.0,1
9,3016.0,1
