X,Y,Total_de_notas
2,1000.0,102
2,2000.0,155
2,3000.0,92
2,3500.0,24
2,0.0,126
2,500.0,30
2,1500.0,53
2,1750.0,13
2,1250.0,12
2,2500.0,24
2,750.0,2
3,2000.0,278
3,1000.0,105
3,0.0,209
3,3000.0,264
3,3500.0,32
3,1500.0,175
3,2500.0,108
3,8.0,34
3,516.0,8
3,534.0,8
3,750.0,149
3,766.0,8
3,800.0,8
3,1276.0,8
3,1292.0,8
3,1466.0,8
3,1492.0,8
3,1508.0,16
3,500.0,90
3,1250.0,66
3,3750.0,4
3,1750.0,7
3,976.0,4
3,1016.0,2
3,1484.0,2
3,1984.0,4
3,2976.0,2
3,3008.0,2
3,3458.0,2
3,1958.0,2
3,1976.0,1
3,1992.0,1
3,2466.0,1
3,2484.0,1
3,3026.0,1
3,3042.0,2
4,3976.0,4
4,3984.0,3
4,8.0,2
4,2992.0,5
4,3016.0,2
4,1034.0,6
4,3008.0,4
4,3026.0,2
4,1000.0,29
4,3000.0,20
4,2000.0,21
4,992.0,6
4,1484.0,2
4,1966.0,3
4,1942.0,2
4,1492.0,4
4,1958.0,2
4,1976.0,6
4,1550.0,2
4,1016.0,2
4,1542.0,2
4,2026.0,2
4,984.0,2
4,1950.0,6
4,966.0,12
4,2984.0,8
4,942.0,10
4,2942.0,10
4,2958.0,2
4,976.0,2
4,3508.0,2
4,16.0,2
4,3992.0,2
4,1058.0,2
4,2008.0,2
4,0.0,3
4,1500.0,2
4,2034.0,2
4,958.0,1
4,2950.0,2
5,2000.0,90
5,2500.0,90
5,3000.0,90
5,3500.0,90
5,0.0,89
5,500.0,89
5,1000.0,89
5,1500.0,89
