X,Y,Total_de_notas
3,0.0,12
3,1000.0,12
3,2000.0,24
3,3000.0,12
3,3500.0,24
3,500.0,12
3,1500.0,18
3,2500.0,9
3,750.0,6
3,2750.0,3
4,1500.0,61
4,2000.0,71
4,2500.0,41
4,3000.0,42
4,3500.0,69
4,0.0,49
4,1000.0,36
4,500.0,35
4,750.0,22
4,2750.0,9
4,3750.0,2
4,250.0,1
4,1250.0,1
4,1750.0,1
4,2250.0,1
4,3250.0,4
5,0.0,20
5,1500.0,40
5,2000.0,40
5,3500.0,40
5,2500.0,25
5,3000.0,25
6,0.0,22
6,1500.0,43
6,2000.0,43
6,3500.0,43
6,2500.0,26
6,3000.0,26
7,1000.0,99
7,2500.0,165
7,500.0,99
7,0.0,33
7,1500.0,66
7,3500.0,33
7,2000.0,33
8,1000.0,127
8,3000.0,124
8,0.0,58
8,3500.0,52
8,500.0,52
8,1500.0,32
8,2000.0,32
8,2500.0,32
