X,Y,Total_de_notas
2,0.0,150
2,250.0,35
2,500.0,139
2,750.0,35
2,1000.0,149
2,1250.0,36
2,1500.0,139
2,1750.0,36
2,2000.0,144
2,2166.0,105
2,2334.0,105
2,2750.0,35
2,3916.0,7
2,126.0,34
2,376.0,34
2,626.0,34
2,876.0,34
2,1126.0,34
2,1376.0,34
2,1626.0,34
2,1876.0,34
2,2126.0,34
2,2250.0,34
2,2376.0,34
2,2500.0,138
2,2626.0,34
2,2876.0,34
2,3000.0,146
2,3126.0,32
2,3250.0,32
2,3376.0,32
2,3500.0,136
2,3626.0,32
2,3750.0,32
2,3876.0,32
2,166.0,104
2,334.0,104
2,666.0,104
2,834.0,104
2,1166.0,104
2,1334.0,104
2,1666.0,104
2,1834.0,104
2,2666.0,104
2,2834.0,104
2,3166.0,104
2,3334.0,104
2,3666.0,104
2,3834.0,104
3,3000.0,15
3,0.0,22
3,2000.0,16
3,1000.0,4
3,1126.0,1
4,0.0,12
4,1876.0,6
4,2000.0,12
4,3000.0,13
4,3876.0,8
4,876.0,2
4,1000.0,11
4,2876.0,2
5,3000.0,23
5,0.0,16
5,1000.0,12
5,2000.0,22
5,1166.0,1
5,1250.0,1
5,1334.0,2
5,1458.0,1
5,1584.0,1
5,1666.0,2
5,1792.0,1
5,1834.0,1
5,1916.0,2
5,2084.0,1
5,2166.0,1
5,2250.0,2
5,2376.0,1
5,2416.0,1
5,2500.0,6
5,2626.0,1
5,2666.0,1
5,2750.0,2
5,2876.0,1
5,2916.0,1
5,3126.0,1
5,3166.0,1
5,3250.0,2
5,3376.0,1
5,3416.0,1
5,3500.0,6
5,3584.0,2
5,3666.0,2
5,3750.0,2
5,3834.0,2
5,3916.0,2
5,1500.0,16
5,1750.0,4
6,1000.0,12
6,1250.0,6
6,2000.0,12
6,2250.0,6
6,3000.0,9
6,0.0,6
7,3000.0,55
7,0.0,54
7,1000.0,54
7,2000.0,54
7,916.0,33
7,834.0,16
7,1834.0,16
7,2834.0,16
7,3834.0,16
7,416.0,32
7,500.0,32
7,1416.0,32
7,1500.0,32
7,1916.0,32
7,2416.0,32
7,2500.0,32
7,2916.0,32
7,3416.0,32
7,3500.0,32
7,3916.0,32
8,3000.0,6
8,0.0,32
8,1000.0,38
8,1750.0,2
8,2000.0,36
8,3750.0,2
8,1834.0,2
8,3834.0,2
8,2916.0,16
9,0.0,102
9,2000.0,112
9,3000.0,64
9,1000.0,40
10,1000.0,26
10,2000.0,34
10,3000.0,35
10,0.0,27
