X,Y,Total_de_notas
2,500.0,39
2,1000.0,43
2,1334.0,3
2,1666.0,3
2,0.0,55
2,334.0,2
2,666.0,2
2,1500.0,32
2,250.0,17
2,750.0,38
2,1750.0,45
2,1250.0,44
2,126.0,1
2,376.0,1
2,626.0,1
2,876.0,1
2,1126.0,1
2,1376.0,1
2,1626.0,1
2,1876.0,1
2,124.0,8
2,374.0,6
2,624.0,6
2,874.0,6
2,1124.0,6
2,1374.0,6
2,1624.0,6
2,1874.0,6
2,248.0,2
2,370.0,2
2,496.0,2
2,618.0,2
2,744.0,2
2,866.0,2
2,992.0,2
2,1114.0,2
2,1240.0,2
2,1362.0,2
2,1488.0,2
2,1610.0,2
2,1736.0,2
2,1858.0,2
3,0.0,104
3,334.0,5
3,666.0,5
3,1000.0,46
3,1334.0,2
3,1666.0,2
3,250.0,15
3,500.0,16
3,750.0,26
3,1750.0,31
3,1250.0,29
3,1500.0,37
3,124.0,5
3,374.0,3
3,624.0,3
3,874.0,3
3,1124.0,3
3,1374.0,3
3,1624.0,3
3,1874.0,3
3,248.0,2
3,370.0,2
3,496.0,2
3,618.0,2
3,744.0,2
3,866.0,2
3,992.0,2
3,1114.0,2
3,1240.0,2
3,1362.0,2
3,1488.0,2
3,1610.0,2
3,1736.0,2
3,1858.0,2
4,0.0,113
4,334.0,3
4,666.0,3
4,1000.0,32
4,500.0,12
4,1750.0,21
4,250.0,9
4,750.0,15
4,1250.0,22
4,1500.0,34
4,124.0,2
4,248.0,2
4,370.0,2
4,496.0,2
4,618.0,2
4,744.0,2
4,866.0,2
4,992.0,2
4,1114.0,2
4,1240.0,2
4,1362.0,2
4,1488.0,2
4,1610.0,2
4,1736.0,2
4,1858.0,2
5,1000.0,64
5,1474.0,44
5,1500.0,44
5,1974.0,44
5,0.0,53
5,474.0,21
5,500.0,34
5,974.0,34
5,1898.0,9
5,948.0,23
5,1948.0,20
6,1000.0,64
6,1498.0,44
6,1500.0,44
6,1998.0,73
6,0.0,53
6,498.0,21
6,500.0,34
6,998.0,57
7,1000.0,64
7,1498.0,44
7,1500.0,44
7,1998.0,73
7,0.0,53
7,498.0,21
7,500.0,34
7,998.0,57
8,1000.0,64
8,1498.0,44
8,1500.0,44
8,1998.0,73
8,0.0,53
8,498.0,21
8,500.0,34
8,998.0,57
9,1000.0,39
9,1498.0,39
9,1500.0,49
9,1998.0,57
9,500.0,22
9,998.0,62
9,0.0,51
9,498.0,3
9,748.0,25
9,750.0,25
10,1000.0,39
10,1498.0,39
10,1500.0,49
10,1998.0,57
10,500.0,22
10,998.0,62
10,0.0,51
10,498.0,3
10,748.0,25
10,750.0,25
11,1000.0,39
11,1498.0,39
11,1500.0,49
11,1998.0,57
11,500.0,22
11,998.0,62
11,0.0,51
11,498.0,3
11,748.0,25
11,750.0,25
12,1000.0,64
12,1498.0,44
12,1500.0,44
12,1998.0,73
12,0.0,53
12,498.0,21
12,500.0,34
12,998.0,57
13,0.0,113
13,334.0,3
13,666.0,3
13,1000.0,30
13,500.0,10
13,1750.0,14
13,250.0,11
13,750.0,12
13,1250.0,19
13,1500.0,33
13,124.0,2
13,248.0,2
13,370.0,2
13,496.0,2
13,618.0,2
13,744.0,2
13,866.0,2
13,992.0,2
13,1114.0,2
13,1240.0,2
13,1362.0,2
13,1488.0,2
13,1610.0,2
13,1736.0,2
13,1858.0,2
