X,Y,Total_de_notas
2,750.0,41
2,998.0,56
2,1000.0,53
2,1248.0,41
2,1250.0,41
2,1748.0,36
2,1750.0,36
2,1998.0,42
2,2000.0,42
2,2498.0,39
2,2500.0,39
2,2998.0,34
2,3000.0,30
2,3498.0,21
2,3500.0,25
2,248.0,17
2,250.0,17
2,748.0,30
2,3248.0,33
2,3250.0,37
2,3748.0,38
2,3750.0,38
2,498.0,27
2,3998.0,22
2,0.0,22
2,2748.0,11
2,2750.0,11
2,2248.0,9
2,500.0,16
2,1498.0,16
2,1500.0,16
2,2250.0,8
3,750.0,38
3,998.0,54
3,1000.0,47
3,1248.0,38
3,1250.0,41
3,1748.0,38
3,1750.0,36
3,1998.0,43
3,2000.0,43
3,2498.0,39
3,2500.0,38
3,2998.0,33
3,3000.0,29
3,3498.0,24
3,3500.0,28
3,248.0,19
3,250.0,19
3,748.0,27
3,3248.0,34
3,3250.0,38
3,3748.0,36
3,3750.0,36
3,498.0,27
3,1500.0,22
3,2748.0,14
3,2750.0,14
3,1498.0,19
3,3998.0,20
3,0.0,20
3,500.0,16
3,2248.0,8
3,2250.0,8
4,1500.0,22
4,1748.0,28
4,1750.0,25
4,1998.0,32
4,2000.0,34
4,2498.0,28
4,2500.0,28
4,2748.0,14
4,2750.0,14
4,2998.0,31
4,3000.0,27
4,3248.0,28
4,3250.0,32
4,3498.0,22
4,3500.0,26
4,248.0,15
4,250.0,15
4,998.0,42
4,1250.0,29
4,1498.0,19
4,748.0,19
4,750.0,26
4,1000.0,35
4,1248.0,26
4,498.0,24
4,2248.0,9
4,3998.0,20
4,0.0,20
4,3748.0,30
4,3750.0,30
4,500.0,16
4,2250.0,8
5,1500.0,22
5,1748.0,32
5,1750.0,29
5,1998.0,32
5,2000.0,35
5,2498.0,32
5,2500.0,30
5,2748.0,14
5,2750.0,14
5,2998.0,33
5,3000.0,29
5,3248.0,30
5,3250.0,34
5,3498.0,22
5,3500.0,26
5,248.0,17
5,250.0,17
5,998.0,47
5,1250.0,33
5,1498.0,19
5,748.0,22
5,750.0,30
5,1000.0,40
5,1248.0,30
5,498.0,24
5,2248.0,9
5,3998.0,19
5,0.0,19
5,3748.0,32
5,3750.0,32
5,500.0,16
5,2250.0,8
