X,Y,Total_de_notas
2,3962.0,3
2,430.0,2
2,532.0,2
2,552.0,5
2,704.0,2
2,730.0,5
2,1118.0,1
2,1382.0,3
2,1532.0,3
2,1558.0,1
2,1738.0,3
2,1770.0,5
2,2112.0,1
2,2412.0,1
2,2536.0,6
2,2748.0,5
2,3080.0,1
2,3318.0,4
2,3498.0,1
2,3522.0,3
2,3728.0,1
2,3760.0,3
2,8.0,2
2,344.0,5
2,454.0,5
2,478.0,3
2,686.0,2
2,708.0,3
2,1058.0,1
2,1380.0,1
2,1516.0,4
2,1534.0,6
2,1750.0,6
2,2050.0,1
2,2388.0,1
2,2516.0,3
2,2544.0,1
2,2566.0,1
2,2780.0,6
2,2808.0,4
2,3008.0,1
2,3376.0,2
2,3470.0,3
2,3504.0,2
2,3684.0,1
2,3738.0,7
2,12.0,3
2,304.0,2
2,556.0,3
2,764.0,4
2,788.0,3
2,1050.0,2
2,1332.0,2
2,1546.0,3
2,1562.0,2
2,1796.0,2
2,1824.0,4
2,2058.0,2
2,2398.0,3
2,2548.0,4
2,2806.0,4
2,2842.0,6
2,2858.0,2
2,3070.0,2
2,3474.0,6
2,3758.0,6
2,3810.0,2
2,3994.0,1
2,356.0,2
2,472.0,2
2,490.0,1
2,508.0,4
2,720.0,2
2,744.0,2
2,1036.0,3
2,1342.0,2
2,1466.0,3
2,1492.0,1
2,1800.0,3
2,2068.0,1
2,2394.0,3
2,2498.0,5
2,2530.0,5
2,2760.0,3
2,2782.0,5
2,3028.0,1
2,3380.0,5
2,3454.0,6
2,3482.0,7
2,3790.0,1
2,34.0,1
2,358.0,1
2,488.0,7
2,554.0,1
2,596.0,1
2,748.0,3
2,1084.0,1
2,1346.0,3
2,1528.0,3
2,1776.0,2
2,1808.0,4
2,2042.0,1
2,2346.0,3
2,2482.0,3
2,2504.0,4
2,2788.0,5
2,3018.0,1
2,3302.0,1
2,3434.0,5
2,3462.0,2
2,3690.0,2
2,3722.0,2
2,2.0,2
2,366.0,2
2,492.0,5
2,756.0,3
2,774.0,4
2,1020.0,1
2,1042.0,2
2,1162.0,1
2,1368.0,1
2,1500.0,5
2,1554.0,3
2,1786.0,2
2,1834.0,6
2,2040.0,2
2,2442.0,1
2,2456.0,5
2,2496.0,7
2,2726.0,1
2,2774.0,3
2,3082.0,1
2,3306.0,1
2,3466.0,3
2,3488.0,5
2,3720.0,2
2,3756.0,1
2,3770.0,3
2,3986.0,3
2,264.0,3
2,446.0,4
2,482.0,6
2,520.0,2
2,712.0,2
2,760.0,6
2,1014.0,2
2,1348.0,1
2,1526.0,3
2,1812.0,7
2,2026.0,1
2,2362.0,1
2,2488.0,4
2,2510.0,3
2,2824.0,2
2,2874.0,2
2,3038.0,2
2,3320.0,2
2,3446.0,3
2,3480.0,3
2,3750.0,1
2,3812.0,1
2,3854.0,3
2,3996.0,2
2,318.0,2
2,526.0,2
2,740.0,3
2,784.0,3
2,1324.0,1
2,1518.0,4
2,1538.0,5
2,1804.0,3
2,1848.0,2
2,2022.0,1
2,2386.0,2
2,2514.0,2
2,2798.0,2
2,2850.0,2
2,3062.0,1
2,3382.0,2
2,3524.0,1
2,3558.0,2
2,3754.0,3
2,50.0,2
2,494.0,6
2,510.0,2
2,538.0,4
2,778.0,2
2,820.0,2
2,1004.0,2
2,1344.0,2
2,1504.0,3
2,1752.0,5
2,1780.0,2
2,2038.0,3
2,2320.0,1
2,2512.0,1
2,2734.0,3
2,2764.0,6
2,2942.0,2
2,3276.0,1
2,3500.0,4
2,3508.0,3
2,3718.0,4
2,3764.0,4
2,3792.0,2
2,3970.0,1
2,362.0,2
2,752.0,4
2,782.0,2
2,964.0,4
2,1316.0,1
2,1428.0,5
2,1454.0,5
2,1702.0,4
2,1734.0,2
2,1940.0,1
2,2326.0,1
2,2430.0,4
2,2454.0,7
2,2478.0,2
2,2718.0,2
2,2766.0,7
2,3290.0,1
2,3408.0,2
2,3668.0,3
2,3724.0,3
2,3926.0,1
2,312.0,1
2,420.0,4
2,442.0,2
2,724.0,6
2,750.0,1
2,990.0,1
2,1396.0,1
2,1426.0,4
2,1714.0,2
2,1762.0,4
2,1950.0,2
2,2340.0,1
2,2358.0,3
2,2380.0,2
2,2848.0,3
2,2978.0,2
2,3310.0,2
2,3386.0,4
2,3418.0,4
2,3774.0,1
2,3804.0,2
2,3824.0,2
2,328.0,2
2,706.0,3
2,732.0,4
2,1000.0,2
2,1298.0,3
2,1460.0,2
2,1710.0,3
2,1744.0,2
2,1998.0,3
2,2258.0,1
2,2438.0,5
2,2460.0,5
2,2770.0,5
2,2828.0,1
2,2852.0,1
2,3002.0,1
2,3364.0,2
2,3444.0,10
2,3808.0,1
2,3884.0,2
2,3992.0,2
2,354.0,2
2,506.0,3
2,528.0,3
2,812.0,2
2,842.0,2
2,868.0,1
2,974.0,2
2,1328.0,2
2,1434.0,1
2,1456.0,8
2,1488.0,3
2,1768.0,4
2,1818.0,2
2,1920.0,1
2,2322.0,1
2,2418.0,3
2,2732.0,1
2,2940.0,2
2,3346.0,1
2,3368.0,2
2,3394.0,3
2,3704.0,1
2,3938.0,2
2,254.0,1
2,486.0,2
2,746.0,3
2,766.0,3
2,3914.0,1
2,302.0,1
2,386.0,5
2,406.0,6
2,432.0,3
2,666.0,2
2,690.0,1
2,1008.0,3
2,1336.0,1
2,1470.0,4
2,1498.0,5
2,1736.0,6
2,1806.0,1
2,2012.0,2
2,2446.0,2
2,2476.0,2
2,2758.0,4
2,2838.0,2
2,3066.0,1
2,3388.0,2
2,3456.0,1
2,3510.0,2
2,3816.0,1
2,3878.0,2
2,3952.0,2
2,76.0,1
2,540.0,2
2,566.0,1
2,824.0,2
2,856.0,1
2,874.0,2
2,1398.0,1
2,1520.0,3
2,1782.0,4
2,1868.0,2
2,1994.0,3
2,2330.0,2
2,2480.0,1
2,2508.0,4
2,2792.0,1
2,2846.0,4
2,3004.0,1
2,3330.0,2
2,3406.0,6
2,3460.0,6
2,3768.0,4
2,3874.0,1
2,3982.0,2
2,36.0,1
2,424.0,1
2,516.0,2
2,776.0,1
2,802.0,2
2,834.0,3
2,1490.0,3
2,1506.0,6
2,2048.0,2
2,2384.0,1
2,2506.0,5
2,2742.0,6
2,3032.0,2
2,3414.0,4
2,3438.0,4
2,3702.0,1
2,3954.0,1
2,450.0,4
2,988.0,1
2,1406.0,5
2,1462.0,5
2,1746.0,4
2,1764.0,4
2,2440.0,1
2,2458.0,3
2,2486.0,5
2,2768.0,6
2,2800.0,2
2,2952.0,1
2,3420.0,2
2,3496.0,2
2,3780.0,6
2,3802.0,1
2,3984.0,3
2,426.0,1
2,476.0,5
2,798.0,4
2,1416.0,5
2,1436.0,3
2,1816.0,2
2,2056.0,1
2,2444.0,3
2,2490.0,8
2,2834.0,3
2,2878.0,1
2,3422.0,3
2,3448.0,7
2,3476.0,5
2,3918.0,1
2,3964.0,3
2,464.0,3
2,716.0,1
2,738.0,2
2,998.0,2
2,1232.0,1
2,1494.0,7
2,1748.0,3
2,1978.0,1
2,2364.0,1
2,2448.0,5
2,2752.0,5
2,2936.0,2
2,3294.0,1
2,3428.0,3
2,3450.0,3
2,3714.0,3
2,3734.0,3
2,3786.0,1
2,3998.0,2
2,514.0,2
2,1312.0,2
2,1472.0,3
2,1496.0,6
2,1908.0,1
2,1958.0,2
2,2428.0,4
2,2836.0,1
2,2868.0,2
2,2962.0,2
2,3350.0,2
2,3404.0,2
2,3440.0,7
2,3794.0,2
2,3844.0,2
2,6.0,3
2,306.0,1
2,826.0,2
2,858.0,3
2,32.0,3
2,416.0,5
2,496.0,5
2,518.0,1
2,754.0,6
2,956.0,1
2,1292.0,1
2,1524.0,1
2,1550.0,1
2,1790.0,3
2,2410.0,1
2,2534.0,7
2,2872.0,1
2,3050.0,1
2,3526.0,5
2,3548.0,1
2,3850.0,2
2,3928.0,1
2,60.0,2
2,452.0,5
2,522.0,2
2,860.0,3
2,1066.0,1
2,1402.0,2
2,1530.0,3
2,1842.0,4
2,2030.0,1
2,2354.0,1
2,2778.0,4
2,3006.0,1
2,3338.0,2
2,3396.0,3
2,3698.0,3
2,56.0,1
2,586.0,1
2,810.0,3
2,1350.0,1
2,1438.0,2
2,1478.0,5
2,1794.0,7
2,1864.0,1
2,2052.0,4
2,2406.0,5
2,2468.0,1
2,2984.0,2
2,3442.0,1
2,3676.0,1
2,3708.0,2
2,3752.0,4
2,3958.0,2
2,294.0,2
2,474.0,1
2,502.0,2
2,808.0,2
2,1052.0,2
2,1378.0,1
2,1464.0,4
2,1484.0,2
2,1766.0,6
2,2316.0,2
2,2472.0,3
2,2720.0,1
2,2832.0,4
2,3010.0,1
2,3468.0,2
2,3832.0,4
2,3860.0,1
2,3894.0,1
2,16.0,1
2,322.0,1
2,428.0,4
2,456.0,5
2,942.0,1
2,1202.0,1
2,1722.0,1
2,1758.0,1
2,1976.0,1
2,2260.0,2
2,2396.0,2
2,2414.0,2
2,2736.0,5
2,3214.0,1
2,3344.0,3
2,3372.0,1
2,3632.0,1
2,3888.0,1
2,300.0,1
2,846.0,1
2,1386.0,2
2,1514.0,3
2,1832.0,1
2,1892.0,2
2,2070.0,1
2,2422.0,1
2,2526.0,4
2,2814.0,2
2,3044.0,2
2,3384.0,2
2,3432.0,2
2,3452.0,1
2,3736.0,3
2,3772.0,3
2,0.0,1
2,410.0,1
2,440.0,8
2,694.0,1
2,800.0,2
2,1054.0,1
2,1314.0,1
2,1728.0,1
2,1778.0,3
2,2016.0,2
2,2318.0,1
2,2474.0,4
2,2964.0,1
2,3278.0,1
2,3800.0,2
2,3822.0,1
2,3922.0,1
2,3974.0,1
2,412.0,1
2,542.0,4
2,772.0,4
2,1040.0,1
2,1502.0,3
2,1548.0,1
2,2352.0,1
2,2484.0,6
2,2772.0,1
2,2796.0,1
2,2998.0,3
2,3436.0,4
2,3700.0,1
2,288.0,1
2,444.0,13
2,468.0,4
2,624.0,2
2,678.0,1
2,1012.0,3
2,1476.0,2
2,1760.0,5
2,2020.0,1
2,2416.0,2
2,2434.0,3
2,2664.0,1
2,2972.0,1
2,3622.0,1
2,3658.0,1
2,3672.0,1
2,10.0,3
2,38.0,1
2,110.0,1
2,164.0,2
2,190.0,1
2,382.0,3
2,394.0,3
2,70.0,1
2,448.0,3
2,512.0,1
2,564.0,1
2,762.0,3
2,786.0,2
2,1048.0,1
2,1330.0,1
2,1536.0,2
2,1742.0,2
2,2342.0,2
2,2696.0,2
2,2724.0,4
2,2980.0,1
2,3264.0,1
2,3366.0,1
2,3652.0,1
2,3706.0,1
2,3730.0,1
2,3968.0,1
2,298.0,1
2,504.0,1
2,736.0,4
2,994.0,1
2,1338.0,1
2,1444.0,6
2,1678.0,1
2,1696.0,1
2,1724.0,2
2,1960.0,1
2,2314.0,2
2,2420.0,1
2,2450.0,2
2,2688.0,1
2,2738.0,3
2,3348.0,3
2,3370.0,2
2,3540.0,1
2,3630.0,2
2,462.0,2
2,692.0,3
2,976.0,1
2,1260.0,1
2,1670.0,2
2,1700.0,2
2,1934.0,1
2,2252.0,1
2,3246.0,1
2,3742.0,6
2,3814.0,4
2,436.0,3
2,670.0,1
2,1038.0,3
2,1394.0,2
2,1986.0,1
2,2378.0,2
2,2716.0,1
2,2992.0,1
2,3022.0,1
2,3078.0,1
2,3416.0,2
2,3646.0,1
2,3960.0,1
2,320.0,1
2,674.0,1
2,698.0,4
2,958.0,3
2,1294.0,2
2,1666.0,3
2,1684.0,1
2,1712.0,2
2,1948.0,1
2,2350.0,2
2,2500.0,5
2,2714.0,3
2,2944.0,1
2,3332.0,1
2,3492.0,6
2,3542.0,1
2,3726.0,4
2,3798.0,2
2,4.0,2
2,702.0,2
2,734.0,2
2,1802.0,2
2,2044.0,1
2,2492.0,3
2,2794.0,8
2,2826.0,1
2,3042.0,1
2,3834.0,2
2,3858.0,3
2,372.0,2
2,480.0,2
2,498.0,1
2,992.0,2
2,1508.0,3
2,2338.0,2
2,2436.0,4
2,2784.0,1
2,2804.0,3
2,2956.0,1
2,276.0,1
2,790.0,1
2,968.0,2
2,1304.0,2
2,2034.0,1
2,2390.0,1
2,2522.0,1
2,2854.0,2
2,3060.0,1
2,3842.0,3
2,3912.0,1
2,62.0,1
2,524.0,1
2,558.0,2
2,1510.0,1
2,1820.0,2
2,2004.0,1
2,2344.0,1
2,3512.0,1
2,3942.0,2
2,278.0,2
2,500.0,3
2,718.0,2
2,792.0,1
2,970.0,1
2,1362.0,2
2,1964.0,2
2,2702.0,3
2,3326.0,1
2,3430.0,4
2,3478.0,1
2,3766.0,4
2,290.0,1
2,408.0,2
2,668.0,3
2,928.0,2
2,1420.0,3
2,1442.0,1
2,1990.0,1
2,2426.0,2
2,2762.0,1
2,2950.0,2
2,3340.0,1
2,3358.0,3
2,3848.0,3
2,3978.0,1
2,310.0,2
2,418.0,1
2,804.0,1
2,986.0,2
2,1446.0,2
2,1706.0,2
2,1732.0,4
2,2000.0,1
2,2298.0,2
2,2710.0,3
2,2744.0,1
2,3258.0,1
2,3828.0,1
2,3852.0,1
2,364.0,1
2,884.0,2
2,1354.0,2
2,1972.0,2
2,2328.0,1
2,2818.0,2
2,2920.0,1
2,3324.0,1
2,3732.0,1
2,3940.0,1
2,346.0,1
2,368.0,2
2,758.0,1
2,938.0,2
2,1254.0,1
2,1486.0,2
2,914.0,1
2,1302.0,1
2,1432.0,1
2,1690.0,1
2,2008.0,2
2,2336.0,1
2,2470.0,4
2,3012.0,1
2,3398.0,1
2,3838.0,2
2,66.0,1
2,388.0,2
2,816.0,1
2,876.0,1
2,952.0,1
2,1078.0,1
2,1540.0,1
2,1566.0,1
2,1822.0,1
2,1856.0,1
2,1874.0,1
2,2036.0,1
2,2520.0,2
2,2994.0,2
2,3846.0,4
2,330.0,1
2,460.0,3
2,768.0,2
2,982.0,2
2,1424.0,2
2,1774.0,1
2,3048.0,1
2,3506.0,2
2,3536.0,1
2,414.0,2
2,438.0,1
2,954.0,1
2,1450.0,3
2,1988.0,1
2,2424.0,2
2,2462.0,3
2,2746.0,1
2,3458.0,3
2,3486.0,5
2,466.0,1
2,780.0,4
2,984.0,1
2,1798.0,3
2,2382.0,1
2,2816.0,2
2,3056.0,1
2,3490.0,5
2,422.0,2
2,918.0,1
2,1430.0,1
2,1716.0,1
2,2232.0,1
2,2494.0,1
2,3806.0,2
2,3936.0,2
2,714.0,2
2,2312.0,1
2,2908.0,1
2,2958.0,1
2,3836.0,1
2,3868.0,1
2,350.0,1
2,404.0,2
2,794.0,1
2,844.0,2
2,1006.0,2
2,1306.0,1
2,1858.0,1
2,1032.0,1
2,1754.0,3
2,1956.0,1
2,2292.0,1
2,2550.0,1
2,2790.0,2
2,3410.0,1
2,3534.0,3
2,3872.0,1
2,548.0,1
2,850.0,1
2,1060.0,1
2,1452.0,4
2,1522.0,2
2,1860.0,2
2,2066.0,1
2,2402.0,2
2,3030.0,1
2,3354.0,1
2,3778.0,2
2,338.0,1
2,396.0,2
2,1056.0,1
2,1552.0,2
2,1586.0,1
2,1810.0,2
2,2014.0,1
2,2864.0,1
2,3052.0,2
2,676.0,1
2,1474.0,1
2,1756.0,2
2,2464.0,1
2,3316.0,1
2,832.0,1
2,894.0,1
2,1016.0,1
2,1322.0,1
2,1788.0,2
2,1942.0,1
2,2202.0,1
2,2722.0,1
2,2974.0,1
2,3260.0,1
2,3788.0,2
2,214.0,1
2,632.0,1
2,888.0,1
2,1300.0,1
2,1740.0,1
2,1846.0,1
2,2892.0,2
2,44.0,1
2,384.0,1
2,1410.0,1
2,1440.0,2
2,1694.0,1
2,2054.0,1
2,2466.0,1
2,2728.0,1
2,3016.0,2
2,822.0,1
2,922.0,1
2,972.0,1
2,1412.0,1
2,1542.0,3
2,1772.0,3
2,2502.0,1
2,2528.0,1
2,2812.0,2
2,3352.0,1
2,3484.0,4
2,3796.0,1
2,470.0,2
2,700.0,1
2,1288.0,1
2,1468.0,3
2,1622.0,1
2,1676.0,2
2,1784.0,2
2,3020.0,1
