X,Y,Total_de_notas
11,1000.0,30
11,1250.0,28
11,1500.0,28
11,1750.0,28
11,2000.0,32
11,2250.0,28
11,2500.0,50
11,2750.0,28
11,3000.0,23
11,3250.0,27
11,3500.0,31
11,3750.0,28
11,0.0,30
11,250.0,31
11,500.0,48
11,750.0,28
11,3376.0,1
13,1250.0,6
13,1500.0,6
13,1750.0,6
13,2000.0,8
13,2250.0,6
13,2500.0,6
13,2750.0,6
13,3000.0,8
13,3250.0,6
13,3500.0,6
13,3750.0,6
13,0.0,6
13,250.0,6
13,500.0,6
13,750.0,6
13,1000.0,6
14,1250.0,25
14,1500.0,30
14,1750.0,28
14,2250.0,28
14,2500.0,30
14,2750.0,31
14,3250.0,24
14,3500.0,29
14,3750.0,28
14,250.0,27
14,500.0,28
14,750.0,26
14,2000.0,5
14,3000.0,11
14,0.0,8
14,1000.0,3
15,1250.0,30
15,1750.0,30
15,2000.0,5
15,2250.0,30
15,2750.0,30
15,3250.0,31
15,3750.0,30
15,250.0,30
15,750.0,30
15,1000.0,2
15,3000.0,2
15,0.0,2
16,1000.0,16
16,1750.0,15
16,2000.0,16
16,2500.0,15
16,3000.0,16
16,3750.0,15
16,0.0,14
16,500.0,15
16,250.0,3
16,750.0,1
17,1000.0,16
17,2000.0,16
17,3000.0,16
17,0.0,15
