X,Y,Total_de_notas
2,1000.0,307
2,1250.0,222
2,2000.0,321
2,3000.0,304
2,3250.0,219
2,0.0,318
2,2516.0,2
2,2984.0,2
2,3476.0,2
2,3966.0,1
2,3976.0,3
2,3992.0,1
2,500.0,8
2,966.0,1
2,984.0,2
2,1484.0,3
2,1500.0,16
2,1976.0,3
2,2034.0,1
2,2792.0,1
2,2800.0,1
2,2808.0,1
2,3242.0,3
2,3466.0,1
2,3484.0,3
2,2500.0,14
2,3500.0,16
2,516.0,2
2,1476.0,2
2,1966.0,1
2,1992.0,1
2,2966.0,1
2,34.0,1
2,792.0,1
2,800.0,1
2,808.0,1
2,1242.0,3
2,1466.0,1
3,500.0,171
3,1000.0,63
3,1250.0,86
3,1500.0,176
3,2250.0,27
3,2500.0,172
3,3000.0,62
3,3250.0,86
3,3500.0,173
3,2000.0,66
3,250.0,26
3,750.0,8
3,0.0,65
3,2750.0,8
3,2892.0,4
3,3408.0,4
3,476.0,4
3,884.0,4
3,1416.0,4
3,2442.0,4
3,2826.0,4
3,3400.0,4
3,558.0,4
3,992.0,4
3,1484.0,5
3,1926.0,4
3,2376.0,4
3,3750.0,3
3,3816.0,1
3,16.0,1
3,2534.0,1
3,2958.0,1
3,2966.0,1
3,3484.0,5
3,3492.0,1
3,3884.0,1
3,3976.0,1
3,366.0,1
3,1750.0,2
3,892.0,4
3,1408.0,4
3,2476.0,4
3,2884.0,4
3,3416.0,4
3,442.0,4
3,826.0,4
3,1400.0,4
3,2558.0,4
3,2992.0,4
3,3926.0,4
3,376.0,4
3,1816.0,1
3,2016.0,1
3,534.0,1
3,958.0,1
3,966.0,1
3,1492.0,1
3,1884.0,1
3,1976.0,1
3,2366.0,1
4,3550.0,1
4,3600.0,1
4,16.0,3
4,1476.0,1
4,1584.0,1
4,2000.0,1
4,3492.0,2
4,3576.0,1
4,800.0,1
4,1234.0,1
4,1484.0,3
4,1976.0,1
4,2466.0,1
4,3458.0,1
4,3526.0,5
4,8.0,3
4,1442.0,1
4,1542.0,3
4,2034.0,1
4,3484.0,3
4,3542.0,3
4,3992.0,3
4,834.0,1
4,1258.0,1
4,1526.0,5
4,1992.0,3
4,2484.0,2
4,3616.0,1
4,50.0,1
4,1500.0,10
4,1558.0,1
4,2026.0,1
4,3566.0,1
4,716.0,1
4,1216.0,1
4,1958.0,1
4,208.0,1
4,758.0,1
4,1266.0,1
4,1984.0,1
4,2516.0,1
4,3026.0,2
4,3500.0,10
4,542.0,1
4,1026.0,2
4,2016.0,3
4,2776.0,2
4,3242.0,1
4,3250.0,1
4,500.0,4
4,2500.0,4
4,1550.0,1
4,1600.0,1
4,3476.0,1
4,3584.0,1
4,0.0,1
4,1492.0,2
4,1576.0,1
4,2800.0,1
4,3234.0,1
4,3976.0,1
4,466.0,1
4,1458.0,1
4,2008.0,3
4,3442.0,1
4,34.0,1
4,2834.0,1
4,3258.0,1
4,484.0,2
4,1616.0,1
4,2050.0,1
4,3558.0,1
4,26.0,1
4,1566.0,1
4,2716.0,1
4,3216.0,1
4,3958.0,1
4,2208.0,1
4,2758.0,1
4,3266.0,1
4,3984.0,1
4,516.0,1
4,2542.0,1
4,776.0,2
4,1242.0,1
4,1250.0,1
5,3550.0,1
5,3600.0,1
5,16.0,3
5,1476.0,1
5,1584.0,1
5,2000.0,1
5,3492.0,2
5,3576.0,1
5,800.0,1
5,1234.0,1
5,1484.0,3
5,1976.0,1
5,2466.0,1
5,3458.0,1
5,3526.0,5
5,8.0,3
5,1442.0,1
5,1542.0,3
5,2034.0,1
5,3484.0,3
5,3542.0,3
5,3992.0,3
5,834.0,1
5,1258.0,1
5,1526.0,5
5,1992.0,3
5,2484.0,2
5,3616.0,1
5,50.0,1
5,1500.0,10
5,1558.0,1
5,2026.0,1
5,3566.0,1
5,716.0,1
5,1216.0,1
5,1958.0,1
5,208.0,1
5,758.0,1
5,1266.0,1
5,1984.0,1
5,2516.0,1
5,3026.0,2
5,3500.0,10
5,542.0,1
5,1026.0,2
5,2016.0,3
5,2776.0,2
5,3242.0,1
5,3250.0,1
5,500.0,4
5,2500.0,4
5,1550.0,1
5,1600.0,1
5,3476.0,1
5,3584.0,1
5,0.0,1
5,1492.0,2
5,1576.0,1
5,2800.0,1
5,3234.0,1
5,3976.0,1
5,466.0,1
5,1458.0,1
5,2008.0,3
5,3442.0,1
5,34.0,1
5,2834.0,1
5,3258.0,1
5,484.0,2
5,1616.0,1
5,2050.0,1
5,3558.0,1
5,26.0,1
5,1566.0,1
5,2716.0,1
5,3216.0,1
5,3958.0,1
5,2208.0,1
5,2758.0,1
5,3266.0,1
5,3984.0,1
5,516.0,1
5,2542.0,1
5,776.0,2
5,1242.0,1
5,1250.0,1
6,3476.0,1
6,3550.0,2
6,26.0,4
6,1434.0,1
6,1526.0,3
6,1992.0,1
6,3526.0,3
6,3608.0,2
6,42.0,1
6,842.0,1
6,1250.0,2
6,2008.0,2
6,2516.0,1
6,3484.0,3
6,3576.0,1
6,34.0,3
6,1484.0,3
6,1608.0,2
6,2026.0,4
6,3626.0,1
6,0.0,1
6,792.0,1
6,1234.0,1
6,1500.0,1
6,1966.0,2
6,2492.0,1
6,3534.0,2
6,3616.0,1
6,1534.0,2
6,1600.0,1
6,2034.0,3
6,742.0,1
6,1208.0,1
6,1458.0,2
6,1984.0,1
6,2476.0,1
6,284.0,1
6,784.0,1
6,1508.0,1
6,2526.0,2
6,3016.0,1
6,3542.0,1
6,16.0,1
6,526.0,2
6,984.0,1
6,1476.0,1
6,1550.0,2
6,3434.0,1
6,3992.0,1
6,2042.0,1
6,2842.0,1
6,3250.0,2
6,8.0,2
6,516.0,1
6,1576.0,1
6,1626.0,1
6,2000.0,1
6,2792.0,1
6,3234.0,1
6,3500.0,1
6,3966.0,2
6,492.0,1
6,1616.0,1
6,3600.0,1
6,2742.0,1
6,3208.0,1
6,3458.0,2
6,3984.0,1
6,476.0,1
6,2284.0,1
6,2784.0,1
6,3508.0,1
6,1016.0,1
6,1542.0,1
6,2016.0,1
6,2984.0,1
7,1000.0,133
7,1126.0,6
7,1134.0,9
7,1250.0,95
7,1350.0,5
7,1416.0,11
7,2000.0,138
7,2176.0,5
7,2184.0,14
7,2200.0,6
7,3000.0,130
7,3108.0,11
7,3134.0,8
7,3158.0,2
7,3250.0,93
7,3326.0,1
7,3408.0,3
7,0.0,135
7,166.0,8
7,200.0,5
7,242.0,5
7,1084.0,20
7,1142.0,4
7,1358.0,3
7,1400.0,12
7,1434.0,2
7,2192.0,8
7,2242.0,5
7,3058.0,2
7,3142.0,4
7,3334.0,5
7,3358.0,3
7,3376.0,14
7,3392.0,15
7,126.0,10
7,184.0,13
7,1042.0,1
7,1108.0,11
7,1316.0,1
7,1366.0,8
7,1376.0,14
7,2126.0,10
7,2142.0,16
7,2150.0,5
7,3066.0,7
7,3116.0,7
7,3366.0,8
7,3384.0,5
7,3400.0,12
7,100.0,3
7,142.0,16
7,158.0,3
7,216.0,2
7,1058.0,2
7,1100.0,6
7,1158.0,2
7,1392.0,15
7,2158.0,3
7,3126.0,5
7,3184.0,3
7,1116.0,7
7,1300.0,15
7,1426.0,3
7,2116.0,7
7,3092.0,16
7,3342.0,1
7,3434.0,2
7,250.0,40
7,1092.0,16
7,1442.0,17
7,2234.0,1
7,3150.0,1
7,150.0,5
7,3084.0,20
7,3100.0,6
7,3426.0,3
7,192.0,8
7,1384.0,5
7,2750.0,9
7,2966.0,5
7,2976.0,25
7,3466.0,7
7,3476.0,5
7,3500.0,36
7,1008.0,7
7,1484.0,7
7,1500.0,36
7,1526.0,1
7,1942.0,5
7,1992.0,18
7,2058.0,1
7,2216.0,2
7,3200.0,10
7,3534.0,4
7,3626.0,4
7,3900.0,4
7,3942.0,5
7,458.0,6
7,492.0,8
7,550.0,8
7,884.0,13
7,1450.0,7
7,1976.0,16
7,2034.0,8
7,2226.0,4
7,2992.0,12
7,3050.0,4
7,3076.0,8
7,3234.0,14
7,3300.0,15
7,3950.0,4
7,3966.0,6
7,266.0,8
7,408.0,4
7,676.0,9
7,984.0,4
7,992.0,12
7,1234.0,14
7,1242.0,4
7,1708.0,9
7,2476.0,8
7,2484.0,7
7,2500.0,34
7,2676.0,9
7,3284.0,4
7,3542.0,8
7,3700.0,4
7,16.0,4
7,34.0,8
7,534.0,16
7,766.0,4
7,934.0,4
7,950.0,4
7,958.0,8
7,2466.0,6
7,3008.0,7
7,3016.0,4
7,3216.0,6
7,3726.0,4
7,3992.0,18
7,284.0,4
7,326.0,4
7,758.0,4
7,966.0,5
7,976.0,25
7,1276.0,4
7,2026.0,6
7,2526.0,4
7,2534.0,16
7,876.0,6
7,1476.0,5
7,1676.0,8
7,1792.0,6
7,2266.0,8
7,2300.0,5
7,3292.0,4
7,3442.0,17
7,392.0,8
7,416.0,6
7,500.0,34
7,1666.0,6
7,2166.0,8
7,2250.0,40
7,1634.0,2
7,2076.0,4
7,2558.0,4
7,2626.0,2
7,3600.0,2
7,484.0,7
7,516.0,2
7,666.0,2
7,1076.0,8
7,1558.0,2
7,2616.0,2
7,3450.0,7
7,3750.0,14
7,3892.0,2
7,750.0,9
7,866.0,2
7,1192.0,2
7,1258.0,2
7,1750.0,14
7,1884.0,6
7,2108.0,8
7,2334.0,2
7,2392.0,8
7,2426.0,2
7,2900.0,2
7,3350.0,4
7,3416.0,9
7,3792.0,6
7,3808.0,2
7,3884.0,6
7,84.0,2
7,108.0,8
7,434.0,5
7,1466.0,7
7,1800.0,2
7,1866.0,2
7,2400.0,2
7,2434.0,5
7,26.0,6
7,376.0,2
7,1608.0,2
7,1758.0,2
7,2066.0,2
7,2458.0,6
7,2716.0,2
7,2834.0,2
7,3666.0,6
7,3716.0,2
7,3734.0,2
7,116.0,7
7,476.0,8
7,1200.0,10
7,1216.0,6
7,3676.0,8
7,208.0,3
7,384.0,2
7,650.0,1
7,1908.0,1
7,2442.0,1
7,2942.0,1
7,3934.0,1
7,742.0,1
7,2208.0,3
7,2566.0,1
7,2708.0,1
7,3484.0,7
7,3658.0,1
7,300.0,5
7,308.0,1
7,316.0,1
7,1534.0,4
7,1626.0,4
7,1900.0,4
7,2492.0,8
7,2550.0,8
7,2884.0,13
7,3976.0,16
7,226.0,4
7,1050.0,4
7,1950.0,4
7,1966.0,6
7,2408.0,4
7,2984.0,4
7,3242.0,4
7,3708.0,9
7,1284.0,4
7,1334.0,5
7,1542.0,8
7,1700.0,4
7,2016.0,4
7,2766.0,4
7,2934.0,4
7,2950.0,4
7,2958.0,8
7,466.0,6
7,1016.0,4
7,1726.0,4
7,2284.0,4
7,2326.0,4
7,2758.0,4
7,3276.0,4
7,526.0,4
7,2876.0,6
7,1292.0,4
7,2416.0,6
7,176.0,4
7,1326.0,1
7,1408.0,3
7,3042.0,1
7,3316.0,1
7,1066.0,7
7,2100.0,3
7,1184.0,3
7,1342.0,1
7,234.0,1
7,1150.0,1
7,3526.0,1
7,58.0,1
7,3634.0,2
7,76.0,4
7,558.0,4
7,626.0,2
7,1600.0,2
7,2516.0,2
7,2666.0,2
7,3558.0,2
7,616.0,2
7,1892.0,2
7,2866.0,2
7,3192.0,2
7,3258.0,2
7,334.0,2
7,426.0,2
7,900.0,2
7,1808.0,2
7,2084.0,2
7,3800.0,2
7,3866.0,2
7,400.0,2
7,2376.0,2
7,3608.0,2
7,3758.0,2
7,66.0,2
7,716.0,2
7,834.0,2
7,1716.0,2
7,1734.0,2
7,2384.0,2
7,2650.0,1
7,3908.0,1
7,442.0,1
7,942.0,1
7,1934.0,1
7,2742.0,1
7,566.0,1
7,708.0,1
7,1658.0,1
7,2308.0,1
7,2316.0,1
8,2526.0,2
8,2542.0,9
8,576.0,8
8,626.0,2
8,1492.0,6
8,2466.0,5
8,1542.0,4
8,1550.0,9
8,2400.0,2
8,2458.0,14
8,442.0,2
8,484.0,5
8,2484.0,5
8,1500.0,4
8,2566.0,2
8,2576.0,8
8,2508.0,6
8,934.0,5
8,1966.0,5
8,2476.0,7
8,2500.0,14
8,1976.0,2
8,2026.0,3
8,2150.0,2
8,2200.0,2
8,2450.0,5
8,508.0,6
8,958.0,2
8,1458.0,4
8,1934.0,3
8,2034.0,3
8,2492.0,4
8,534.0,8
8,2534.0,8
8,2284.0,3
8,458.0,14
8,2142.0,2
8,426.0,2
8,2584.0,2
8,3058.0,3
8,3250.0,2
8,3426.0,4
8,3434.0,2
8,3876.0,2
8,3958.0,4
8,834.0,3
8,1150.0,2
8,1326.0,2
8,1384.0,2
8,1684.0,2
8,1908.0,3
8,2092.0,3
8,2308.0,2
8,2434.0,1
8,2876.0,1
8,500.0,12
8,3542.0,4
8,3616.0,1
8,466.0,5
8,3466.0,2
8,3484.0,2
8,542.0,9
8,2926.0,1
8,2934.0,5
8,3458.0,4
8,34.0,3
8,42.0,1
8,476.0,6
8,176.0,1
8,492.0,4
8,3392.0,2
8,450.0,5
8,2950.0,1
8,3534.0,1
8,3934.0,3
8,26.0,3
8,326.0,1
8,2992.0,1
8,3550.0,9
8,3966.0,5
8,2376.0,1
8,266.0,1
8,1450.0,1
8,1984.0,1
8,1992.0,1
8,284.0,3
8,1058.0,2
8,1334.0,2
8,1516.0,1
8,1950.0,1
8,1958.0,3
8,2834.0,2
8,3334.0,2
8,3500.0,4
8,3508.0,1
8,3800.0,1
8,3908.0,2
8,92.0,2
8,526.0,2
8,2626.0,2
8,3492.0,6
8,400.0,2
8,2442.0,2
8,566.0,2
8,3976.0,2
8,150.0,2
8,200.0,2
8,2958.0,2
8,142.0,2
8,2426.0,2
8,584.0,2
8,1250.0,1
8,1426.0,3
8,1434.0,1
8,1876.0,1
8,3150.0,1
8,3326.0,1
8,3384.0,1
8,3684.0,1
8,308.0,1
8,434.0,1
8,876.0,1
8,1616.0,1
8,1466.0,2
8,1484.0,2
8,926.0,1
8,2042.0,1
8,2176.0,1
8,1392.0,2
8,950.0,1
8,1534.0,1
8,2326.0,1
8,992.0,1
8,376.0,1
8,2266.0,1
8,3450.0,1
8,3984.0,1
8,3992.0,1
8,3516.0,1
8,3950.0,1
8,1508.0,1
8,1800.0,1
8,250.0,1
9,500.0,530
9,1500.0,700
9,2500.0,533
9,3500.0,697
9,0.0,226
9,1000.0,113
9,1250.0,216
9,1750.0,110
9,2000.0,226
9,2250.0,112
9,2750.0,105
9,3000.0,112
9,3250.0,214
9,3750.0,109
9,250.0,112
9,750.0,103
