X,Y,Total_de_notas
2,2958.0,4
2,3458.0,1
2,3508.0,1
2,126.0,2
2,176.0,2
2,3416.0,1
2,3716.0,1
2,3750.0,1
2,3858.0,1
2,376.0,1
2,408.0,1
2,1042.0,1
2,1050.0,1
2,3000.0,4
2,3442.0,1
2,3476.0,1
2,108.0,2
2,158.0,1
2,3626.0,1
2,3884.0,2
2,3892.0,1
2,1534.0,1
2,3834.0,1
2,3966.0,1
2,16.0,1
2,42.0,1
2,58.0,1
2,3916.0,1
2,3934.0,1
2,26.0,1
2,34.0,1
2,926.0,1
2,3792.0,1
2,3942.0,2
2,3976.0,2
2,166.0,1
2,3276.0,1
2,3708.0,1
3,2008.0,7
3,2966.0,3
3,3000.0,8
3,3942.0,1
3,3958.0,2
3,3976.0,5
3,0.0,11
3,1084.0,6
3,2042.0,7
3,2050.0,8
3,2000.0,4
3,2026.0,10
3,3084.0,4
3,58.0,7
3,84.0,5
3,8.0,18
3,1042.0,5
3,1076.0,1
3,3992.0,1
3,1008.0,9
3,1050.0,7
3,1984.0,7
3,1992.0,5
3,3016.0,8
3,3050.0,8
3,3966.0,4
3,26.0,10
3,1026.0,12
3,1034.0,3
3,1958.0,1
3,2508.0,7
3,2550.0,3
3,3034.0,2
3,3516.0,2
3,3534.0,2
3,16.0,6
3,1058.0,8
3,2016.0,6
3,3108.0,2
3,108.0,3
3,216.0,2
3,1092.0,3
3,184.0,1
3,984.0,3
3,3026.0,10
3,3076.0,3
3,34.0,2
3,1976.0,5
3,2066.0,4
3,2566.0,2
3,3508.0,11
3,1966.0,2
3,3042.0,6
3,3066.0,2
3,3984.0,5
3,2484.0,3
3,2526.0,3
3,2976.0,3
3,2992.0,2
3,3458.0,3
3,3476.0,7
3,3800.0,1
3,1892.0,1
3,2092.0,4
3,2558.0,2
3,3008.0,6
3,3484.0,5
3,3858.0,3
3,1592.0,1
3,2984.0,3
3,3442.0,4
3,3816.0,1
3,1626.0,1
3,2516.0,7
3,2542.0,5
3,3500.0,8
3,3834.0,1
3,584.0,1
3,600.0,1
3,3350.0,2
3,550.0,2
3,566.0,2
3,1566.0,4
3,1584.0,3
3,50.0,5
3,576.0,1
3,1000.0,7
3,1016.0,6
3,1526.0,2
3,1558.0,2
3,526.0,2
3,808.0,1
3,1216.0,1
3,1542.0,1
3,3626.0,1
3,516.0,2
3,542.0,2
3,1516.0,2
3,608.0,1
3,642.0,1
3,1100.0,1
3,1600.0,1
3,2076.0,1
3,1066.0,2
3,2492.0,1
3,1926.0,1
3,934.0,1
3,2958.0,3
3,42.0,4
3,3466.0,4
3,676.0,1
3,3426.0,1
3,942.0,1
3,958.0,2
3,2326.0,1
3,3492.0,3
3,3526.0,3
3,3700.0,2
3,3276.0,1
3,976.0,2
3,2908.0,1
3,2476.0,1
3,66.0,2
3,334.0,1
3,3542.0,2
3,142.0,2
3,1884.0,1
3,2534.0,1
3,3866.0,2
3,1866.0,1
3,1800.0,1
3,1708.0,1
3,3892.0,1
3,892.0,1
3,1316.0,1
3,476.0,2
3,500.0,1
3,1476.0,1
3,1484.0,1
3,76.0,1
3,926.0,1
3,1258.0,1
3,1508.0,1
3,1808.0,1
3,2058.0,4
3,592.0,3
3,626.0,1
3,1116.0,1
3,1550.0,2
3,2950.0,1
3,2084.0,1
3,1608.0,1
3,466.0,1
3,2034.0,1
3,2576.0,1
3,3384.0,1
3,1108.0,1
3,2592.0,1
3,3734.0,1
3,1950.0,1
3,3058.0,1
3,1942.0,1
3,3766.0,1
3,3826.0,1
3,2108.0,1
3,1126.0,1
3,1142.0,1
3,2100.0,1
3,242.0,1
3,1408.0,1
4,2026.0,8
4,2042.0,8
4,2050.0,7
4,3026.0,5
4,3042.0,6
4,3958.0,7
4,3976.0,17
4,26.0,46
4,42.0,22
4,1084.0,10
4,1092.0,3
4,2016.0,11
4,3066.0,5
4,3084.0,7
4,3092.0,1
4,16.0,30
4,50.0,18
4,0.0,42
4,8.0,27
4,1100.0,3
4,2058.0,2
4,1976.0,9
4,2000.0,9
4,2008.0,10
4,3966.0,9
4,3984.0,25
4,1434.0,2
4,58.0,10
4,1016.0,4
4,1042.0,4
4,1050.0,6
4,1066.0,10
4,1942.0,4
4,1966.0,5
4,2466.0,5
4,2958.0,2
4,2984.0,7
4,3000.0,9
4,3416.0,1
4,3458.0,3
4,3476.0,5
4,726.0,2
4,976.0,2
4,1466.0,2
4,2458.0,2
4,2476.0,5
4,2508.0,3
4,3050.0,5
4,3500.0,7
4,3526.0,1
4,3566.0,1
4,3916.0,1
4,750.0,3
4,942.0,1
4,1484.0,3
4,2500.0,8
4,2526.0,3
4,2942.0,2
4,3016.0,3
4,3434.0,3
4,3442.0,2
4,758.0,6
4,926.0,1
4,1258.0,1
4,2442.0,3
4,3008.0,8
4,1516.0,5
4,516.0,1
4,466.0,1
4,1058.0,10
4,1542.0,4
4,500.0,2
4,1508.0,8
4,3942.0,2
4,484.0,1
4,1026.0,4
4,2592.0,1
4,3100.0,2
4,692.0,1
4,916.0,1
4,1926.0,1
4,2434.0,1
4,3516.0,4
4,1458.0,2
4,3484.0,5
4,92.0,1
4,792.0,4
4,1984.0,4
4,2484.0,4
4,2976.0,6
4,850.0,1
4,1526.0,2
4,2384.0,1
4,2966.0,5
4,716.0,2
4,1500.0,3
4,2516.0,7
4,858.0,1
4,1476.0,5
4,734.0,4
4,3466.0,2
4,1550.0,1
4,2584.0,1
4,66.0,1
4,984.0,1
4,1316.0,1
4,1416.0,1
4,2066.0,1
4,2558.0,2
4,800.0,3
4,2084.0,1
4,2092.0,1
4,2542.0,2
4,2550.0,2
4,3058.0,2
4,3508.0,4
4,1126.0,2
4,1558.0,2
4,2416.0,1
4,508.0,2
4,1008.0,1
4,776.0,4
4,808.0,1
4,834.0,1
