X,Y,Total_de_notas
2,42.0,2
2,366.0,1
2,492.0,199
2,992.0,228
2,1234.0,9
2,1358.0,3
2,1492.0,164
2,1992.0,214
2,2076.0,1
2,2216.0,11
2,2492.0,184
2,2984.0,2
2,2992.0,203
2,3008.0,2
2,3492.0,192
2,3966.0,2
2,3992.0,221
2,2792.0,7
2,2926.0,2
2,3800.0,2
2,3858.0,3
2,3866.0,2
2,2250.0,12
2,2276.0,4
2,50.0,2
2,200.0,10
2,758.0,6
2,776.0,6
2,1476.0,2
2,1534.0,1
2,1576.0,1
2,1592.0,5
2,1650.0,2
2,1658.0,4
2,1700.0,9
2,1716.0,8
2,1776.0,1
2,1784.0,3
2,1826.0,5
2,1842.0,3
2,1876.0,2
2,1900.0,2
2,1950.0,1
2,1958.0,3
2,2026.0,4
2,2084.0,1
2,2092.0,2
2,2158.0,1
2,2200.0,10
2,2242.0,7
2,2334.0,3
2,2350.0,2
2,2416.0,1
2,2426.0,3
2,2550.0,1
2,2566.0,3
2,2626.0,2
2,2634.0,1
2,2692.0,4
2,2700.0,6
2,2758.0,4
2,2776.0,5
2,2834.0,6
2,2876.0,3
2,3208.0,6
2,3742.0,5
2,3750.0,3
2,216.0,6
2,242.0,8
2,534.0,4
2,542.0,2
2,592.0,2
2,616.0,2
2,666.0,6
2,692.0,6
2,734.0,10
2,742.0,4
2,792.0,1
2,800.0,2
2,834.0,6
2,858.0,6
2,884.0,2
2,908.0,2
2,950.0,1
2,966.0,6
2,1026.0,1
2,1066.0,4
2,1092.0,2
2,1158.0,4
2,1200.0,9
2,1276.0,5
2,1300.0,1
2,1334.0,2
2,1376.0,2
2,1400.0,2
2,1442.0,3
2,1466.0,1
2,1542.0,1
2,1566.0,1
2,1634.0,3
2,1758.0,2
2,1792.0,2
2,3000.0,1
2,3076.0,2
2,250.0,5
2,266.0,2
2,1616.0,1
2,1626.0,1
2,3176.0,2
2,3200.0,9
2,3242.0,5
2,342.0,3
2,358.0,2
2,942.0,2
