X,Y,Total_de_notas
2,0.0,86
2,114.0,15
2,126.0,15
2,240.0,26
2,250.0,31
2,990.0,58
2,1000.0,93
2,1240.0,25
2,1250.0,25
2,1490.0,37
2,1500.0,61
2,1740.0,24
2,1750.0,24
2,1990.0,39
2,2000.0,67
2,2240.0,25
2,2250.0,26
2,2490.0,40
2,2500.0,68
2,2740.0,45
2,2750.0,53
2,2990.0,46
2,3000.0,66
2,3240.0,47
2,3250.0,49
2,3490.0,50
2,3500.0,68
2,3740.0,47
2,3750.0,49
2,3990.0,50
2,166.0,12
2,500.0,65
2,666.0,20
2,1166.0,22
2,1666.0,24
2,2166.0,24
2,2666.0,22
2,3166.0,16
2,3666.0,18
2,1114.0,7
2,1126.0,7
2,490.0,51
2,1834.0,26
2,2916.0,2
2,3416.0,2
2,3916.0,2
2,614.0,4
2,626.0,4
2,740.0,16
2,750.0,16
2,864.0,4
2,876.0,4
2,1364.0,5
2,1376.0,5
2,1614.0,5
2,1626.0,5
2,1864.0,5
2,1876.0,5
2,2114.0,7
2,2126.0,7
2,2364.0,7
2,2376.0,7
2,2614.0,5
2,2626.0,5
2,2864.0,5
2,2876.0,5
2,3114.0,5
2,3126.0,5
2,3364.0,5
2,3376.0,5
2,3614.0,5
2,3626.0,5
2,3864.0,5
2,3876.0,5
2,2834.0,4
2,834.0,5
2,364.0,2
2,376.0,2
3,2000.0,48
3,2250.0,3
3,3000.0,60
3,3250.0,3
3,0.0,75
3,834.0,29
3,1000.0,39
3,1834.0,25
3,3834.0,40
3,240.0,2
3,250.0,4
3,490.0,12
3,500.0,16
3,740.0,2
3,750.0,2
3,990.0,16
3,1240.0,2
3,1250.0,2
3,1490.0,14
3,1500.0,35
3,1740.0,2
3,1750.0,13
3,1990.0,35
3,2240.0,2
3,2490.0,12
3,2500.0,18
3,2740.0,2
3,2750.0,2
3,2990.0,12
3,3240.0,2
3,3490.0,13
3,3500.0,19
3,3740.0,2
3,3750.0,16
3,3990.0,13
3,1334.0,21
3,2166.0,6
3,2666.0,6
3,3166.0,6
3,3666.0,6
3,2834.0,15
