X,Y,Total_de_notas
2,1500.0,47
2,1736.0,12
2,1750.0,12
2,1986.0,12
2,2000.0,45
2,2474.0,17
2,2500.0,29
2,2974.0,12
2,3000.0,50
2,3710.0,12
2,3750.0,12
2,3986.0,12
2,0.0,60
2,474.0,20
2,500.0,20
2,1448.0,12
2,2448.0,12
2,3924.0,11
2,3448.0,6
2,3500.0,44
2,3974.0,28
2,948.0,24
2,1898.0,14
2,974.0,8
2,1000.0,33
2,1474.0,23
2,1974.0,15
2,2948.0,28
2,3474.0,30
2,1874.0,12
2,924.0,4
2,3948.0,8
2,1948.0,10
2,2924.0,8
2,2848.0,2
3,2000.0,45
3,2998.0,62
3,3000.0,50
3,3998.0,59
3,500.0,20
3,998.0,48
3,1500.0,35
3,1998.0,71
3,2500.0,15
3,3500.0,50
3,0.0,54
3,1000.0,35
3,1498.0,23
3,2498.0,3
3,498.0,8
3,3498.0,30
4,1500.0,47
4,1748.0,12
4,1750.0,12
4,1998.0,63
4,2000.0,45
4,2498.0,29
4,2500.0,29
4,2998.0,50
4,3000.0,50
4,3748.0,12
4,3750.0,12
4,3998.0,59
4,0.0,60
4,498.0,20
4,500.0,20
4,1498.0,35
4,3498.0,36
4,3500.0,44
4,998.0,36
4,1000.0,33
5,1500.0,47
5,1748.0,12
5,1750.0,12
5,1998.0,63
5,2000.0,45
5,2498.0,29
5,2500.0,29
5,2998.0,50
5,3000.0,50
5,3748.0,12
5,3750.0,12
5,3998.0,59
5,0.0,60
5,498.0,20
5,500.0,20
5,1498.0,35
5,3498.0,36
5,3500.0,44
5,998.0,36
5,1000.0,33
6,2000.0,45
6,2998.0,62
6,3000.0,50
6,3998.0,59
6,500.0,20
6,998.0,48
6,1500.0,35
6,1998.0,71
6,2500.0,15
6,3500.0,50
6,0.0,54
6,1000.0,35
6,1498.0,23
6,2498.0,3
6,498.0,8
6,3498.0,30
7,2000.0,45
7,2998.0,62
7,3000.0,50
7,3998.0,59
7,500.0,20
7,998.0,48
7,1500.0,35
7,1998.0,71
7,2500.0,15
7,3500.0,50
7,0.0,54
7,1000.0,35
7,1498.0,23
7,2498.0,3
7,498.0,8
7,3498.0,30
8,2000.0,45
8,2998.0,62
8,3000.0,50
8,3998.0,59
8,500.0,20
8,998.0,48
8,1500.0,35
8,1998.0,71
8,2500.0,15
8,3500.0,50
8,0.0,54
8,1000.0,35
8,1498.0,23
8,2498.0,3
8,498.0,8
8,3498.0,30
9,1500.0,49
9,1748.0,12
9,1750.0,12
9,1998.0,69
9,2000.0,41
9,2498.0,25
9,2500.0,25
9,2998.0,48
9,3000.0,60
9,3748.0,12
9,3750.0,12
9,3998.0,61
9,0.0,54
9,498.0,28
9,500.0,28
9,1498.0,37
9,3498.0,54
9,3500.0,70
9,998.0,42
9,1000.0,37
