X,Y,Total_de_notas
2,4000.0,101
2,998.0,85
2,1000.0,102
2,2998.0,82
2,3000.0,84
2,4998.0,82
2,0.0,89
2,1998.0,85
2,2000.0,95
2,3998.0,88
2,3332.0,4
2,3334.0,4
2,3664.0,4
2,3666.0,4
2,4332.0,3
2,4334.0,3
2,4664.0,3
2,4666.0,3
2,1332.0,2
2,1334.0,2
2,1664.0,2
2,1666.0,2
2,4498.0,23
2,498.0,26
2,1498.0,29
2,2498.0,26
2,3248.0,2
2,3500.0,18
2,3748.0,2
2,1500.0,18
2,500.0,19
2,4500.0,18
2,332.0,4
2,334.0,4
2,664.0,4
2,666.0,4
2,3498.0,23
2,2500.0,17
2,248.0,2
2,748.0,2
2,2332.0,2
2,2334.0,2
2,2664.0,2
2,2666.0,2
2,1248.0,1
2,1748.0,1
2,4248.0,1
2,4748.0,1
