X,Y,Total_de_notas
2,0.0,6
2,498.0,7
2,500.0,7
2,1998.0,7
2,2000.0,7
2,3998.0,7
2,2998.0,2
2,3000.0,2
2,2500.0,1
2,3498.0,1
2,3500.0,1
3,500.0,96
3,998.0,96
3,1000.0,96
3,1998.0,96
3,2000.0,96
3,2998.0,96
3,3000.0,96
3,3998.0,96
4,0.0,25
4,498.0,25
4,500.0,24
4,998.0,24
4,1000.0,24
4,1998.0,24
4,2000.0,24
4,2998.0,24
4,3000.0,24
4,3998.0,24
5,500.0,96
5,498.0,96
6,0.0,25
6,498.0,25
6,500.0,48
6,998.0,48
6,1000.0,48
6,1498.0,48
6,1500.0,48
6,1998.0,48
6,2000.0,48
6,2498.0,48
6,2500.0,24
6,2998.0,24
6,3000.0,48
6,3498.0,48
6,3500.0,48
6,3998.0,48
