X,Y,Total_de_notas
2,4000.0,24
2,4892.0,33
2,3976.0,8
2,3984.0,17
2,4884.0,20
2,4026.0,2
2,4900.0,15
2,4008.0,11
2,4908.0,10
2,3992.0,16
2,4034.0,1
2,4866.0,1
3,8.0,67
3,992.0,28
3,1666.0,79
3,2000.0,43
3,2658.0,29
3,2984.0,42
3,3676.0,18
3,3992.0,24
3,4000.0,65
3,4316.0,21
3,4650.0,24
3,0.0,68
3,1676.0,33
3,1992.0,31
3,2650.0,21
3,3000.0,88
3,4326.0,30
3,4666.0,37
3,1000.0,39
3,2666.0,40
3,2992.0,47
3,3650.0,16
3,4334.0,40
3,4984.0,42
3,1658.0,53
3,3984.0,29
3,4642.0,2
3,2008.0,11
3,3658.0,27
3,4676.0,9
3,4658.0,31
3,1008.0,14
3,1984.0,12
3,4008.0,32
3,3666.0,35
3,1650.0,33
3,984.0,16
3,3008.0,21
3,4992.0,20
3,4342.0,9
3,16.0,16
3,976.0,3
3,26.0,1
3,1976.0,3
3,2676.0,10
3,4976.0,4
3,2642.0,2
3,1642.0,2
3,2976.0,2
3,666.0,1
3,1342.0,1
3,3334.0,2
3,1326.0,1
3,3326.0,2
3,4016.0,2
3,4084.0,1
3,250.0,3
3,492.0,2
3,734.0,2
3,1250.0,1
3,1508.0,3
3,1742.0,2
3,2016.0,1
3,2242.0,3
3,2484.0,1
3,508.0,1
3,1242.0,2
3,1500.0,1
3,1750.0,2
3,2500.0,2
3,242.0,1
3,500.0,1
3,758.0,1
3,2250.0,1
3,2508.0,1
3,742.0,1
3,1234.0,1
3,3976.0,2
4,8.0,20
4,192.0,14
4,1666.0,31
4,1884.0,28
4,2992.0,25
4,3916.0,9
4,26.0,1
4,216.0,19
4,1650.0,25
4,1876.0,15
4,3000.0,23
4,3900.0,15
4,4984.0,30
4,1676.0,15
4,1866.0,17
4,2984.0,25
4,3884.0,18
4,4992.0,18
4,200.0,11
4,3008.0,15
4,3866.0,12
4,3876.0,9
4,184.0,23
4,208.0,11
4,1658.0,25
4,2976.0,14
4,0.0,26
4,3908.0,7
4,3892.0,19
4,16.0,3
4,1892.0,11
4,3016.0,1
4,1708.0,1
4,1642.0,8
4,234.0,2
4,1466.0,4
4,2926.0,2
4,4800.0,2
4,1684.0,1
4,2908.0,6
4,4784.0,5
4,1450.0,6
4,2900.0,2
4,1458.0,3
4,4792.0,3
4,42.0,3
4,2892.0,2
4,4766.0,4
4,1434.0,1
4,2916.0,3
4,226.0,4
4,1850.0,5
4,4976.0,6
4,1858.0,11
4,3850.0,1
4,176.0,6
4,3034.0,1
4,2966.0,1
4,4758.0,1
4,2884.0,1
4,1442.0,2
4,4776.0,1
4,1842.0,2
4,1908.0,1
4,166.0,1
4,3042.0,1
5,3008.0,9
5,3576.0,10
5,3650.0,17
5,3950.0,29
5,3984.0,17
5,4592.0,2
5,4666.0,11
5,4966.0,6
5,4992.0,18
5,558.0,4
5,676.0,6
5,934.0,2
5,1000.0,2
5,1584.0,7
5,1650.0,8
5,1950.0,8
5,1992.0,11
5,2884.0,1
5,2992.0,9
5,3566.0,11
5,3658.0,18
5,4000.0,17
5,4892.0,6
5,8.0,9
5,2676.0,5
5,2984.0,25
5,3292.0,3
5,3342.0,5
5,3616.0,7
5,3942.0,9
5,4908.0,4
5,2700.0,3
5,3300.0,5
5,4900.0,6
5,4976.0,9
5,2658.0,13
5,3592.0,5
5,3966.0,6
5,4576.0,8
5,4658.0,10
5,4950.0,10
5,4984.0,19
5,576.0,8
5,658.0,5
5,958.0,3
5,1008.0,2
5,1558.0,2
5,1658.0,8
5,1942.0,2
5,2000.0,9
5,2584.0,2
5,2684.0,2
5,2958.0,5
5,3584.0,7
5,3958.0,8
5,3992.0,15
5,4858.0,1
5,2642.0,3
5,3000.0,12
5,3276.0,2
5,3334.0,6
5,3634.0,5
5,4876.0,6
5,0.0,12
5,2666.0,9
5,3308.0,2
5,3600.0,3
5,3642.0,4
5,3908.0,2
5,42.0,4
5,666.0,10
5,1116.0,4
5,1708.0,2
5,1958.0,5
5,1984.0,6
5,2892.0,6
5,3666.0,11
5,3934.0,4
5,4650.0,6
5,4958.0,4
5,592.0,3
5,1126.0,2
5,1666.0,12
5,3042.0,5
5,4584.0,11
5,1108.0,4
5,1926.0,1
5,2916.0,2
5,3976.0,9
5,4566.0,5
5,4942.0,8
5,584.0,8
5,684.0,2
5,950.0,5
5,1576.0,2
5,1934.0,5
5,4026.0,1
5,4558.0,3
5,4934.0,1
5,1966.0,6
5,2876.0,4
5,3676.0,7
5,4676.0,2
5,642.0,2
5,3558.0,5
5,966.0,1
5,984.0,2
5,2650.0,6
5,4884.0,5
5,2692.0,3
5,3284.0,7
5,3266.0,3
5,3626.0,5
5,976.0,2
5,2008.0,2
5,2558.0,8
5,2926.0,1
5,3326.0,3
5,1784.0,1
5,2284.0,1
5,2334.0,1
5,2626.0,1
5,3808.0,1
5,1450.0,4
5,2750.0,1
5,2576.0,2
5,3816.0,1
5,1434.0,2
5,3242.0,1
5,1442.0,2
5,2950.0,6
5,1466.0,3
5,1676.0,2
5,2534.0,1
5,2966.0,5
5,1458.0,4
5,2550.0,3
5,3876.0,1
5,1642.0,8
5,4258.0,1
5,650.0,2
5,142.0,1
5,1534.0,1
5,3784.0,1
5,26.0,1
5,2184.0,1
5,250.0,1
5,992.0,3
5,1826.0,1
5,2542.0,2
5,3884.0,1
5,4008.0,4
5,4916.0,3
5,3866.0,1
5,4634.0,1
5,2226.0,1
5,2326.0,2
5,2616.0,1
5,2976.0,3
5,3916.0,1
5,1334.0,1
5,1608.0,1
5,2942.0,1
5,566.0,2
5,1176.0,1
5,2758.0,1
5,2566.0,2
5,4450.0,1
5,1908.0,1
5,942.0,1
5,2908.0,1
5,2708.0,1
5,1592.0,1
5,2934.0,1
5,4866.0,3
5,3608.0,1
5,3926.0,2
5,16.0,1
5,1092.0,2
5,1916.0,2
5,2866.0,2
5,1976.0,1
5,4642.0,2
5,3250.0,1
5,2592.0,1
5,3316.0,1
5,4034.0,1
5,3700.0,1
5,2166.0,1
6,658.0,40
6,884.0,65
6,1984.0,58
6,2208.0,30
6,3984.0,87
6,4208.0,63
6,642.0,18
6,876.0,47
6,1992.0,52
6,2216.0,76
6,3976.0,39
6,4008.0,35
6,4184.0,30
6,676.0,34
6,2226.0,19
6,4192.0,56
6,1976.0,28
6,2192.0,28
6,858.0,15
6,2200.0,38
6,4000.0,45
6,4216.0,55
6,4226.0,16
6,892.0,43
6,2000.0,34
6,666.0,68
6,4200.0,68
6,650.0,45
6,1966.0,13
6,4166.0,6
6,866.0,37
6,2008.0,32
6,684.0,15
6,2034.0,4
6,2184.0,20
6,3992.0,44
6,4042.0,32
6,4242.0,2
6,692.0,4
6,4034.0,13
6,2176.0,11
6,4176.0,7
6,850.0,8
6,4234.0,8
6,2234.0,3
6,900.0,10
6,3966.0,6
6,908.0,1
6,3958.0,3
6,2016.0,4
6,3026.0,2
6,3876.0,2
6,4026.0,4
6,2242.0,1
6,634.0,2
6,4016.0,3
6,2042.0,1
