X,Y,Total_de_notas
2,2750.0,7
2,3642.0,13
2,226.0,4
2,1142.0,10
2,1500.0,9
2,2392.0,10
2,2734.0,7
2,250.0,8
2,1484.0,5
2,2384.0,8
2,276.0,1
2,1150.0,4
2,1508.0,6
2,3658.0,2
2,242.0,6
2,1134.0,6
2,1492.0,6
2,2400.0,7
2,2784.0,1
2,3634.0,6
2,1116.0,1
2,2758.0,3
2,3650.0,4
2,2742.0,4
2,1476.0,2
2,2726.0,2
2,1158.0,5
2,2408.0,3
2,234.0,5
2,2776.0,1
2,258.0,2
3,8.0,17
3,992.0,7
3,1666.0,25
3,2000.0,10
3,2658.0,9
3,2984.0,8
3,3676.0,7
3,242.0,11
3,250.0,23
3,566.0,5
3,900.0,9
3,1250.0,22
3,1258.0,29
3,2242.0,11
3,2926.0,11
3,3242.0,8
3,150.0,7
3,500.0,23
3,1176.0,5
3,1492.0,4
3,1826.0,14
3,2166.0,15
3,2508.0,22
3,3500.0,9
3,426.0,8
3,742.0,11
3,1416.0,11
3,1742.0,17
3,1750.0,32
3,2400.0,7
3,2750.0,19
3,3084.0,15
3,3416.0,14
3,3734.0,18
3,1658.0,16
3,1992.0,13
3,2992.0,18
3,234.0,5
3,892.0,2
3,2250.0,15
3,2916.0,25
3,3258.0,6
3,484.0,20
3,1158.0,7
3,1484.0,9
3,2176.0,3
3,3492.0,13
3,408.0,12
3,2734.0,15
3,3408.0,9
3,1008.0,7
3,1984.0,8
3,2666.0,17
3,3000.0,36
3,3658.0,11
3,258.0,12
3,576.0,12
3,908.0,11
3,1166.0,15
3,1500.0,27
3,2158.0,11
3,2484.0,16
3,416.0,29
3,1408.0,11
3,1650.0,14
3,3666.0,11
3,584.0,12
3,1234.0,10
3,2258.0,3
3,2908.0,25
3,1508.0,13
3,3484.0,7
3,750.0,15
3,1758.0,6
3,3076.0,4
3,3742.0,9
3,592.0,5
3,158.0,9
3,2516.0,7
3,1400.0,9
3,2416.0,9
3,3066.0,11
3,0.0,27
3,976.0,2
3,166.0,12
3,2408.0,9
3,1000.0,16
3,1266.0,7
3,3250.0,18
3,492.0,16
3,1842.0,2
3,2492.0,9
3,26.0,1
3,1976.0,2
3,2650.0,5
3,1150.0,5
3,1734.0,14
3,2426.0,6
3,2742.0,10
3,1676.0,14
3,926.0,4
3,176.0,6
3,1834.0,13
3,2500.0,22
3,1426.0,2
3,2758.0,10
3,3400.0,9
3,916.0,8
3,3234.0,3
3,400.0,14
3,2234.0,6
3,3508.0,4
3,2008.0,3
3,3008.0,6
3,3476.0,1
3,508.0,10
3,734.0,3
3,1226.0,2
3,758.0,3
3,3092.0,2
3,16.0,2
3,2642.0,1
3,1816.0,5
3,3650.0,4
3,2676.0,2
3,392.0,2
3,3426.0,2
3,2976.0,2
3,2900.0,5
3,2150.0,6
3,984.0,3
3,726.0,1
3,1916.0,1
3,2592.0,1
3,834.0,1
3,76.0,1
3,2076.0,1
3,3334.0,1
3,826.0,1
3,1516.0,2
3,1584.0,1
3,3726.0,2
3,3266.0,1
3,1242.0,4
3,226.0,2
3,142.0,1
4,1258.0,7
4,1442.0,6
4,2916.0,11
4,3134.0,12
4,492.0,9
4,1416.0,5
4,2526.0,1
4,2716.0,7
4,400.0,15
4,626.0,4
4,1750.0,7
4,2650.0,6
4,3734.0,11
4,216.0,8
4,1676.0,5
4,1866.0,6
4,2984.0,9
4,134.0,7
4,1242.0,8
4,1450.0,6
4,2926.0,6
4,3126.0,5
4,508.0,4
4,1366.0,6
4,2484.0,10
4,2692.0,7
4,416.0,11
4,2626.0,4
4,184.0,8
4,1650.0,7
4,2992.0,8
4,1234.0,9
4,1458.0,7
4,2908.0,18
4,476.0,7
4,1384.0,7
4,2500.0,11
4,2708.0,4
4,634.0,8
4,1734.0,9
4,2658.0,5
4,3742.0,5
4,1884.0,8
4,142.0,9
4,1266.0,3
4,3142.0,4
4,1392.0,6
4,2492.0,5
4,2684.0,8
4,426.0,6
4,616.0,6
4,1766.0,1
4,2616.0,4
4,0.0,8
4,1708.0,1
4,1876.0,6
4,3008.0,7
4,126.0,4
4,1250.0,7
4,2892.0,2
4,3116.0,5
4,484.0,7
4,2734.0,1
4,1726.0,5
4,2642.0,4
4,8.0,5
4,200.0,6
4,1658.0,8
4,3000.0,9
4,166.0,3
4,2900.0,5
4,1400.0,7
4,3550.0,1
4,1466.0,8
4,1684.0,1
4,1034.0,2
4,2700.0,5
4,2284.0,2
4,208.0,3
4,3542.0,2
4,42.0,2
4,1666.0,12
4,2976.0,2
4,392.0,2
4,2266.0,2
4,3534.0,1
4,1050.0,1
4,1476.0,1
4,2508.0,8
4,600.0,2
4,1742.0,8
4,3726.0,4
4,1292.0,1
4,158.0,1
4,1434.0,8
4,500.0,7
4,642.0,5
4,2634.0,4
4,1642.0,6
4,1858.0,5
4,100.0,1
4,3108.0,3
4,2476.0,1
4,2676.0,2
4,226.0,3
4,1892.0,2
4,1226.0,1
4,1758.0,4
4,176.0,3
4,1408.0,1
4,408.0,5
4,2666.0,2
4,3100.0,2
4,116.0,2
4,608.0,3
4,192.0,3
4,1850.0,1
4,1784.0,1
4,466.0,1
4,3508.0,1
4,1042.0,1
4,1634.0,1
4,3516.0,1
4,1016.0,1
4,1026.0,1
4,1376.0,1
4,592.0,1
4,1908.0,1
4,150.0,2
4,234.0,1
4,1426.0,1
4,3092.0,1
4,542.0,1
5,1758.0,5
5,2326.0,6
5,2400.0,10
5,2700.0,12
5,2734.0,6
5,3342.0,3
5,3416.0,3
5,3716.0,2
5,3742.0,8
5,558.0,1
5,676.0,2
5,934.0,1
5,1000.0,1
5,1584.0,3
5,1650.0,2
5,1950.0,1
5,1992.0,4
5,2884.0,1
5,2992.0,4
5,3566.0,3
5,3658.0,11
5,200.0,14
5,250.0,10
5,1142.0,4
5,1258.0,5
5,176.0,4
5,484.0,8
5,792.0,1
5,842.0,3
5,1116.0,4
5,1150.0,10
5,1442.0,5
5,1500.0,3
5,2408.0,5
5,2492.0,6
5,1450.0,10
5,2042.0,2
5,2050.0,2
5,2366.0,6
5,2750.0,6
5,3650.0,3
5,3726.0,2
5,2658.0,5
5,2984.0,7
5,3592.0,1
5,216.0,4
5,234.0,4
5,826.0,3
5,908.0,4
5,1200.0,6
5,1234.0,4
5,1826.0,4
5,1908.0,3
5,2208.0,2
5,2258.0,1
5,2808.0,2
5,2908.0,5
5,3192.0,1
5,3250.0,5
5,84.0,2
5,184.0,2
5,458.0,5
5,1084.0,4
5,1458.0,7
5,1492.0,5
5,2358.0,2
5,1392.0,1
5,1750.0,4
5,2026.0,1
5,2084.0,7
5,2384.0,3
5,3626.0,7
5,0.0,5
5,2666.0,5
5,3000.0,5
5,3300.0,2
5,3308.0,2
5,3600.0,1
5,3642.0,3
5,158.0,5
5,242.0,6
5,1292.0,2
5,3076.0,3
5,3166.0,4
5,3616.0,4
5,708.0,3
5,734.0,2
5,1642.0,6
5,1734.0,10
5,2316.0,4
5,2416.0,5
5,2684.0,3
5,3326.0,6
5,3400.0,4
5,3708.0,3
5,3734.0,7
5,592.0,1
5,666.0,3
5,1126.0,5
5,1666.0,6
5,1958.0,2
5,2892.0,3
5,3042.0,2
5,834.0,5
5,1242.0,4
5,1842.0,1
5,1926.0,2
5,2900.0,3
5,3176.0,3
5,416.0,3
5,492.0,3
5,1092.0,5
5,1476.0,2
5,2066.0,3
5,2158.0,3
5,2442.0,2
5,2484.0,8
5,3084.0,3
5,3184.0,4
5,3450.0,4
5,3508.0,1
5,326.0,2
5,408.0,3
5,684.0,1
5,750.0,1
5,2392.0,3
5,2776.0,1
5,3408.0,3
