X,Y,Total_de_notas
2,0.0,6
2,1000.0,3
2,3000.0,6
3,0.0,5
3,20.0,6
3,1000.0,7
3,1020.0,8
3,1584.0,7
3,1604.0,7
3,2584.0,8
3,2604.0,6
3,3562.0,3
3,3584.0,4
3,584.0,4
3,604.0,3
3,834.0,1
3,854.0,1
3,2562.0,2
3,3000.0,1
3,3020.0,1
3,2000.0,3
3,2020.0,3
3,3604.0,1
3,562.0,1
3,3500.0,1
3,3520.0,1
3,3750.0,1
3,3770.0,1
3,500.0,1
3,520.0,1
3,1500.0,1
3,1520.0,1
3,32.0,1
3,1010.0,1
4,0.0,2
4,20.0,2
4,1500.0,3
4,1520.0,2
4,2584.0,3
4,2604.0,3
4,1084.0,1
4,1104.0,1
4,84.0,1
4,104.0,1
4,584.0,2
4,604.0,1
4,1584.0,2
4,1604.0,2
4,500.0,3
4,520.0,3
4,3000.0,5
4,3020.0,4
4,32.0,1
4,42.0,1
4,1000.0,3
4,1020.0,4
4,3584.0,3
4,3604.0,3
4,2000.0,4
4,2020.0,4
4,3042.0,1
4,3074.0,1
4,1750.0,1
4,2500.0,1
4,1032.0,1
4,2010.0,1
4,2084.0,1
4,2104.0,1
4,562.0,1
4,750.0,1
4,770.0,1
5,10.0,4
5,1510.0,4
5,3010.0,4
5,510.0,4
5,666.0,2
5,834.0,1
5,1000.0,7
5,2010.0,4
5,3510.0,4
5,1010.0,4
5,1500.0,8
5,2510.0,3
5,3500.0,9
5,500.0,9
5,542.0,1
5,708.0,1
5,876.0,2
5,1042.0,1
5,1542.0,1
5,2500.0,9
5,2542.0,1
5,2990.0,2
5,3666.0,1
5,3834.0,1
5,0.0,3
5,2000.0,4
5,2166.0,1
5,2334.0,1
5,2666.0,1
5,2834.0,1
5,3000.0,2
5,1626.0,2
5,1750.0,2
5,1876.0,2
5,626.0,1
5,750.0,1
6,0.0,45
6,20.0,6
6,500.0,33
6,1000.0,49
6,1020.0,6
6,1500.0,25
6,1520.0,6
6,2000.0,43
6,2010.0,5
6,2500.0,33
6,3000.0,43
6,3020.0,6
6,3500.0,27
6,3520.0,6
6,520.0,7
6,1010.0,3
6,2020.0,5
6,10.0,5
6,1334.0,1
6,1666.0,1
6,2520.0,5
6,3010.0,3
6,3510.0,2
6,1510.0,1
6,2510.0,2
6,334.0,1
6,666.0,1
6,510.0,1
7,0.0,14
7,2000.0,14
7,3000.0,13
7,1000.0,14
7,1500.0,2
7,2500.0,1
7,500.0,1
8,10.0,15
8,32.0,11
8,52.0,10
8,1010.0,15
8,1032.0,11
8,1052.0,10
8,2010.0,14
8,2032.0,10
8,2052.0,9
8,3010.0,15
8,3032.0,9
8,3052.0,9
8,3510.0,8
8,3552.0,6
8,3594.0,6
8,510.0,6
8,552.0,5
8,594.0,5
8,1510.0,6
8,1552.0,4
8,1594.0,4
8,2510.0,9
8,2552.0,5
8,2594.0,5
8,3000.0,6
8,3020.0,6
8,3042.0,6
8,3500.0,6
8,3520.0,5
8,3542.0,6
8,3750.0,2
8,3770.0,2
8,3792.0,2
8,3812.0,2
8,0.0,5
8,20.0,5
8,42.0,4
8,500.0,6
8,520.0,4
8,542.0,6
8,562.0,5
8,1000.0,5
8,1020.0,5
8,1042.0,4
8,1500.0,6
8,1520.0,3
8,1542.0,6
8,1562.0,4
8,2000.0,5
8,2020.0,5
8,2042.0,4
8,2500.0,6
8,2520.0,5
8,2542.0,6
8,2750.0,4
8,2770.0,4
8,2792.0,4
8,2812.0,4
8,3562.0,4
8,1584.0,3
8,2562.0,2
8,2584.0,1
8,250.0,1
8,270.0,1
8,292.0,1
8,312.0,1
8,750.0,1
8,770.0,1
8,792.0,1
8,812.0,1
8,1250.0,1
8,1270.0,1
8,1292.0,1
8,1312.0,1
8,1750.0,2
8,1770.0,2
8,1792.0,2
8,1812.0,2
8,2250.0,1
8,2270.0,1
8,2292.0,1
8,2312.0,1
8,3584.0,1
8,584.0,2
10,0.0,15
10,20.0,15
10,42.0,15
10,500.0,14
10,520.0,12
10,542.0,14
10,1000.0,15
10,1020.0,15
10,1042.0,13
10,1500.0,14
10,1520.0,12
10,1542.0,14
10,2000.0,13
10,2020.0,13
10,2042.0,12
10,2500.0,15
10,2520.0,12
10,2542.0,15
10,3000.0,13
10,3020.0,13
10,3042.0,10
10,3500.0,11
10,3520.0,8
10,3542.0,11
10,3010.0,4
10,3032.0,1
10,3250.0,1
10,3270.0,1
10,3292.0,1
10,3312.0,1
10,3510.0,2
10,3750.0,2
10,3770.0,2
10,3792.0,2
10,3812.0,2
10,10.0,6
10,562.0,4
10,1010.0,5
10,1562.0,5
10,2010.0,5
10,2562.0,5
10,2584.0,3
10,3562.0,4
10,3584.0,3
10,584.0,2
10,1510.0,1
10,1750.0,1
10,1770.0,1
10,1792.0,1
10,1812.0,1
10,1584.0,2
10,2510.0,1
10,2750.0,1
10,2770.0,1
10,2792.0,1
10,2812.0,1
10,510.0,2
10,750.0,2
10,770.0,2
10,792.0,2
10,812.0,2
12,0.0,10
12,42.0,10
12,1000.0,10
12,1042.0,10
12,2000.0,8
12,2042.0,8
12,3000.0,9
12,3042.0,9
12,3500.0,6
12,3584.0,6
12,500.0,5
12,584.0,5
12,1500.0,4
12,1584.0,4
12,2500.0,5
12,2584.0,5
