X,Y,Total_de_notas
2,5500.0,19
2,5974.0,11
2,0.0,35
2,1898.0,1
2,2000.0,26
2,2498.0,22
2,2500.0,32
2,2974.0,12
2,3000.0,34
2,4424.0,14
2,4500.0,21
2,5448.0,3
2,948.0,1
2,1000.0,16
2,1098.0,1
2,1100.0,1
2,1198.0,1
2,1200.0,1
2,1298.0,1
2,1300.0,1
2,1398.0,1
2,1400.0,1
2,1492.0,2
2,1500.0,29
2,2448.0,1
2,1424.0,7
2,5924.0,10
2,498.0,10
2,500.0,11
2,998.0,12
2,1474.0,5
2,1748.0,14
2,1750.0,17
2,1998.0,16
2,2248.0,11
2,2250.0,15
2,2486.0,5
2,2748.0,8
2,2750.0,9
2,2986.0,5
2,2080.0,1
2,2082.0,1
2,2160.0,1
2,2164.0,2
2,2244.0,1
2,3474.0,3
2,3500.0,7
2,4498.0,6
2,4748.0,7
2,4750.0,5
2,4986.0,4
2,5000.0,12
2,5080.0,2
2,5082.0,3
2,5160.0,2
2,5164.0,3
2,5244.0,2
2,5250.0,5
2,5498.0,6
2,5748.0,5
2,5750.0,5
2,5998.0,3
2,236.0,4
2,250.0,7
2,736.0,1
2,750.0,10
2,1236.0,1
2,1250.0,7
2,1498.0,7
2,1736.0,2
2,2236.0,3
2,2736.0,1
2,120.0,3
2,124.0,4
2,244.0,5
2,248.0,5
2,368.0,3
2,376.0,5
2,496.0,3
2,618.0,3
2,624.0,4
2,744.0,3
2,870.0,3
2,874.0,5
2,994.0,3
2,1118.0,3
2,1126.0,5
2,1246.0,3
2,1248.0,9
2,1368.0,3
2,1374.0,4
2,1494.0,3
2,1624.0,6
2,1626.0,5
2,1874.0,6
2,2998.0,6
2,748.0,6
2,2874.0,6
2,2876.0,7
2,2992.0,9
2,3498.0,3
2,3748.0,4
2,4000.0,8
2,4248.0,4
2,5248.0,3
2,80.0,2
2,82.0,2
2,160.0,2
2,164.0,2
2,960.0,2
2,1486.0,2
2,3948.0,3
2,1876.0,2
2,2124.0,2
2,2126.0,2
2,2366.0,1
2,2376.0,2
2,2492.0,2
2,2598.0,2
2,2600.0,2
2,2698.0,2
2,2700.0,2
2,2792.0,1
2,2800.0,2
2,2892.0,1
2,2900.0,2
2,354.0,1
2,730.0,1
2,1104.0,1
2,1480.0,1
2,1974.0,3
2,5076.0,1
2,5156.0,1
2,5240.0,1
2,5486.0,1
2,5736.0,1
2,5986.0,1
2,1186.0,1
2,1376.0,2
2,1436.0,1
2,2098.0,1
2,2100.0,1
2,2198.0,1
2,2200.0,1
2,2298.0,1
2,2300.0,1
2,2398.0,1
2,2400.0,1
2,2798.0,1
2,2898.0,1
2,5848.0,6
2,2474.0,2
2,4098.0,1
2,4100.0,1
2,4198.0,1
2,4200.0,1
2,4298.0,1
2,4300.0,1
2,4398.0,1
2,4400.0,1
2,4974.0,1
