X,Y,Total_de_notas
2,0.0,320
2,500.0,255
2,750.0,152
2,1000.0,249
2,1250.0,108
2,1376.0,45
2,1500.0,181
2,2000.0,205
2,2876.0,41
2,3000.0,192
2,3250.0,111
2,3376.0,46
2,3500.0,175
2,3626.0,39
2,3750.0,104
2,250.0,136
2,876.0,86
2,376.0,97
2,1876.0,33
2,2500.0,192
2,2626.0,38
2,2750.0,100
2,188.0,1
2,1750.0,96
2,126.0,80
2,626.0,87
2,2250.0,77
2,2376.0,42
2,3126.0,39
2,2334.0,38
2,2666.0,18
2,2834.0,21
2,3166.0,12
2,3334.0,20
2,1166.0,14
2,1334.0,22
2,62.0,1
2,416.0,5
2,458.0,1
2,1666.0,18
2,1834.0,20
2,3438.0,3
2,3876.0,39
2,562.0,1
2,688.0,2
2,812.0,2
2,938.0,3
2,1126.0,39
2,1626.0,26
2,3084.0,2
2,3666.0,25
2,3834.0,23
2,2126.0,30
2,1084.0,2
2,1416.0,2
2,3416.0,4
2,3062.0,2
2,3188.0,2
2,3312.0,3
2,666.0,18
2,1542.0,1
2,3938.0,2
2,334.0,20
2,2508.0,1
2,3508.0,1
2,166.0,11
2,834.0,17
2,1916.0,3
2,2166.0,17
2,3688.0,4
2,2200.0,1
2,2600.0,1
2,2800.0,1
2,2584.0,9
2,3584.0,2
2,3708.0,1
2,3916.0,2
2,42.0,1
2,84.0,1
2,584.0,1
2,1100.0,1
2,1200.0,2
2,1300.0,1
2,1400.0,2
2,1600.0,2
2,1700.0,1
2,1800.0,2
2,1900.0,1
2,2188.0,2
2,2312.0,3
2,2812.0,1
2,2062.0,2
2,2916.0,4
2,312.0,1
2,1562.0,1
2,200.0,1
2,400.0,1
2,600.0,1
2,800.0,1
2,1584.0,1
2,2416.0,10
2,958.0,1
2,1062.0,1
2,542.0,1
2,1208.0,1
2,2458.0,1
2,1188.0,1
2,1438.0,2
2,1812.0,1
2,3812.0,4
2,2084.0,4
2,916.0,1
2,3196.0,4
2,3266.0,4
2,3338.0,4
2,3408.0,4
2,3480.0,4
2,3550.0,1
2,3620.0,1
2,3562.0,3
3,0.0,199
3,250.0,147
3,500.0,151
3,750.0,145
3,1000.0,199
3,1500.0,198
3,2000.0,199
3,2500.0,199
3,3000.0,199
3,3500.0,122
3,2250.0,99
3,1750.0,63
3,2750.0,85
3,3250.0,73
3,3750.0,45
3,1250.0,3
3,2126.0,1
3,1876.0,1
