X,Y,Total_de_notas
2,1500.0,51
2,1974.0,50
2,2000.0,53
2,2948.0,15
2,3000.0,56
2,3948.0,14
2,0.0,56
2,1424.0,25
2,2474.0,38
2,2500.0,42
2,2974.0,42
2,3474.0,42
2,3500.0,42
2,3974.0,42
2,314.0,2
2,334.0,2
2,648.0,2
2,666.0,2
2,982.0,2
2,1000.0,22
2,1314.0,2
2,1334.0,2
2,1648.0,2
2,1666.0,2
2,1982.0,2
2,474.0,15
2,500.0,15
2,974.0,9
2,1474.0,18
2,1898.0,2
2,948.0,12
2,2448.0,1
2,1948.0,2
2,1448.0,6
3,1500.0,51
3,1998.0,56
3,2000.0,53
3,2998.0,57
3,3000.0,56
3,3998.0,56
3,0.0,56
3,1498.0,49
3,2498.0,39
3,2500.0,42
3,3498.0,42
3,3500.0,42
3,332.0,2
3,334.0,2
3,664.0,2
3,666.0,2
3,998.0,23
3,1000.0,22
3,1332.0,2
3,1334.0,2
3,1664.0,2
3,1666.0,2
3,498.0,15
3,500.0,15
4,1500.0,51
4,1998.0,56
4,2000.0,53
4,2998.0,57
4,3000.0,56
4,3998.0,56
4,0.0,56
4,1498.0,49
4,2498.0,39
4,2500.0,42
4,3498.0,42
4,3500.0,42
4,332.0,2
4,334.0,2
4,664.0,2
4,666.0,2
4,998.0,23
4,1000.0,22
4,1332.0,2
4,1334.0,2
4,1664.0,2
4,1666.0,2
4,498.0,15
4,500.0,15
5,1500.0,51
5,1998.0,56
5,2000.0,53
5,2998.0,57
5,3000.0,56
5,3998.0,56
5,0.0,56
5,1498.0,49
5,2498.0,39
5,2500.0,42
5,3498.0,42
5,3500.0,42
5,332.0,2
5,334.0,2
5,664.0,2
5,666.0,2
5,998.0,23
5,1000.0,22
5,1332.0,2
5,1334.0,2
5,1664.0,2
5,1666.0,2
5,498.0,15
5,500.0,15
