X,Y,Total_de_notas
2,2500.0,14
2,3998.0,18
2,0.0,24
2,498.0,20
2,2998.0,9
2,3000.0,12
2,3498.0,12
2,3500.0,13
2,750.0,7
2,1248.0,6
2,748.0,3
2,1250.0,2
2,1498.0,6
2,1500.0,4
2,1998.0,4
2,2000.0,4
2,2498.0,4
2,1000.0,2
3,1000.0,7
3,1500.0,18
3,2000.0,18
3,2500.0,33
3,3000.0,27
3,3500.0,29
3,0.0,29
3,750.0,9
3,1250.0,11
3,126.0,12
3,250.0,12
3,376.0,12
3,500.0,16
3,624.0,16
3,748.0,16
3,870.0,16
3,996.0,16
3,1118.0,16
3,1244.0,16
3,1366.0,16
3,1492.0,16
3,1614.0,16
3,1740.0,16
3,1862.0,16
3,1988.0,16
3,2110.0,16
3,2236.0,16
3,2358.0,16
3,2624.0,4
3,2748.0,4
3,2870.0,4
3,2996.0,4
3,3118.0,4
3,3244.0,4
3,3366.0,4
3,3492.0,4
3,3614.0,4
3,3740.0,4
3,3862.0,4
3,3988.0,4
3,110.0,4
3,236.0,4
3,358.0,4
3,2750.0,2
3,3250.0,2
4,1000.0,7
4,1498.0,27
4,1500.0,15
4,1998.0,15
4,2000.0,27
4,2498.0,29
4,2500.0,32
4,2998.0,24
4,3000.0,20
4,3498.0,28
4,0.0,33
4,498.0,23
4,3500.0,16
4,3998.0,16
4,750.0,5
4,1248.0,20
4,1250.0,20
4,500.0,12
4,2748.0,8
4,2750.0,8
4,3248.0,8
4,3250.0,8
4,748.0,3
4,998.0,2
