X,Y,Total_de_notas
2,334.0,8
2,664.0,8
2,666.0,8
2,998.0,49
2,1000.0,44
2,1332.0,4
2,1334.0,4
2,1664.0,4
2,1666.0,4
2,1998.0,48
2,0.0,47
2,332.0,4
2,498.0,11
2,500.0,13
2,1498.0,2
2,1500.0,2
3,334.0,8
3,648.0,8
3,666.0,8
3,982.0,8
3,1000.0,44
3,1314.0,4
3,1334.0,4
3,1648.0,4
3,1666.0,4
3,1982.0,4
3,0.0,47
3,314.0,4
3,1948.0,35
3,948.0,32
3,474.0,11
3,500.0,13
3,874.0,5
3,1748.0,3
3,1924.0,4
3,974.0,4
3,1474.0,2
3,1500.0,2
3,1974.0,2
4,334.0,8
4,664.0,8
4,666.0,8
4,998.0,49
4,1000.0,44
4,1332.0,4
4,1334.0,4
4,1664.0,4
4,1666.0,4
4,1998.0,48
4,0.0,47
4,332.0,4
4,498.0,11
4,500.0,13
4,1498.0,2
4,1500.0,2
5,334.0,8
5,664.0,8
5,666.0,8
5,998.0,49
5,1000.0,44
5,1332.0,4
5,1334.0,4
5,1664.0,4
5,1666.0,4
5,1998.0,48
5,0.0,47
5,332.0,4
5,498.0,11
5,500.0,13
5,1498.0,2
5,1500.0,2
6,334.0,8
6,664.0,8
6,666.0,8
6,998.0,49
6,1000.0,44
6,1332.0,4
6,1334.0,4
6,1664.0,4
6,1666.0,4
6,1998.0,48
6,0.0,47
6,332.0,4
6,498.0,11
6,500.0,13
6,1498.0,2
6,1500.0,2
7,334.0,8
7,664.0,8
7,666.0,8
7,998.0,49
7,1000.0,44
7,1332.0,4
7,1334.0,4
7,1664.0,4
7,1666.0,4
7,1998.0,48
7,0.0,47
7,332.0,4
7,498.0,11
7,500.0,13
7,1498.0,2
7,1500.0,2
