X,Y,Total_de_notas
2,3000.0,130
2,0.0,149
2,1000.0,146
2,2000.0,159
2,1500.0,47
2,2500.0,58
2,3500.0,45
2,3750.0,4
2,500.0,29
2,2126.0,23
2,2250.0,23
2,2376.0,23
2,2626.0,23
2,2750.0,23
2,2876.0,23
2,3126.0,1
2,3250.0,1
2,3376.0,1
2,3626.0,1
2,3876.0,1
2,126.0,1
2,250.0,1
2,376.0,1
2,626.0,1
2,750.0,1
2,876.0,1
2,1124.0,2
2,1248.0,2
2,1370.0,2
2,1624.0,2
2,1748.0,2
2,1870.0,2
2,2124.0,2
2,2248.0,2
2,2370.0,2
2,2624.0,2
2,2748.0,2
2,2870.0,2
2,3124.0,2
2,3248.0,2
2,3370.0,2
2,3624.0,2
2,3748.0,2
2,3870.0,2
2,124.0,2
2,248.0,2
2,370.0,2
2,624.0,2
2,748.0,2
2,870.0,2
3,3000.0,183
3,0.0,214
3,1000.0,202
3,2000.0,212
3,3500.0,63
3,1500.0,64
3,2500.0,61
3,3750.0,3
3,500.0,48
3,3250.0,1
4,0.0,224
4,3000.0,168
4,1000.0,197
4,2000.0,200
4,1500.0,63
4,3500.0,60
4,124.0,1
4,250.0,1
4,374.0,1
4,500.0,35
4,2500.0,42
4,2750.0,6
5,0.0,220
5,3000.0,182
5,1000.0,203
5,2000.0,216
5,1500.0,73
5,3500.0,69
5,2500.0,50
5,3750.0,3
5,500.0,42
6,0.0,154
6,1000.0,132
6,2000.0,133
6,3000.0,105
6,1500.0,56
6,3500.0,70
6,2500.0,36
6,500.0,25
6,2750.0,6
7,1000.0,84
7,2000.0,72
7,3000.0,71
7,0.0,111
7,1500.0,41
7,3500.0,72
7,2500.0,27
7,500.0,28
8,0.0,111
8,120.0,17
8,124.0,17
8,244.0,17
8,248.0,18
8,368.0,17
8,370.0,17
8,492.0,17
8,500.0,28
8,620.0,17
8,624.0,17
8,744.0,17
8,748.0,18
8,868.0,17
8,870.0,17
8,992.0,17
8,1000.0,81
8,1120.0,18
8,1124.0,18
8,1244.0,18
8,1248.0,19
8,1368.0,18
8,1370.0,18
8,1492.0,18
8,1500.0,42
8,1620.0,18
8,1624.0,18
8,1744.0,18
8,1748.0,20
8,1868.0,18
8,1870.0,18
8,1992.0,18
8,2000.0,77
8,2120.0,20
8,2124.0,20
8,2244.0,20
8,2248.0,19
8,2368.0,17
8,2370.0,20
8,2492.0,17
8,2500.0,33
8,2620.0,20
8,2624.0,20
8,2744.0,20
8,2748.0,19
8,2868.0,17
8,2870.0,20
8,2992.0,17
8,3000.0,72
8,3120.0,20
8,3124.0,20
8,3244.0,20
8,3248.0,18
8,3368.0,17
8,3370.0,20
8,3492.0,17
8,3500.0,46
8,3620.0,20
8,3624.0,20
8,3744.0,20
8,3748.0,19
8,3868.0,17
8,3870.0,20
8,3992.0,17
8,998.0,59
8,2998.0,38
8,1998.0,52
8,2498.0,28
8,3498.0,33
8,3998.0,42
8,498.0,44
8,1498.0,32
8,2250.0,3
8,2374.0,3
8,2494.0,3
8,2750.0,3
8,2874.0,3
8,2994.0,3
8,3250.0,3
8,3374.0,3
8,3494.0,3
8,3750.0,3
8,3874.0,3
8,3994.0,3
9,3000.0,569
9,0.0,573
9,1500.0,419
9,2000.0,551
9,2500.0,427
9,3500.0,428
9,500.0,436
9,1000.0,571
9,3250.0,276
9,3750.0,288
9,250.0,280
9,750.0,289
9,1250.0,291
9,1750.0,303
9,2250.0,294
9,2750.0,305
9,184.0,3
9,1876.0,16
9,3876.0,15
9,3938.0,1
9,124.0,3
9,374.0,4
9,3126.0,16
9,126.0,17
9,2376.0,13
9,3058.0,1
9,3124.0,1
9,3186.0,1
9,3248.0,2
9,3310.0,2
9,3376.0,14
9,3434.0,1
9,3498.0,1
9,3560.0,1
9,3624.0,2
9,3686.0,2
9,3808.0,1
9,3874.0,1
9,3936.0,1
9,3998.0,2
9,60.0,2
9,248.0,1
9,310.0,1
9,436.0,2
9,558.0,1
9,624.0,1
9,686.0,1
9,748.0,2
9,810.0,2
9,876.0,15
9,934.0,1
9,998.0,1
9,1060.0,1
9,1124.0,1
9,1186.0,1
9,1308.0,1
9,1374.0,1
9,1436.0,1
9,1498.0,1
9,1560.0,1
9,1626.0,16
9,1684.0,1
9,1748.0,1
9,1810.0,1
9,1874.0,1
9,1936.0,1
9,2058.0,1
9,2124.0,1
9,2186.0,1
9,2248.0,1
9,2310.0,1
9,2434.0,1
9,2498.0,1
9,2560.0,1
9,2624.0,1
9,2686.0,1
9,2808.0,1
9,2874.0,1
9,2936.0,1
9,2998.0,1
9,3060.0,1
9,3184.0,1
9,3374.0,1
9,3436.0,1
9,3558.0,1
9,3748.0,1
9,3810.0,1
9,3934.0,1
9,186.0,1
9,308.0,1
9,498.0,1
9,560.0,1
9,626.0,14
9,684.0,1
9,874.0,1
9,936.0,1
9,2626.0,16
9,2876.0,15
9,3626.0,15
9,1126.0,16
9,1376.0,15
9,2126.0,12
9,376.0,12
9,2582.0,1
9,2664.0,1
9,3582.0,1
9,3664.0,1
9,582.0,2
9,664.0,1
9,1582.0,1
9,1664.0,1
9,2562.0,1
9,3062.0,1
9,3562.0,1
9,62.0,1
9,540.0,1
9,1164.0,1
9,1332.0,1
10,3000.0,797
10,0.0,847
10,1500.0,549
10,2000.0,792
10,2500.0,524
10,3500.0,569
10,500.0,501
10,1000.0,787
10,1750.0,98
10,250.0,91
10,750.0,89
10,1250.0,89
10,2250.0,91
10,2750.0,96
10,3250.0,85
10,3750.0,85
10,248.0,4
10,498.0,4
10,746.0,4
10,996.0,4
10,1244.0,4
10,1494.0,4
10,1742.0,4
10,1992.0,4
10,2240.0,4
10,2490.0,4
10,2738.0,4
10,3248.0,4
10,3498.0,4
10,3746.0,4
10,3996.0,4
10,244.0,4
10,494.0,4
10,742.0,4
10,992.0,4
10,1240.0,4
10,1490.0,4
10,1738.0,4
10,2248.0,2
10,2498.0,2
10,2746.0,2
10,2996.0,2
10,3244.0,2
10,3494.0,2
10,3742.0,2
10,3992.0,2
10,240.0,2
10,490.0,2
10,738.0,2
10,1248.0,3
10,1498.0,3
10,1746.0,3
10,1996.0,3
10,2244.0,3
10,2494.0,3
10,2742.0,3
10,2992.0,3
10,3240.0,3
10,3490.0,3
10,3738.0,3
10,1126.0,14
10,1376.0,13
10,1626.0,12
10,1876.0,15
10,126.0,11
10,376.0,10
10,626.0,11
10,876.0,13
10,3126.0,10
10,3376.0,10
