X,Y,Total_de_notas
3,0.0,320
3,500.0,255
3,750.0,152
3,1000.0,249
3,1250.0,108
3,1374.0,19
3,1500.0,181
3,2000.0,205
3,2874.0,28
3,3000.0,192
3,3250.0,111
3,3376.0,28
3,3500.0,175
3,3624.0,19
3,3750.0,104
3,250.0,136
3,874.0,48
3,376.0,60
3,1376.0,26
3,1874.0,16
3,2500.0,192
3,2626.0,16
3,2750.0,100
3,3626.0,20
3,188.0,1
3,1750.0,96
3,124.0,43
3,626.0,39
3,2250.0,77
3,126.0,37
3,2376.0,22
3,2876.0,13
3,3124.0,25
3,374.0,37
3,876.0,38
3,2334.0,38
3,2666.0,18
3,2834.0,21
3,3166.0,12
3,3334.0,20
3,3126.0,14
3,624.0,48
3,1166.0,14
3,1334.0,22
3,62.0,1
3,416.0,5
3,458.0,1
3,1666.0,18
3,1834.0,20
3,3374.0,18
3,3438.0,3
3,3876.0,21
3,562.0,1
3,688.0,2
3,812.0,2
3,938.0,3
3,1126.0,23
3,1624.0,12
3,3084.0,2
3,3666.0,25
3,3834.0,23
3,1876.0,17
3,2126.0,19
3,1084.0,2
3,1416.0,2
3,3416.0,4
3,2374.0,20
3,3062.0,2
3,3188.0,2
3,3312.0,3
3,1626.0,14
3,666.0,18
3,1542.0,1
3,3874.0,18
3,3938.0,2
3,2624.0,22
3,2124.0,11
3,334.0,20
3,2508.0,1
3,3508.0,1
3,166.0,11
3,834.0,17
3,1916.0,3
3,2166.0,17
3,1124.0,16
3,3688.0,4
3,2200.0,1
3,2600.0,1
3,2800.0,1
3,2584.0,9
3,3584.0,2
3,3708.0,1
3,3916.0,2
3,42.0,1
3,84.0,1
3,584.0,1
3,1100.0,1
3,1200.0,2
3,1300.0,1
3,1400.0,2
3,1600.0,2
3,1700.0,1
3,1800.0,2
3,1900.0,1
3,2188.0,2
3,2312.0,3
3,2812.0,1
3,2062.0,2
3,2916.0,4
3,312.0,1
3,1562.0,1
3,200.0,1
3,400.0,1
3,600.0,1
3,800.0,1
3,1584.0,1
3,2416.0,10
3,958.0,1
3,1062.0,1
3,542.0,1
3,1208.0,1
3,2458.0,1
3,1188.0,1
3,1438.0,2
3,1812.0,1
3,3812.0,4
3,2084.0,4
3,916.0,1
3,3196.0,4
3,3266.0,4
3,3338.0,4
3,3408.0,4
3,3480.0,4
3,3550.0,1
3,3620.0,1
3,3562.0,3
4,0.0,199
4,250.0,147
4,500.0,151
4,750.0,145
4,1000.0,199
4,1500.0,198
4,2000.0,199
4,2500.0,199
4,3000.0,199
4,3500.0,122
4,2250.0,99
4,1750.0,63
4,2750.0,85
4,3250.0,73
4,3750.0,45
4,1250.0,3
4,2126.0,1
4,1874.0,1
