X,Y,Total_de_notas
2,1000.0,194
2,0.0,281
2,1500.0,77
2,500.0,54
2,1750.0,13
2,1250.0,12
2,750.0,2
3,0.0,487
3,1000.0,369
3,1500.0,207
3,500.0,198
3,8.0,34
3,516.0,8
3,534.0,8
3,750.0,149
3,766.0,8
3,800.0,8
3,1276.0,8
3,1292.0,8
3,1466.0,8
3,1492.0,8
3,1508.0,16
3,1250.0,66
3,1750.0,11
3,976.0,6
3,1016.0,2
3,1484.0,2
3,1984.0,4
3,1008.0,2
3,1458.0,2
3,1958.0,2
3,1976.0,1
3,1992.0,1
3,466.0,1
3,484.0,1
3,1026.0,1
3,1042.0,2
4,1976.0,10
4,1984.0,3
4,8.0,4
4,992.0,11
4,1016.0,4
4,1034.0,6
4,1008.0,4
4,1026.0,2
4,1000.0,49
4,0.0,24
4,1484.0,2
4,1966.0,3
4,1942.0,2
4,1492.0,4
4,1958.0,2
4,1550.0,2
4,1542.0,2
4,26.0,2
4,984.0,10
4,1950.0,6
4,966.0,12
4,942.0,20
4,958.0,3
4,976.0,2
4,1508.0,2
4,16.0,2
4,1992.0,2
4,1058.0,2
4,1500.0,2
4,34.0,2
4,950.0,2
5,0.0,179
5,500.0,179
5,1000.0,179
5,1500.0,179
