X,Y,Total_de_notas
2,0.0,321
2,2000.0,218
2,3000.0,39
2,3666.0,28
2,16.0,8
2,42.0,4
2,1000.0,45
2,1166.0,4
2,1334.0,32
2,1500.0,4
2,1834.0,4
2,2166.0,4
2,2334.0,28
2,2500.0,4
2,8.0,12
2,34.0,11
2,1008.0,4
2,1034.0,4
2,334.0,28
2,666.0,28
2,1666.0,29
2,2666.0,24
2,3334.0,24
2,834.0,4
2,584.0,1
3,0.0,115
3,1500.0,100
3,2000.0,105
3,3000.0,107
3,3500.0,18
3,2500.0,5
3,500.0,1
3,1000.0,1
4,1000.0,378
4,1666.0,221
4,3000.0,372
4,3666.0,220
4,3026.0,1
4,3692.0,3
4,1500.0,9
4,500.0,1
4,3024.0,2
5,1666.0,15
5,1916.0,5
5,2000.0,58
5,2634.0,1
5,2666.0,5
5,3616.0,2
5,3666.0,15
5,476.0,1
5,666.0,22
5,892.0,3
5,1000.0,18
5,1434.0,6
5,1908.0,3
5,3500.0,19
5,3558.0,3
5,0.0,67
5,16.0,3
5,534.0,6
5,1542.0,3
5,2542.0,3
5,2784.0,3
5,2942.0,3
5,3292.0,3
5,3592.0,6
5,3766.0,3
5,3958.0,11
5,350.0,3
5,574.0,2
5,816.0,9
5,942.0,3
5,1316.0,3
5,1574.0,2
5,2042.0,10
5,2774.0,1
5,3000.0,52
5,3734.0,3
5,3750.0,9
5,884.0,3
5,2592.0,10
5,2792.0,8
5,2958.0,3
5,3334.0,3
5,3600.0,9
5,3826.0,2
5,3974.0,2
5,384.0,3
5,634.0,3
5,842.0,3
5,992.0,3
5,1366.0,3
5,1658.0,3
5,1866.0,3
5,2584.0,33
5,3684.0,3
5,724.0,2
5,750.0,7
5,2842.0,3
5,2966.0,8
5,3426.0,3
5,3850.0,3
5,3984.0,7
5,442.0,3
5,600.0,7
5,974.0,6
5,1350.0,3
5,1650.0,3
5,2024.0,2
5,2808.0,3
5,3716.0,3
5,1242.0,3
5,2500.0,13
5,3050.0,7
5,3574.0,3
5,50.0,3
5,526.0,3
5,1184.0,3
5,1976.0,5
5,2476.0,3
5,2900.0,3
5,3692.0,3
5,3024.0,3
5,3916.0,3
5,376.0,2
5,500.0,8
5,908.0,3
5,1600.0,4
5,2074.0,1
5,2400.0,3
5,3016.0,3
5,3450.0,12
5,24.0,6
5,1074.0,3
5,2524.0,1
5,2800.0,11
5,2934.0,3
5,3350.0,3
5,3584.0,36
5,26.0,4
5,400.0,4
5,592.0,3
5,934.0,3
5,1416.0,3
5,1566.0,3
5,2466.0,3
5,2574.0,6
5,2908.0,3
5,3484.0,6
5,3566.0,3
5,3908.0,3
5,492.0,6
5,584.0,19
5,900.0,3
5,1424.0,3
5,1516.0,3
5,1808.0,4
5,2392.0,3
5,2474.0,3
5,2758.0,4
5,3550.0,3
5,3924.0,3
5,508.0,6
5,550.0,3
5,2834.0,3
5,2916.0,9
5,3408.0,3
5,3824.0,4
5,874.0,3
5,2766.0,3
5,3326.0,2
5,3892.0,3
5,916.0,3
5,1584.0,16
5,1858.0,3
5,2458.0,3
5,2892.0,3
5,3492.0,7
5,3900.0,3
5,800.0,3
5,1450.0,3
5,1834.0,3
5,2416.0,3
5,2826.0,1
5,3966.0,3
5,1058.0,3
5,3400.0,3
5,3842.0,3
5,858.0,3
5,1992.0,13
5,2650.0,4
5,2816.0,4
5,3608.0,8
5,450.0,4
