X,Y,Total_de_notas
2,1000.0,27
2,1334.0,13
2,1666.0,13
2,0.0,51
2,500.0,22
2,750.0,32
2,1250.0,43
2,1750.0,42
2,1500.0,19
2,1668.0,10
2,250.0,6
2,1332.0,2
2,668.0,2
3,0.0,133
3,250.0,35
3,500.0,53
3,750.0,45
3,1000.0,122
3,1250.0,58
3,1500.0,66
3,1750.0,81
3,1626.0,1
3,1876.0,1
3,1166.0,12
3,1334.0,12
3,1666.0,12
3,1834.0,12
3,166.0,6
3,334.0,6
3,666.0,6
3,834.0,6
3,376.0,5
4,1000.0,27
4,1248.0,11
4,1250.0,14
4,1668.0,5
4,1748.0,50
4,1916.0,4
4,0.0,73
4,748.0,17
4,750.0,16
4,1240.0,4
4,1740.0,6
4,1750.0,51
4,998.0,62
4,1910.0,1
4,250.0,2
4,990.0,2
4,1500.0,47
4,1990.0,4
4,1998.0,61
4,498.0,6
4,500.0,7
4,1490.0,5
4,248.0,2
4,324.0,1
4,656.0,1
4,1168.0,1
4,1416.0,1
4,490.0,1
4,740.0,1
4,1498.0,3
4,208.0,1
4,210.0,1
4,418.0,1
4,424.0,1
4,632.0,1
4,638.0,1
4,846.0,1
4,848.0,1
4,1056.0,1
4,1060.0,1
4,1268.0,1
4,1276.0,1
