X,Y,Total_de_notas
2,2500.0,19
2,2998.0,16
2,3000.0,16
2,3498.0,63
2,3500.0,63
2,998.0,48
2,1000.0,57
2,1998.0,56
2,2000.0,56
2,2498.0,20
2,498.0,40
2,500.0,43
2,1498.0,49
2,1500.0,49
2,2748.0,44
2,2750.0,44
2,3998.0,12
2,0.0,1
3,2500.0,19
3,2998.0,16
3,3000.0,16
3,3498.0,63
3,3500.0,63
3,998.0,48
3,1000.0,57
3,1998.0,56
3,2000.0,56
3,2498.0,20
3,498.0,40
3,500.0,43
3,1498.0,49
3,1500.0,49
3,2748.0,44
3,2750.0,44
3,3998.0,11
4,0.0,96
4,3998.0,72
4,1998.0,62
4,2000.0,56
4,2748.0,41
4,2750.0,41
4,3498.0,55
4,3500.0,55
4,998.0,64
4,1000.0,44
4,1498.0,44
4,1500.0,46
4,498.0,16
4,500.0,16
4,2498.0,14
4,2500.0,14
4,2998.0,15
4,3000.0,15
5,0.0,48
5,3998.0,48
5,1998.0,47
5,2000.0,46
5,2748.0,46
5,2750.0,46
5,3498.0,46
5,3500.0,46
5,998.0,37
5,1000.0,37
5,1498.0,37
5,1500.0,37
5,500.0,7
5,498.0,6
6,0.0,36
6,3998.0,36
6,1998.0,31
6,2000.0,31
6,2748.0,24
6,2750.0,24
6,3498.0,31
6,3500.0,31
6,498.0,7
6,500.0,7
6,998.0,7
6,1000.0,7
6,1498.0,7
6,1500.0,7
6,2498.0,7
6,2500.0,7
6,2998.0,7
6,3000.0,7
7,0.0,69
7,474.0,45
7,500.0,49
7,974.0,49
7,1000.0,49
7,1474.0,49
7,1500.0,49
7,1974.0,49
7,2000.0,49
7,2474.0,45
7,2500.0,45
7,2974.0,45
7,3000.0,45
7,3474.0,45
7,3500.0,49
7,3974.0,49
7,2710.0,4
7,2750.0,4
7,3460.0,4
7,3798.0,24
8,0.0,76
8,3798.0,64
8,1898.0,12
8,2000.0,48
8,2710.0,48
8,2750.0,48
8,3460.0,48
8,3500.0,48
8,1874.0,36
8,3974.0,12
9,0.0,140
9,3998.0,140
10,0.0,124
10,3998.0,123
10,498.0,65
10,500.0,67
10,1000.0,67
10,1500.0,67
10,2000.0,67
10,2750.0,39
10,3500.0,65
10,998.0,65
10,1498.0,65
10,1998.0,65
10,2748.0,37
10,3498.0,65
10,248.0,33
10,250.0,32
10,748.0,32
10,750.0,32
10,1248.0,32
10,1250.0,32
10,1748.0,32
10,1750.0,32
10,2248.0,32
10,2250.0,32
10,2498.0,60
10,2500.0,60
10,2998.0,60
10,3000.0,60
10,3248.0,32
10,3250.0,32
10,3748.0,32
10,3750.0,32
11,0.0,56
11,498.0,56
11,500.0,56
11,998.0,56
11,1000.0,56
11,1498.0,56
11,1500.0,56
11,1998.0,56
11,2000.0,55
11,2498.0,55
11,2500.0,55
11,2998.0,55
11,3000.0,55
11,3498.0,55
11,3500.0,55
11,3998.0,55
12,0.0,36
12,3998.0,36
12,1998.0,24
12,2000.0,24
12,2748.0,24
12,2750.0,24
12,3498.0,24
12,3500.0,24
13,0.0,47
13,498.0,12
13,500.0,12
13,998.0,47
13,1000.0,14
13,1498.0,12
13,1500.0,12
13,1998.0,47
13,2000.0,44
13,2498.0,12
13,2500.0,12
13,2998.0,44
13,3000.0,12
13,3498.0,12
13,3500.0,12
13,3998.0,44
13,1750.0,33
13,3250.0,32
14,1000.0,33
14,1998.0,33
14,3000.0,32
14,3998.0,32
15,0.0,27
15,498.0,27
15,500.0,27
15,998.0,27
15,1000.0,27
15,1498.0,27
15,1500.0,27
15,1998.0,27
15,2000.0,28
15,2498.0,27
15,2500.0,27
15,2998.0,28
15,3000.0,28
15,3498.0,27
15,3500.0,27
15,3998.0,28
