X,Y,Total_de_notas
3,0,79
3,24,77
3,32,77
3,56,77
3,33,1
3,57,1
3,16,1
3,48,3
3,1,1
3,25,1
4,0,15
4,8,7
4,16,6
4,24,14
4,32,12
4,40,12
4,48,12
4,55,4
4,7,3
4,56,8
4,9,2
4,23,4
4,15,5
4,47,3
4,1,6
4,41,2
4,25,4
4,49,2
4,51,1
4,54,2
4,12,2
4,52,3
4,11,2
4,42,3
4,57,4
4,63,1
4,14,2
4,22,1
4,27,2
4,34,2
4,43,2
4,26,5
4,50,1
4,18,3
4,3,1
4,28,1
4,46,1
4,2,1
4,58,1
5,40,56
5,56,58
5,1,49
5,15,21
5,24,88
5,41,70
5,57,52
5,58,10
5,23,30
5,0,33
5,16,52
5,2,9
5,25,14
5,32,15
5,48,17
5,55,6
5,8,14
5,7,3
5,9,3
5,47,3
5,17,13
5,31,6
5,46,6
6,63,4
6,0,99
6,40,1
6,1,12
6,25,3
6,32,11
6,26,5
6,2,2
6,47,1
6,33,2
7,0,362
7,8,201
7,16,189
7,17,78
7,24,287
7,32,237
7,40,160
7,41,78
7,48,213
7,56,246
7,20,5
7,28,1
