X,Y,Total_de_notas
2,2000.0,15
2,2166.0,7
2,2334.0,5
2,2500.0,10
2,2666.0,15
2,2834.0,10
2,3000.0,16
2,3834.0,10
2,0.0,9
2,166.0,5
2,334.0,6
2,666.0,11
2,1000.0,12
2,1334.0,10
2,1500.0,11
2,1834.0,7
2,3166.0,9
2,3334.0,12
2,3500.0,11
2,3666.0,12
2,1666.0,12
2,2342.0,1
2,250.0,1
2,1250.0,3
2,500.0,11
2,3242.0,1
2,3992.0,1
2,834.0,12
2,1166.0,5
2,1916.0,1
2,2992.0,2
2,3250.0,3
2,3808.0,1
2,1542.0,1
2,1750.0,5
2,2426.0,1
2,3750.0,1
2,92.0,1
2,750.0,1
2,1992.0,2
2,2158.0,1
2,2326.0,3
2,2492.0,1
2,2826.0,1
2,3326.0,1
2,1658.0,1
2,3842.0,2
2,1326.0,3
2,1826.0,2
2,492.0,2
2,658.0,1
2,826.0,3
2,1208.0,1
2,1450.0,1
2,2750.0,2
2,3492.0,1
2,3658.0,1
2,3576.0,1
2,1276.0,1
2,1516.0,1
3,2000.0,44
3,0.0,46
3,3000.0,3
3,3166.0,2
3,3334.0,3
3,3500.0,5
3,3666.0,15
3,1666.0,10
3,1834.0,9
3,3834.0,12
3,1500.0,6
3,1000.0,4
3,1166.0,3
3,1334.0,3
3,1316.0,1
3,1642.0,1
3,1976.0,1
4,2000.0,101
4,0.0,112
4,3000.0,7
4,1000.0,7
5,2000.0,6
5,2166.0,2
5,2334.0,4
5,2492.0,2
5,2500.0,4
5,2658.0,2
5,2666.0,2
5,2826.0,2
5,2834.0,2
5,2992.0,2
5,3000.0,8
5,3166.0,2
5,3326.0,2
5,3334.0,4
5,3492.0,2
5,3500.0,2
5,3658.0,2
5,3666.0,2
5,3826.0,2
5,3834.0,2
5,3992.0,4
5,42.0,4
5,1000.0,4
5,1316.0,2
5,1492.0,2
5,1500.0,2
5,1716.0,2
5,1842.0,6
5,1884.0,4
5,3076.0,2
5,3742.0,2
5,3784.0,2
5,3876.0,2
5,3892.0,2
5,1692.0,2
5,1792.0,2
5,1984.0,2
5,2034.0,2
5,3442.0,2
5,326.0,2
5,400.0,2
5,658.0,2
5,700.0,2
5,992.0,2
5,1042.0,2
5,1976.0,2
5,2042.0,2
5,2366.0,2
5,2442.0,2
5,2650.0,2
5,2684.0,2
5,3016.0,2
5,3058.0,2
5,3358.0,2
5,3476.0,2
5,3676.0,2
5,3734.0,2
5,0.0,4
5,1092.0,2
5,1966.0,2
5,3916.0,2
6,2000.0,60
6,2166.0,55
6,2334.0,57
6,2500.0,82
6,2666.0,57
6,2834.0,53
6,3000.0,64
6,3166.0,55
6,3334.0,56
6,3500.0,58
6,3666.0,58
6,3834.0,49
6,0.0,63
6,166.0,56
6,334.0,56
6,500.0,78
6,666.0,57
6,834.0,52
6,1000.0,64
6,1166.0,55
6,1334.0,56
6,1500.0,57
6,1666.0,56
6,1834.0,48
7,2000.0,32
7,1834.0,5
7,1916.0,1
7,3666.0,6
7,3726.0,1
7,3834.0,5
7,3876.0,1
7,0.0,31
7,50.0,1
7,1666.0,12
7,1800.0,1
7,1866.0,2
7,1992.0,11
7,1000.0,8
7,1008.0,4
7,2016.0,2
7,3000.0,6
7,3326.0,2
7,3334.0,3
7,3700.0,4
7,34.0,2
7,1700.0,3
7,2058.0,6
7,3608.0,2
7,100.0,4
7,1658.0,5
7,1826.0,3
7,3534.0,1
7,1334.0,6
7,2158.0,5
