X,Y,Total_de_notas
6,0.0,75
6,960.0,13
6,28.0,4
6,32.0,4
6,988.0,2
6,992.0,2
5,240.0,65
5,960.0,55
5,1440.0,73
5,480.0,48
5,720.0,18
5,1200.0,56
5,1680.0,22
5,0.0,39
5,12.0,20
5,16.0,20
5,508.0,20
5,512.0,20
5,1228.0,20
5,1232.0,20
5,1704.0,4
2,0.0,198
2,240.0,40
2,480.0,40
2,720.0,32
2,1200.0,94
2,1440.0,2
2,1560.0,2
2,1688.0,2
2,960.0,20
3,0.0,23
3,960.0,15
3,1200.0,45
3,1680.0,47
3,240.0,23
3,720.0,41
3,1280.0,1
3,1600.0,1
3,480.0,13
3,1440.0,7
4,0.0,23
4,960.0,15
4,1200.0,45
4,1680.0,47
4,240.0,23
4,720.0,41
4,1280.0,1
4,1600.0,1
4,480.0,13
4,1440.0,7
1,0.0,69
1,720.0,73
1,960.0,65
1,1680.0,60
1,8.0,2
1,728.0,2
1,1440.0,6
1,1684.0,11
1,1200.0,1
1,964.0,3
1,4.0,3
1,968.0,6
1,984.0,1
1,1696.0,1
1,24.0,1
1,736.0,1
1,480.0,1
9,0.0,311
9,960.0,239
9,480.0,216
9,1440.0,252
9,240.0,196
9,720.0,309
9,1200.0,191
9,1680.0,239
9,600.0,4
9,840.0,1
