X,Y,Total_de_notas
2,0,22
2,8,20
2,16,22
2,24,19
2,28,7
2,20,8
2,12,2
3,1,11
3,4,10
3,6,12
3,9,21
3,10,17
3,11,7
3,13,18
3,14,26
3,15,4
3,16,24
3,17,15
3,18,24
3,19,2
3,21,29
3,22,9
3,23,12
3,25,18
3,27,8
3,28,20
3,29,23
3,30,26
3,0,27
3,2,27
3,5,26
3,8,12
3,24,16
3,26,20
3,12,19
3,7,7
3,20,6
3,31,3
3,3,1
4,0,55
4,1,7
4,2,7
4,3,7
4,5,20
4,8,45
4,16,63
4,17,4
4,18,4
4,19,12
4,25,15
4,26,15
4,21,12
4,24,35
4,27,7
4,29,37
4,13,25
4,14,2
4,15,1
4,9,14
4,10,14
4,11,6
4,12,4
4,30,2
4,31,1
4,28,4
4,20,12
5,0,5
5,4,10
5,8,8
5,13,19
5,15,19
5,20,5
5,24,10
5,29,14
5,31,14
5,17,8
5,19,9
5,21,8
5,23,9
5,26,6
5,27,10
5,3,11
5,10,7
5,11,11
5,22,4
5,7,6
5,25,4
5,1,8
5,5,5
5,9,3
5,6,3
6,0,5
6,4,10
6,8,8
6,13,19
6,15,19
6,20,5
6,24,10
6,29,14
6,31,14
6,17,8
6,19,9
6,21,8
6,23,9
6,26,6
6,27,10
6,3,11
6,10,7
6,11,11
6,22,4
6,7,6
6,25,4
6,1,8
6,5,5
6,9,3
6,6,3
7,0,19
7,3,19
7,4,18
7,7,19
7,8,18
7,11,19
7,12,20
7,15,19
7,16,19
7,19,19
7,23,19
7,24,19
7,27,19
7,28,20
7,30,4
7,20,17
7,31,15
7,13,1
7,14,1
7,22,1
7,18,1
8,0,81
8,1,49
8,2,54
8,3,93
8,4,60
8,5,39
8,6,74
8,7,60
8,8,75
8,9,51
8,10,57
8,11,63
8,12,58
8,13,57
8,14,50
8,15,59
8,16,82
8,17,49
8,18,54
8,19,92
8,20,62
8,21,40
8,22,83
8,23,62
8,24,71
8,25,47
8,26,54
8,27,61
8,28,58
8,29,55
8,30,44
8,31,58
