X,Y,Total_de_notas
2,32,12
2,40,14
2,48,9
2,56,13
2,2,3
2,6,9
2,8,12
2,10,7
2,14,7
2,16,8
2,24,13
2,34,4
2,36,9
2,38,10
2,42,10
2,44,11
2,46,9
2,52,3
2,54,9
2,58,9
2,60,12
2,0,7
2,4,9
2,12,9
2,18,3
2,20,7
2,22,6
2,26,6
2,28,11
2,30,7
2,51,1
2,53,3
2,50,7
2,62,8
2,57,1
3,32,13
3,40,15
3,48,9
3,56,13
3,2,4
3,6,9
3,8,12
3,10,7
3,14,6
3,16,8
3,24,13
3,34,4
3,36,9
3,38,10
3,42,9
3,44,11
3,46,8
3,52,4
3,60,12
3,0,8
3,4,9
3,12,9
3,20,7
3,28,11
3,18,3
3,22,6
3,26,6
3,50,7
3,54,9
3,58,9
3,62,9
3,30,6
3,57,1
3,53,2
4,32,12
4,40,15
4,48,10
4,56,13
4,2,4
4,6,10
4,8,12
4,10,8
4,14,7
4,16,8
4,24,13
4,34,5
4,36,9
4,38,12
4,42,11
4,44,11
4,46,9
4,52,3
4,54,10
4,58,10
4,60,12
4,0,7
4,4,9
4,12,9
4,18,4
4,20,7
4,22,7
4,26,7
4,28,11
4,30,7
4,51,2
4,53,4
4,1,1
4,3,1
4,5,1
4,7,1
4,9,1
4,11,1
4,17,1
4,19,1
4,21,1
4,23,1
4,25,1
4,27,1
4,33,1
4,35,1
4,37,1
4,39,1
4,41,1
4,43,1
4,49,1
4,50,7
4,55,1
4,57,2
4,59,1
4,61,1
4,62,9
4,63,1
5,32,43
5,36,31
5,42,27
5,48,42
5,52,31
5,58,27
5,0,49
5,4,26
5,10,18
5,16,44
5,20,29
5,26,21
5,49,2
5,50,1
5,1,4
5,2,1
5,17,2
5,18,1
5,8,20
5,24,12
5,40,8
5,12,8
5,28,8
5,44,4
5,56,4
5,60,4
5,33,2
6,0,28
6,2,5
6,6,6
6,10,2
6,14,2
6,16,25
6,32,29
6,36,16
6,40,22
6,44,22
6,52,14
6,56,18
6,60,22
6,4,15
6,8,22
6,12,16
6,20,16
6,24,18
6,28,18
6,48,24
6,18,5
6,22,6
6,26,4
6,30,4
6,34,2
6,38,4
6,42,2
6,46,2
6,50,7
6,54,8
6,58,2
6,62,4
7,0,33
7,2,29
7,6,29
7,8,31
7,10,41
7,11,36
7,12,33
7,14,29
7,16,35
7,18,30
7,22,33
7,24,29
7,26,42
7,27,39
7,28,35
7,30,29
7,32,33
7,48,35
7,50,30
7,54,34
7,56,30
7,58,44
7,59,42
7,60,36
7,62,30
7,34,31
7,38,30
7,40,30
7,42,43
7,43,39
7,44,32
7,46,30
7,3,3
7,4,8
7,19,3
7,20,5
7,35,3
7,36,6
7,52,2
8,0,23
8,2,20
8,6,26
8,10,20
8,14,26
8,16,24
8,18,18
8,22,26
8,26,18
8,30,26
8,32,23
8,33,4
8,34,18
8,35,4
8,36,4
8,37,4
8,38,24
8,39,4
8,40,4
8,41,4
8,42,18
8,43,4
8,44,10
8,45,4
8,46,24
8,47,4
8,48,20
8,49,4
8,50,16
8,51,4
8,52,4
8,53,4
8,54,24
8,55,4
8,56,4
8,57,4
8,58,16
8,59,4
8,60,12
8,61,4
8,62,24
8,63,4
8,1,2
8,3,2
8,4,2
8,5,2
8,7,2
8,8,2
8,9,2
8,11,2
8,12,8
8,13,2
8,15,2
8,17,2
8,19,2
8,20,2
8,21,2
8,23,2
8,24,2
8,25,2
8,27,2
8,28,10
8,29,2
8,31,2
9,36,30
9,42,27
9,52,30
9,58,24
9,4,24
9,10,18
9,20,27
9,26,21
9,48,25
9,49,2
9,0,33
9,1,3
9,16,28
9,17,2
9,32,26
9,8,15
9,24,9
9,40,6
9,12,6
9,28,6
9,44,3
9,56,3
9,60,3
9,33,1
10,32,21
10,40,9
10,48,20
10,56,7
10,0,19
10,8,15
10,16,22
10,24,12
10,63,12
10,15,7
10,31,8
10,47,10
10,4,4
10,12,4
10,20,4
10,28,4
10,36,2
10,44,2
10,52,2
10,60,2
10,62,1
10,30,1
11,34,7
11,38,10
11,40,24
11,42,6
11,46,8
11,48,29
11,50,3
11,54,8
11,56,24
11,58,6
11,62,6
11,0,33
11,16,30
11,18,3
11,22,4
11,24,20
11,26,4
11,30,4
11,32,32
11,36,16
11,52,19
11,2,5
11,6,4
11,10,4
11,14,2
11,44,15
11,60,20
11,12,12
11,28,18
11,8,18
11,4,11
11,20,15
11,57,2
12,2,18
12,4,25
12,6,15
12,8,23
12,10,22
12,12,25
12,14,17
12,16,31
12,18,22
12,20,29
12,22,21
12,24,24
12,26,28
12,28,31
12,30,25
12,32,30
12,34,17
12,40,24
12,42,25
12,48,25
12,50,17
12,52,22
12,54,16
12,56,17
12,58,23
12,60,30
12,62,18
12,0,30
12,36,21
12,38,16
12,44,22
12,46,19
12,1,2
12,3,11
12,5,4
12,7,10
12,9,8
12,11,11
12,13,4
12,15,4
12,17,6
12,19,11
12,21,8
12,23,14
12,25,14
12,27,9
12,29,4
12,31,4
12,35,8
12,37,4
12,39,8
12,43,8
12,45,4
12,47,4
12,51,8
12,53,4
12,55,8
12,59,8
12,61,4
12,63,4
12,57,8
12,41,4
13,4,29
13,6,26
13,12,25
13,14,17
13,20,25
13,22,25
13,28,27
13,30,17
13,32,23
13,38,25
13,44,21
13,48,23
13,54,30
13,60,25
13,0,30
13,16,24
13,52,18
13,62,15
13,36,19
13,46,15
13,8,19
13,24,19
13,40,12
13,56,13
13,34,14
13,42,10
13,43,8
13,50,16
13,58,12
13,59,14
13,2,24
13,10,12
13,11,10
13,18,14
13,26,13
13,27,15
13,1,24
13,3,20
13,5,14
13,7,8
13,9,7
13,17,9
13,19,14
13,21,10
13,23,10
13,41,4
13,57,7
13,25,7
13,33,8
13,35,12
13,37,6
13,39,4
13,49,8
13,51,12
13,53,8
13,55,8
13,61,4
13,63,4
13,29,4
13,31,4
