X,Y,Total_de_notas
2,0,36
2,1,8
2,2,19
2,3,8
2,4,20
2,5,8
2,6,20
2,7,8
2,8,22
2,9,8
2,10,22
2,11,8
2,12,24
2,13,8
2,14,24
2,15,8
2,16,23
2,17,8
2,18,24
2,19,8
2,20,24
2,21,8
2,22,22
2,23,8
2,24,22
2,25,8
2,26,24
2,27,8
2,28,24
2,29,8
2,30,24
2,31,8
3,2,8
3,6,9
3,10,10
3,14,9
3,18,8
3,22,9
3,26,7
3,28,13
3,30,15
3,4,3
3,12,8
3,20,5
3,27,1
3,29,3
3,0,2
3,31,3
3,11,2
3,13,1
3,23,1
3,15,1
3,16,1
4,0,14
4,1,6
4,4,11
4,5,4
4,6,8
4,7,3
4,8,10
4,12,12
4,13,4
4,14,10
4,16,11
4,17,7
4,20,10
4,21,5
4,22,9
4,23,2
4,24,10
4,25,7
4,29,2
4,30,10
4,9,5
4,28,13
4,2,2
4,10,2
4,18,2
4,26,2
5,0,14
5,25,8
5,26,10
5,28,13
5,30,20
5,31,7
5,12,5
5,13,4
5,14,10
5,15,6
5,16,4
5,24,5
5,27,3
5,29,4
5,5,4
5,6,4
5,8,3
5,21,3
5,22,3
5,23,3
5,4,2
5,7,2
5,1,1
