X,Y,Total_de_notas
2,0.0,42
2,474.0,3
2,500.0,22
2,626.0,3
2,810.0,3
2,974.0,10
2,1000.0,34
2,1126.0,1
2,1310.0,1
2,1500.0,26
2,1748.0,12
2,2000.0,46
2,2500.0,28
2,2748.0,13
2,3848.0,5
2,748.0,9
2,1974.0,11
2,2974.0,12
2,948.0,12
2,2474.0,8
2,2898.0,9
2,3000.0,33
2,3948.0,8
2,3498.0,4
2,374.0,2
2,750.0,1
2,1460.0,1
2,2924.0,2
2,3474.0,4
2,3500.0,18
2,924.0,2
2,1248.0,6
2,1948.0,5
2,3748.0,10
2,3898.0,5
2,498.0,6
2,1186.0,1
2,1376.0,1
2,1966.0,1
2,3616.0,1
2,3626.0,3
2,3974.0,4
2,3424.0,1
2,3810.0,1
2,1498.0,2
2,1898.0,9
2,848.0,1
2,876.0,1
2,1348.0,1
2,2250.0,1
2,2624.0,1
2,1824.0,1
2,798.0,2
2,1830.0,1
2,1876.0,1
2,1992.0,1
2,2798.0,1
2,2948.0,7
2,898.0,4
2,1750.0,1
2,2460.0,1
2,3924.0,1
2,632.0,2
2,666.0,4
2,2288.0,1
2,582.0,1
2,1298.0,1
2,1334.0,1
2,2914.0,1
2,2632.0,2
2,2666.0,3
2,3334.0,2
2,3964.0,1
2,882.0,1
2,1924.0,1
2,1374.0,2
2,1626.0,2
2,1932.0,2
2,3760.0,1
2,2498.0,4
2,3248.0,8
2,2248.0,7
2,834.0,1
2,1464.0,1
2,2200.0,1
2,2336.0,1
2,2400.0,1
2,2578.0,1
2,2588.0,1
2,2800.0,1
2,1838.0,1
2,2804.0,2
2,1848.0,2
2,1874.0,1
2,2848.0,1
2,2548.0,1
2,248.0,8
2,3166.0,1
2,3956.0,1
2,3374.0,1
2,3876.0,1
2,348.0,1
2,376.0,1
2,492.0,1
2,1474.0,3
2,2626.0,2
2,3798.0,1
2,648.0,1
2,3932.0,1
2,3298.0,1
2,1864.0,1
2,98.0,1
3,0.0,47
3,498.0,12
3,500.0,26
3,626.0,3
3,810.0,3
3,998.0,39
3,1000.0,44
3,1126.0,2
3,1310.0,2
3,1500.0,35
3,1748.0,16
3,2000.0,49
3,2248.0,9
3,2500.0,35
3,2748.0,14
3,3998.0,36
3,748.0,13
3,1998.0,46
3,2498.0,14
3,2998.0,40
3,3000.0,41
3,3498.0,13
3,374.0,3
3,750.0,2
3,1498.0,11
3,3500.0,24
3,1248.0,9
3,3748.0,12
3,1186.0,1
3,1376.0,1
3,3624.0,1
3,3626.0,3
3,3810.0,1
3,876.0,1
3,1374.0,1
3,2250.0,1
3,2624.0,1
3,1874.0,1
3,1876.0,1
3,1750.0,1
3,664.0,3
3,666.0,4
3,2374.0,2
3,1332.0,1
3,1334.0,1
3,2664.0,2
3,2666.0,3
3,3334.0,2
3,1626.0,2
3,3874.0,1
3,3248.0,9
3,834.0,1
3,2200.0,1
3,2400.0,1
3,2598.0,2
3,2800.0,1
3,2874.0,2
3,248.0,9
3,3166.0,1
3,3374.0,1
3,3876.0,1
3,376.0,1
3,1664.0,1
3,1666.0,1
3,2626.0,2
3,3332.0,1
4,0.0,43
4,498.0,16
4,500.0,22
4,748.0,19
4,1126.0,3
4,1310.0,2
4,1500.0,31
4,1748.0,22
4,2000.0,40
4,2248.0,13
4,2500.0,33
4,2748.0,20
4,3000.0,36
4,3498.0,18
4,126.0,1
4,310.0,1
4,1000.0,42
4,1498.0,16
4,2998.0,30
4,3126.0,1
4,3310.0,1
4,3998.0,24
4,998.0,19
4,1998.0,25
4,2498.0,9
4,374.0,3
4,750.0,3
4,3500.0,19
4,3332.0,2
4,3334.0,2
4,3748.0,13
4,1186.0,1
4,1376.0,1
4,3248.0,8
4,1248.0,10
4,3436.0,1
4,3438.0,1
4,3466.0,1
4,876.0,1
4,1124.0,1
4,2250.0,2
4,2624.0,2
4,3626.0,1
4,664.0,1
4,666.0,2
4,1334.0,1
4,3250.0,1
4,1666.0,2
4,798.0,1
4,1598.0,1
4,1600.0,1
4,2400.0,2
4,2598.0,2
4,2800.0,2
4,248.0,12
4,1626.0,1
4,2332.0,1
4,2334.0,1
4,2398.0,1
4,3200.0,1
4,3598.0,1
4,3374.0,1
4,3876.0,1
4,376.0,1
4,1664.0,1
4,626.0,2
4,810.0,2
4,2664.0,1
4,2666.0,2
5,250.0,2
5,624.0,2
5,2500.0,8
5,2998.0,7
5,500.0,16
5,748.0,8
5,1126.0,6
5,1310.0,6
5,3750.0,1
5,3998.0,10
5,1750.0,3
5,2374.0,1
5,3000.0,14
5,3250.0,2
5,3624.0,2
