X,Y,Total_de_notas
2,0.0,15
2,998.0,43
2,1000.0,42
2,2998.0,34
2,3000.0,34
2,3664.0,10
2,3666.0,10
2,332.0,10
2,334.0,10
2,1998.0,8
2,2000.0,8
2,3998.0,14
2,2498.0,8
2,2500.0,8
2,498.0,8
2,500.0,8
3,1000.0,98
3,2898.0,14
3,3000.0,34
3,898.0,8
3,2582.0,20
3,2666.0,70
3,2982.0,36
3,1632.0,26
3,1666.0,44
3,1982.0,26
3,3666.0,28
3,500.0,2
3,750.0,30
3,932.0,6
3,774.0,2
3,786.0,4
3,582.0,8
3,666.0,22
3,982.0,12
3,3514.0,8
3,882.0,24
3,2932.0,12
3,3948.0,18
3,0.0,22
3,948.0,22
3,812.0,4
3,560.0,2
3,788.0,2
3,466.0,2
3,470.0,2
3,482.0,2
3,798.0,2
3,2564.0,2
3,2000.0,2
3,2632.0,2
3,694.0,6
3,468.0,2
3,3882.0,4
3,3532.0,16
3,332.0,16
3,1498.0,8
3,1378.0,8
3,1400.0,2
3,2538.0,2
3,2600.0,2
3,878.0,2
3,644.0,10
3,3518.0,4
3,986.0,18
3,2694.0,2
3,2750.0,2
3,648.0,2
4,1000.0,94
4,2898.0,16
4,3000.0,36
4,898.0,20
4,2582.0,22
4,2666.0,68
4,2982.0,24
4,1632.0,44
4,1666.0,76
4,1982.0,44
4,3666.0,42
4,750.0,28
4,932.0,14
4,1062.0,2
4,562.0,2
4,786.0,2
4,798.0,2
4,582.0,4
4,666.0,22
4,982.0,8
4,3514.0,2
4,882.0,34
4,2932.0,18
4,3948.0,12
4,0.0,22
4,948.0,20
4,632.0,2
4,464.0,4
4,482.0,2
4,2564.0,8
4,694.0,24
4,468.0,8
4,3882.0,6
4,3532.0,4
4,332.0,4
4,1498.0,4
4,644.0,10
4,3518.0,6
4,986.0,12
4,2694.0,8
4,2750.0,8
4,648.0,8
5,1000.0,64
5,1998.0,58
5,2000.0,58
5,2998.0,64
5,3000.0,64
5,3998.0,64
5,0.0,64
5,998.0,64
5,1664.0,22
5,1666.0,22
5,3664.0,8
5,3666.0,8
5,664.0,4
5,666.0,4
5,2664.0,2
5,2666.0,2
6,1000.0,132
6,1998.0,128
6,2000.0,208
6,2664.0,90
6,2666.0,76
6,2998.0,192
6,3000.0,146
6,3998.0,140
6,0.0,208
6,664.0,96
6,666.0,94
6,998.0,206
6,1664.0,20
6,1666.0,16
6,3664.0,32
6,3666.0,26
6,1332.0,2
6,1334.0,2
6,2748.0,4
6,2750.0,2
6,3332.0,2
6,3334.0,2
