X,Y,Total_de_notas
2,1500.0,46
2,1998.0,57
2,2000.0,59
2,2124.0,15
2,2126.0,15
2,2496.0,15
2,2500.0,34
2,2998.0,33
2,3000.0,35
2,3498.0,59
2,3500.0,59
2,3998.0,40
2,0.0,33
2,998.0,32
2,1000.0,32
2,498.0,25
2,500.0,27
2,1498.0,42
2,748.0,17
2,750.0,15
2,2498.0,17
2,2748.0,9
2,2750.0,9
2,3748.0,7
2,3750.0,7
2,248.0,3
2,250.0,3
2,1248.0,7
2,1250.0,5
2,2248.0,2
2,2250.0,2
2,3248.0,8
2,3250.0,8
2,1748.0,4
2,1750.0,4
2,374.0,1
2,376.0,1
2,874.0,1
2,876.0,1
2,1874.0,1
3,500.0,28
3,998.0,34
3,1000.0,32
3,1498.0,40
3,1500.0,44
3,1998.0,52
3,2000.0,52
3,2498.0,22
3,2500.0,32
3,3998.0,39
3,2998.0,33
3,3000.0,32
3,3498.0,50
3,3500.0,49
3,0.0,28
3,498.0,21
3,748.0,10
3,750.0,10
3,1748.0,2
3,1750.0,2
3,2248.0,2
3,2250.0,2
3,3248.0,4
3,3250.0,4
3,2124.0,6
3,2126.0,6
3,2496.0,6
3,2748.0,5
3,2750.0,5
4,0.0,52
4,998.0,46
4,1000.0,45
4,1998.0,90
4,2000.0,90
4,2998.0,52
4,3000.0,52
4,3498.0,90
4,3500.0,90
4,498.0,48
4,500.0,44
4,1498.0,76
4,1500.0,76
4,2124.0,13
4,2126.0,13
4,2496.0,13
4,2500.0,59
4,3998.0,47
4,748.0,12
4,750.0,12
4,2498.0,46
4,2748.0,5
4,2750.0,5
4,3748.0,5
4,3750.0,5
5,0.0,57
5,998.0,27
5,1000.0,26
5,1498.0,50
5,1500.0,50
5,1998.0,50
5,2000.0,50
5,2498.0,50
5,2500.0,50
5,3498.0,85
5,3500.0,85
5,498.0,48
5,500.0,44
5,2998.0,45
5,3000.0,45
5,3998.0,52
6,1000.0,94
6,1498.0,94
6,3000.0,90
6,3498.0,90
6,0.0,1
6,998.0,1
