X,Y,Total_de_notas
2,0,18
2,66667,8
2,133333,8
2,200000,8
2,266667,7
2,333333,8
2,400000,8
2,466667,8
2,500000,8
2,533333,8
2,566667,6
2,600000,8
2,633333,6
2,666667,8
2,700000,8
2,733333,8
2,766667,8
2,800000,8
2,833333,8
2,866667,8
2,900000,8
2,933333,8
2,966667,8
2,1000000,8
2,1033333,8
2,1066667,8
2,1100000,7
2,1133333,8
2,1166667,8
2,1200000,8
2,1233333,8
2,1266667,8
2,1300000,8
2,1333333,8
2,1366667,8
2,1400000,8
2,1466667,8
2,1533333,8
2,1566667,8
2,1600000,8
2,1666667,8
2,1700000,8
2,1733333,8
2,1766667,8
2,1800000,8
2,1833333,8
2,1866667,8
2,1900000,8
2,1933333,8
2,1966667,8
2,2000000,8
2,2033333,8
2,2066667,8
2,2100000,9
2,33333,9
2,100000,6
2,166667,5
2,233333,7
2,300000,6
2,366667,7
2,433333,5
2,1433333,7
2,1500000,7
2,1633333,6
3,133333,7
3,400000,7
3,666667,9
3,933333,7
3,1200000,8
3,1466667,8
3,1733333,7
3,1866667,1
3,2000000,8
3,300000,1
3,833333,4
3,1366667,2
3,1800000,1
3,1833333,6
3,1900000,6
3,1933333,3
3,1966667,4
3,2100000,2
3,700000,1
3,233333,2
3,766667,3
3,900000,2
3,1300000,3
3,2033333,3
3,2066667,3
3,100000,1
3,366667,1
3,433333,1
3,733333,2
3,800000,1
3,866667,1
3,1533333,1
3,1000000,1
3,1033333,1
3,1433333,1
4,0,10
4,66667,6
4,266667,2
4,333333,4
4,433333,7
4,466667,3
4,500000,2
4,566667,1
4,800000,2
4,866667,4
4,966667,8
4,1066667,6
4,1133333,7
4,1300000,7
4,1333333,2
4,1400000,5
4,1500000,7
4,1533333,2
4,1566667,3
4,1666667,7
4,1933333,2
4,2033333,7
4,533333,7
4,600000,5
4,1033333,5
4,1433333,2
4,1600000,7
4,1833333,7
4,1900000,5
4,233333,5
4,300000,4
4,766667,6
4,833333,4
4,900000,2
4,1366667,1
4,1966667,3
4,2100000,4
4,100000,1
4,166667,1
4,400000,1
4,633333,1
4,700000,1
4,1166667,1
4,1233333,1
4,1700000,1
4,1766667,1
4,1866667,1
5,0,6
5,1666667,8
5,1766667,7
5,1866667,8
5,1966667,8
5,2000000,7
5,2033333,5
5,2066667,7
5,2100000,7
5,833333,4
5,866667,4
5,933333,5
5,966667,3
5,1000000,6
5,1033333,1
5,1600000,2
5,1633333,3
5,1733333,2
5,1800000,3
5,1900000,3
5,1933333,4
5,33333,1
5,333333,4
5,366667,1
5,533333,2
5,566667,1
5,900000,2
5,1066667,3
5,1400000,3
5,1433333,1
5,1500000,2
5,1533333,3
5,1833333,2
5,300000,2
5,400000,2
5,433333,1
5,800000,1
5,466667,2
5,1700000,1
5,66667,1
