X,Y,Total_de_notas
2,0,18
2,2,8
2,4,8
2,6,8
2,8,7
2,10,8
2,12,8
2,14,8
2,15,8
2,16,8
2,17,6
2,18,8
2,19,6
2,20,8
2,21,8
2,22,8
2,23,8
2,24,8
2,25,8
2,26,8
2,27,8
2,28,8
2,29,8
2,30,8
2,31,8
2,32,8
2,33,7
2,34,8
2,35,8
2,36,8
2,37,8
2,38,8
2,39,8
2,40,8
2,41,8
2,42,8
2,44,8
2,46,8
2,47,8
2,48,8
2,50,8
2,51,8
2,52,8
2,53,8
2,54,8
2,55,8
2,56,8
2,57,8
2,58,8
2,59,8
2,60,8
2,61,8
2,62,8
2,63,9
2,1,9
2,3,6
2,5,5
2,7,7
2,9,6
2,11,7
2,13,5
2,43,7
2,45,7
2,49,6
3,4,7
3,12,7
3,20,9
3,28,7
3,36,8
3,44,8
3,52,7
3,56,1
3,60,8
3,9,1
3,25,4
3,41,2
3,54,1
3,55,6
3,57,6
3,58,3
3,59,4
3,63,2
3,21,1
3,7,2
3,23,3
3,27,2
3,39,3
3,61,3
3,62,3
3,3,1
3,11,1
3,13,1
3,22,2
3,24,1
3,26,1
3,46,1
3,30,1
3,31,1
3,43,1
4,0,10
4,2,6
4,8,2
4,10,4
4,13,7
4,14,3
4,15,2
4,17,1
4,24,2
4,26,4
4,29,8
4,32,6
4,34,7
4,39,7
4,40,2
4,42,5
4,45,7
4,46,2
4,47,3
4,50,7
4,58,2
4,61,7
4,16,7
4,18,5
4,31,5
4,43,2
4,48,7
4,55,7
4,57,5
4,7,5
4,9,4
4,23,6
4,25,4
4,27,2
4,41,1
4,59,3
4,63,4
4,3,1
4,5,1
4,12,1
4,19,1
4,21,1
4,35,1
4,37,1
4,51,1
4,53,1
4,56,1
5,0,6
5,50,8
5,53,7
5,56,8
5,59,8
5,60,7
5,61,5
5,62,7
5,63,7
5,25,4
5,26,4
5,28,5
5,29,3
5,30,6
5,31,1
5,48,2
5,49,3
5,52,2
5,54,3
5,57,3
5,58,4
5,1,1
5,10,4
5,11,1
5,16,2
5,17,1
5,27,2
5,32,3
5,42,3
5,43,1
5,45,2
5,46,3
5,55,2
5,9,2
5,12,2
5,13,1
5,24,1
5,14,2
5,51,1
5,2,1
