X,Y,Total_de_notas
2,0.0,18
2,32.0,8
2,64.0,8
2,96.0,8
2,128.0,7
2,160.0,8
2,192.0,8
2,224.0,8
2,240.0,8
2,256.0,8
2,272.0,6
2,288.0,8
2,304.0,6
2,320.0,8
2,336.0,8
2,352.0,8
2,368.0,8
2,384.0,8
2,400.0,8
2,416.0,8
2,432.0,8
2,448.0,8
2,464.0,8
2,480.0,8
2,496.0,8
2,512.0,8
2,528.0,7
2,544.0,8
2,560.0,8
2,576.0,8
2,592.0,8
2,608.0,8
2,624.0,8
2,640.0,8
2,656.0,8
2,672.0,8
2,704.0,8
2,736.0,8
2,752.0,8
2,768.0,8
2,800.0,8
2,816.0,8
2,832.0,8
2,848.0,8
2,864.0,8
2,880.0,8
2,896.0,8
2,912.0,8
2,928.0,8
2,944.0,8
2,960.0,8
2,976.0,8
2,992.0,8
2,1008.0,9
2,16.0,9
2,48.0,6
2,80.0,5
2,112.0,7
2,144.0,6
2,176.0,7
2,208.0,5
2,688.0,7
2,720.0,7
2,784.0,6
3,64.0,7
3,192.0,7
3,320.0,9
3,448.0,7
3,576.0,8
3,704.0,8
3,832.0,7
3,896.0,1
3,960.0,8
3,144.0,1
3,400.0,4
3,656.0,2
3,864.0,1
3,880.0,6
3,912.0,6
3,928.0,3
3,944.0,4
3,1008.0,2
3,336.0,1
3,112.0,2
3,368.0,3
3,432.0,2
3,624.0,3
3,976.0,3
3,992.0,3
3,48.0,1
3,176.0,1
3,208.0,1
3,352.0,2
3,384.0,1
3,416.0,1
3,736.0,1
3,480.0,1
3,496.0,1
3,688.0,1
4,0.0,10
4,32.0,6
4,128.0,2
4,160.0,4
4,208.0,7
4,224.0,3
4,240.0,2
4,272.0,1
4,384.0,2
4,416.0,4
4,464.0,8
4,512.0,6
4,544.0,7
4,624.0,7
4,640.0,2
4,672.0,5
4,720.0,7
4,736.0,2
4,752.0,3
4,800.0,7
4,928.0,2
4,976.0,7
4,256.0,7
4,288.0,5
4,496.0,5
4,688.0,2
4,768.0,7
4,880.0,7
4,912.0,5
4,112.0,5
4,144.0,4
4,368.0,6
4,400.0,4
4,432.0,2
4,656.0,1
4,944.0,3
4,1008.0,4
4,48.0,1
4,80.0,1
4,192.0,1
4,304.0,1
4,336.0,1
4,560.0,1
4,592.0,1
4,816.0,1
4,848.0,1
4,896.0,1
5,0.0,6
5,800.0,8
5,848.0,7
5,896.0,8
5,944.0,8
5,960.0,7
5,976.0,5
5,992.0,7
5,1008.0,7
5,400.0,4
5,416.0,4
5,448.0,5
5,464.0,3
5,480.0,6
5,496.0,1
5,768.0,2
5,784.0,3
5,832.0,2
5,864.0,3
5,912.0,3
5,928.0,4
5,16.0,1
5,160.0,4
5,176.0,1
5,256.0,2
5,272.0,1
5,432.0,2
5,512.0,3
5,672.0,3
5,688.0,1
5,720.0,2
5,736.0,3
5,880.0,2
5,144.0,2
5,192.0,2
5,208.0,1
5,384.0,1
5,224.0,2
5,816.0,1
5,32.0,1
