X,Y,Total_de_notas
2,2000.0,24
2,2248.0,6
2,2250.0,6
2,2498.0,12
2,2500.0,12
2,2748.0,6
2,2750.0,6
2,2998.0,24
2,3000.0,24
2,3248.0,6
2,3250.0,6
2,3498.0,12
2,3500.0,12
2,3748.0,6
2,3750.0,6
2,3998.0,29
2,0.0,26
2,998.0,8
2,1000.0,10
2,1498.0,12
2,1500.0,12
2,1998.0,23
2,498.0,3
2,500.0,3
3,2000.0,24
3,2236.0,6
3,2250.0,6
3,2486.0,6
3,2500.0,12
3,2736.0,6
3,2750.0,6
3,2986.0,6
3,3000.0,24
3,3236.0,6
3,3250.0,6
3,3486.0,6
3,3500.0,12
3,3736.0,6
3,3750.0,6
3,3986.0,6
3,0.0,26
3,948.0,8
3,1000.0,10
3,1474.0,6
3,1500.0,12
3,1974.0,12
3,2474.0,6
3,2974.0,6
3,3474.0,6
3,3974.0,6
3,474.0,3
3,500.0,3
3,1924.0,3
3,1898.0,4
3,3798.0,5
3,2948.0,12
3,3948.0,12
3,1424.0,6
3,1948.0,4
4,2000.0,24
4,2248.0,6
4,2250.0,6
4,2498.0,12
4,2500.0,12
4,2748.0,6
4,2750.0,6
4,2998.0,24
4,3000.0,24
4,3248.0,6
4,3250.0,6
4,3498.0,12
4,3500.0,12
4,3748.0,6
4,3750.0,6
4,3998.0,29
4,0.0,26
4,998.0,8
4,1000.0,10
4,1498.0,12
4,1500.0,12
4,1998.0,23
4,498.0,3
4,500.0,3
5,2000.0,24
5,2248.0,6
5,2250.0,6
5,2498.0,12
5,2500.0,12
5,2748.0,6
5,2750.0,6
5,2998.0,24
5,3000.0,24
5,3248.0,6
5,3250.0,6
5,3498.0,12
5,3500.0,12
5,3748.0,6
5,3750.0,6
5,3998.0,29
5,0.0,26
5,998.0,8
5,1000.0,10
5,1498.0,12
5,1500.0,12
5,1998.0,23
5,498.0,3
5,500.0,3
6,2000.0,24
6,2248.0,6
6,2250.0,6
6,2498.0,12
6,2500.0,12
6,2748.0,6
6,2750.0,6
6,2998.0,24
6,3000.0,24
6,3248.0,6
6,3250.0,6
6,3498.0,12
6,3500.0,12
6,3748.0,6
6,3750.0,6
6,3998.0,29
6,0.0,26
6,998.0,8
6,1000.0,10
6,1498.0,12
6,1500.0,12
6,1998.0,23
6,498.0,3
6,500.0,3
