X,Y,Total_de_notas
2,0,18
2,4,8
2,8,8
2,12,8
2,17,7
2,21,8
2,25,8
2,29,8
2,31,8
2,33,8
2,35,6
2,38,8
2,40,6
2,42,8
2,44,8
2,46,8
2,48,8
2,50,8
2,52,8
2,54,8
2,56,8
2,58,8
2,60,8
2,62,8
2,65,8
2,67,8
2,69,7
2,71,8
2,73,8
2,75,8
2,77,8
2,79,8
2,81,8
2,83,8
2,85,8
2,88,8
2,92,8
2,96,8
2,98,8
2,100,8
2,104,8
2,106,8
2,108,8
2,110,8
2,112,8
2,115,8
2,117,8
2,119,8
2,121,8
2,123,8
2,125,8
2,127,8
2,129,8
2,131,9
2,2,9
2,6,6
2,10,5
2,15,7
2,19,6
2,23,7
2,27,5
2,90,7
2,94,7
2,102,6
3,8,7
3,25,7
3,42,9
3,58,7
3,75,8
3,92,8
3,108,7
3,117,1
3,125,8
3,19,1
3,52,4
3,85,2
3,112,1
3,115,6
3,119,6
3,121,3
3,123,4
3,131,2
3,44,1
3,15,2
3,48,3
3,56,2
3,81,3
3,127,3
3,129,3
3,6,1
3,23,1
3,27,1
3,46,2
3,50,1
3,54,1
3,96,1
3,62,1
3,65,1
3,90,1
4,0,10
4,4,6
4,17,2
4,21,4
4,27,7
4,29,3
4,31,2
4,35,1
4,50,2
4,54,4
4,60,8
4,67,6
4,71,7
4,81,7
4,83,2
4,88,5
4,94,7
4,96,2
4,98,3
4,104,7
4,121,2
4,127,7
4,33,7
4,38,5
4,65,5
4,90,2
4,100,7
4,115,7
4,119,5
4,15,5
4,19,4
4,48,6
4,52,4
4,56,2
4,85,1
4,123,3
4,131,4
4,6,1
4,10,1
4,25,1
4,40,1
4,44,1
4,73,1
4,77,1
4,106,1
4,110,1
4,117,1
5,0,6
5,104,8
5,110,7
5,117,8
5,123,8
5,125,7
5,127,5
5,129,7
5,131,7
5,52,4
5,54,4
5,58,5
5,60,3
5,62,6
5,65,1
5,100,2
5,102,3
5,108,2
5,112,3
5,119,3
5,121,4
5,2,1
5,21,4
5,23,1
5,33,2
5,35,1
5,56,2
5,67,3
5,88,3
5,90,1
5,94,2
5,96,3
5,115,2
5,19,2
5,25,2
5,27,1
5,50,1
5,29,2
5,106,1
5,4,1
