X,Y,Total_de_notas
2,19.0,7
2,19.892,8
2,23.976,2
2,24.891999999999996,7
2,4.0,5
2,4.8919999999999995,5
2,8.983999999999998,4
2,9.892,7
2,13.999999999999998,4
2,14.892,6
2,18.984,4
2,19.884,4
2,23.983999999999998,3
2,4.026,1
2,4.8999999999999995,4
2,9.008000000000001,1
2,13.984,4
2,14.908,1
2,18.991999999999997,3
2,24.008,3
2,19.9,2
2,24.034,1
2,24.884,4
2,3.992,4
2,4.866,1
2,9.883999999999999,2
2,14.008,2
2,14.884,4
2,24.0,4
2,4.8839999999999995,6
2,9.0,4
2,14.9,3
2,23.992,4
2,8.975999999999999,2
2,9.899999999999999,3
2,13.975999999999999,2
2,18.976,1
2,19.907999999999998,3
2,24.908,4
2,3.9759999999999995,1
2,24.9,3
2,19.008,2
2,24.026,1
2,4.007999999999999,3
2,8.992,3
2,9.908,2
2,3.9839999999999995,2
2,13.991999999999999,2
3,0.008,16
3,0.992,6
3,1.666,16
3,2.0,9
3,2.658,6
3,2.9839999999999995,10
3,3.676,3
3,3.992,5
3,4.0,13
3,4.316,4
3,4.6499999999999995,4
3,5.0,16
3,5.007999999999999,11
3,5.992,5
3,6.675999999999999,5
3,6.992,4
3,7.6499999999999995,2
3,8.0,16
3,8.676,3
3,8.992,7
3,9.325999999999999,8
3,9.665999999999999,7
3,10.008,15
3,11.0,7
3,11.675999999999998,12
3,11.991999999999999,7
3,12.666,9
3,12.992,12
3,13.0,19
3,13.649999999999999,4
3,13.999999999999998,16
3,14.334,7
3,14.665999999999999,10
3,14.983999999999998,10
3,15.991999999999999,6
3,16.657999999999998,10
3,16.992,8
3,17.658,7
3,17.991999999999997,13
3,18.676,4
3,18.984,6
3,19.316,4
3,19.642,2
3,20.0,15
3,20.008,13
3,20.999999999999996,8
3,21.665999999999997,8
3,22.008,3
3,22.65,4
3,22.983999999999998,9
3,23.657999999999998,3
3,23.983999999999998,7
3,24.326,3
3,24.676,3
3,1.658,15
3,1.9919999999999998,6
3,2.666,5
3,3.0,19
3,3.65,1
3,3.9839999999999995,7
3,4.3340000000000005,10
3,4.6579999999999995,8
3,4.984,10
3,6.007999999999999,3
3,6.666,24
3,6.984,3
3,7.666,8
3,8.658,4
3,9.008000000000001,6
3,9.658,8
3,10.0,13
3,12.008,2
3,12.65,6
3,13.665999999999999,7
3,14.326,6
3,14.658,6
3,16.0,8
3,16.666,16
3,18.0,16
3,18.65,4
3,19.0,15
3,19.334,8
3,19.666,7
3,19.983999999999998,9
3,21.008,2
3,21.65,9
3,22.0,10
3,22.666,9
3,23.0,18
3,23.666,9
3,24.008,8
3,24.334,7
3,24.65,8
3,24.983999999999998,8
3,1.008,2
3,2.008,2
3,2.65,5
3,3.666,5
3,4.007999999999999,5
3,4.326,6
3,5.984,4
3,6.999999999999999,9
3,7.6579999999999995,7
3,8.008,5
3,8.65,4
3,8.983999999999998,4
3,9.991999999999999,8
3,11.008,3
3,11.649999999999999,8
3,13.658,4
3,14.008,8
3,14.341999999999999,3
3,14.65,4
3,15.008,12
3,17.984,8
3,18.665999999999997,6
3,18.991999999999997,6
3,19.326,7
3,19.657999999999998,5
3,20.016,3
3,20.983999999999998,3
3,21.991999999999997,6
3,24.316,6
3,24.666,6
3,0.0,11
3,0.976,2
