X,Y,Total_de_notas
2,49,17
2,51,17
2,61,16
2,0,18
2,10,16
2,13,15
2,23,14
2,25,14
2,36,14
2,38,14
2,62,2
2,12,1
3,0,44
3,3,20
3,4,43
3,5,20
3,7,20
3,8,39
3,9,20
3,10,31
3,11,20
3,12,21
3,13,44
3,15,21
3,17,41
3,18,20
3,20,54
3,22,19
3,23,30
3,24,20
3,25,20
3,26,44
3,28,20
3,30,41
3,31,21
3,32,21
3,33,41
3,35,19
3,36,33
3,37,20
3,38,66
3,41,20
3,43,52
3,45,21
3,46,42
3,48,20
3,49,51
3,50,21
3,51,43
3,54,21
3,55,41
3,56,22
3,58,22
3,59,39
3,61,48
3,62,20
3,63,21
3,21,6
3,2,3
3,44,9
3,53,2
3,60,1
3,34,1
3,1,2
3,6,2
3,27,2
3,29,2
3,52,2
3,57,1
3,14,1
3,16,1
3,19,2
4,51,25
4,52,20
4,55,24
4,56,20
4,59,24
4,61,20
4,0,33
4,1,8
4,4,24
4,5,18
4,8,21
4,10,18
4,13,38
4,17,23
4,18,17
4,20,23
4,23,17
4,26,38
4,30,38
4,33,25
4,35,3
4,38,25
4,39,18
4,43,39
4,46,24
4,48,18
4,36,14
4,7,3
4,12,3
4,25,4
4,29,4
4,42,3
4,63,2
4,16,2
4,21,2
5,21,8
5,22,27
5,23,29
5,25,31
5,26,16
5,27,14
5,28,10
5,30,13
5,31,15
5,33,24
5,35,24
5,36,28
5,38,36
5,45,18
5,46,21
5,47,8
5,48,32
5,49,20
5,51,27
5,58,16
5,59,20
5,60,26
5,61,36
5,0,29
5,7,14
5,8,17
5,9,20
5,10,23
5,12,12
5,13,21
5,14,7
5,15,5
5,17,13
5,18,13
5,19,6
5,20,26
5,32,12
5,34,4
5,1,4
5,2,5
5,3,4
5,4,9
5,5,9
5,16,4
5,37,6
5,40,12
5,41,11
5,42,9
5,43,20
5,44,5
5,50,8
5,53,7
5,54,5
5,55,15
5,56,10
5,63,10
5,24,4
5,29,3
5,62,1
6,53,89
6,56,46
6,57,46
6,61,49
6,62,83
6,2,90
6,5,45
6,6,45
6,10,63
6,11,63
6,14,22
6,15,70
6,18,90
6,23,64
6,24,62
6,27,45
6,28,45
6,31,90
6,36,120
6,40,44
6,41,44
6,43,31
6,44,57
6,49,120
6,54,3
6,21,2
6,19,2
