X,Y,Total_de_notas
2,0.0,6
2,892.0,9
2,976.0,2
2,1892.0,8
2,2000.0,9
2,2892.0,8
2,2984.0,6
2,3892.0,8
2,984.0,6
2,1884.0,7
2,1984.0,3
2,3026.0,2
2,3900.0,6
2,8.0,5
2,1908.0,4
2,1992.0,3
2,2884.0,6
2,3008.0,3
2,3992.0,6
2,900.0,3
2,1034.0,1
2,2866.0,1
2,3884.0,4
2,884.0,3
2,1000.0,6
2,3000.0,3
2,1900.0,1
2,2900.0,5
2,2992.0,3
2,992.0,4
2,1976.0,3
2,2976.0,2
2,3976.0,1
2,908.0,5
2,3984.0,2
2,2008.0,2
2,3908.0,1
2,1008.0,1
3,8.0,37
3,992.0,35
3,1666.0,51
3,2000.0,95
3,2658.0,38
3,2984.0,43
3,3676.0,15
3,3992.0,48
3,0.0,81
3,316.0,8
3,650.0,28
3,1000.0,60
3,1008.0,35
3,1992.0,39
3,2676.0,20
3,2992.0,28
3,3650.0,18
3,676.0,23
3,1326.0,5
3,2008.0,38
3,3000.0,67
3,666.0,46
3,1650.0,26
3,2334.0,8
3,2666.0,44
3,658.0,30
3,1658.0,36
3,3316.0,3
3,3642.0,3
3,2650.0,22
3,3658.0,36
3,3984.0,31
3,326.0,9
3,3666.0,51
3,984.0,39
3,1334.0,16
3,1984.0,28
3,3008.0,35
3,2326.0,12
3,3326.0,7
3,334.0,6
3,342.0,3
3,2016.0,1
3,2316.0,6
3,3976.0,4
3,3334.0,12
3,2342.0,1
3,3016.0,7
3,3342.0,4
3,1026.0,1
3,2976.0,3
3,1342.0,2
3,1676.0,12
3,1316.0,4
3,1642.0,1
3,1016.0,7
3,2642.0,2
3,976.0,5
3,3084.0,1
3,16.0,4
3,2250.0,1
3,2492.0,1
3,2734.0,1
3,3250.0,1
3,3508.0,2
3,3742.0,2
3,242.0,1
3,484.0,1
3,250.0,3
3,508.0,2
3,734.0,1
3,1242.0,1
3,1500.0,1
3,1750.0,2
3,2242.0,3
3,2500.0,3
3,2758.0,1
3,3242.0,1
3,492.0,1
3,742.0,1
3,1234.0,1
3,1508.0,1
3,1976.0,2
4,8.0,8
4,192.0,5
4,1666.0,9
4,1884.0,11
4,2992.0,10
4,3916.0,4
4,1026.0,1
4,1216.0,4
4,2650.0,7
4,2876.0,7
4,0.0,11
4,900.0,5
4,1984.0,13
4,2216.0,5
4,3676.0,7
4,3866.0,7
4,984.0,18
4,3200.0,2
4,676.0,3
4,876.0,4
4,2008.0,10
4,2866.0,5
4,3984.0,11
4,1876.0,7
4,3000.0,14
4,3876.0,6
4,1184.0,4
4,3992.0,15
4,884.0,13
4,2208.0,3
4,3658.0,5
4,3884.0,14
4,976.0,8
4,3208.0,3
4,666.0,8
4,2908.0,2
4,216.0,4
4,1650.0,7
4,3892.0,9
4,1016.0,2
4,1208.0,2
4,2676.0,2
4,2892.0,12
4,3976.0,6
4,892.0,7
4,1992.0,13
4,2184.0,7
4,1866.0,11
4,3184.0,6
4,708.0,1
4,200.0,2
4,1642.0,4
4,2984.0,13
4,1000.0,10
4,1234.0,2
4,2884.0,9
4,2200.0,4
4,1916.0,3
4,3008.0,8
4,650.0,6
4,2900.0,5
4,1466.0,2
4,2926.0,1
4,800.0,1
4,2466.0,1
4,2684.0,1
4,3908.0,3
4,1784.0,1
4,3450.0,2
4,992.0,5
4,2784.0,2
4,458.0,1
4,1908.0,4
4,3792.0,2
4,42.0,2
4,1458.0,2
4,2976.0,4
4,784.0,2
4,1008.0,9
4,2450.0,3
4,2658.0,10
4,1766.0,2
4,3434.0,1
4,3650.0,5
4,916.0,4
4,466.0,1
4,658.0,6
4,2000.0,14
4,3800.0,1
4,226.0,1
4,1676.0,3
4,3900.0,4
4,1192.0,5
4,2850.0,2
4,866.0,6
4,1976.0,2
4,3042.0,2
4,3192.0,3
4,2666.0,5
4,908.0,5
4,1900.0,3
4,184.0,6
4,1858.0,3
4,3850.0,1
4,2858.0,4
4,2176.0,1
4,3666.0,9
4,3216.0,6
4,1200.0,3
4,2226.0,1
4,1892.0,4
4,1176.0,3
4,2916.0,1
4,208.0,3
4,2192.0,1
4,642.0,2
4,858.0,3
4,1658.0,4
4,1850.0,2
4,850.0,1
4,3034.0,1
4,3966.0,1
4,3226.0,2
4,176.0,2
4,2758.0,1
4,450.0,1
4,3442.0,1
4,2766.0,1
4,3016.0,1
4,442.0,1
4,1926.0,1
4,3766.0,1
4,792.0,1
4,2642.0,2
4,1776.0,1
4,842.0,1
4,3858.0,1
4,2016.0,1
4,2166.0,1
4,2842.0,1
5,2008.0,7
5,2576.0,7
5,2650.0,10
5,2950.0,13
5,2984.0,20
5,3592.0,2
5,3666.0,13
5,3966.0,4
5,3992.0,18
5,558.0,6
5,676.0,6
5,934.0,3
5,1000.0,14
5,1584.0,9
5,1650.0,13
5,1950.0,17
5,1992.0,15
5,2884.0,3
5,2992.0,14
5,3566.0,8
5,3658.0,13
5,3950.0,13
5,0.0,15
5,892.0,3
5,1008.0,7
5,3676.0,4
5,3984.0,14
5,292.0,1
5,342.0,1
5,616.0,1
5,650.0,8
5,942.0,6
5,1908.0,2
5,700.0,1
5,1292.0,1
5,1300.0,2
5,1616.0,2
5,1658.0,16
5,2000.0,14
5,2900.0,2
5,2976.0,8
5,1984.0,15
5,2592.0,4
5,2658.0,10
5,2966.0,8
5,3576.0,4
5,576.0,12
5,658.0,15
5,958.0,5
5,1558.0,4
5,1942.0,6
5,2584.0,11
5,2684.0,3
5,2958.0,7
5,3584.0,8
5,3650.0,8
5,3958.0,6
5,858.0,1
5,992.0,9
5,3642.0,6
5,276.0,1
5,334.0,2
5,634.0,2
5,950.0,15
5,984.0,20
5,1876.0,3
5,666.0,11
5,1308.0,1
5,1600.0,1
5,1642.0,4
5,2892.0,5
5,3042.0,3
5,1116.0,2
5,1708.0,2
5,1958.0,7
5,3934.0,5
5,1592.0,5
5,1666.0,11
5,2126.0,1
5,2666.0,18
5,3892.0,1
5,42.0,3
5,566.0,6
5,2676.0,6
5,3108.0,3
5,3926.0,2
5,916.0,4
5,1976.0,6
