X,Y,Total_de_notas
2,750.0,14
2,998.0,25
2,1000.0,32
2,1248.0,12
2,1250.0,12
2,1748.0,15
2,1750.0,14
2,2248.0,4
2,2250.0,4
2,2748.0,8
2,2750.0,10
2,3248.0,8
2,3250.0,8
2,3998.0,26
2,0.0,25
2,1998.0,23
2,2000.0,20
2,2998.0,21
2,3000.0,23
2,3498.0,20
2,3500.0,20
2,3748.0,9
2,3750.0,15
2,498.0,20
2,2498.0,9
2,2500.0,12
2,500.0,16
2,1498.0,17
2,1500.0,16
2,248.0,6
2,250.0,6
2,748.0,10
2,666.0,4
2,1666.0,5
2,2666.0,5
3,0.0,24
3,3998.0,32
3,998.0,12
3,1000.0,18
3,1998.0,15
3,2000.0,12
3,2998.0,14
3,3000.0,20
3,3748.0,3
3,3750.0,4
3,3498.0,16
3,3500.0,15
3,1498.0,13
3,1500.0,13
3,2500.0,8
3,498.0,4
3,500.0,5
3,2498.0,2
3,666.0,1
3,1666.0,3
3,2666.0,1
3,248.0,2
3,250.0,2
3,748.0,4
3,750.0,4
3,1248.0,2
3,1250.0,2
3,1748.0,2
3,1750.0,2
3,1936.0,1
3,1938.0,1
3,2124.0,1
3,2126.0,1
3,2310.0,1
3,2312.0,1
3,2248.0,2
3,2748.0,2
3,2750.0,2
3,3248.0,2
3,3250.0,2
3,2332.0,1
4,0.0,21
4,3998.0,30
4,998.0,12
4,1000.0,16
4,1998.0,15
4,2000.0,11
4,2998.0,12
4,3000.0,16
4,3748.0,3
4,3750.0,3
4,498.0,5
4,500.0,7
4,1498.0,12
4,1500.0,13
4,2498.0,3
4,3498.0,13
4,3500.0,13
4,2500.0,9
4,750.0,7
4,1248.0,3
4,1250.0,3
4,1748.0,3
4,1750.0,3
4,248.0,2
4,250.0,2
4,748.0,6
4,1996.0,1
4,2244.0,1
4,2248.0,3
4,2494.0,1
4,2748.0,4
4,2750.0,4
4,1666.0,2
4,3248.0,2
4,3250.0,2
4,2332.0,1
5,0.0,25
5,3998.0,34
5,998.0,13
5,1000.0,16
5,1998.0,15
5,2000.0,12
5,2998.0,14
5,3000.0,20
5,3748.0,2
5,3750.0,2
5,498.0,8
5,500.0,11
5,1498.0,13
5,1500.0,14
5,2498.0,6
5,3498.0,14
5,3500.0,14
5,2500.0,11
5,248.0,2
5,250.0,2
5,748.0,4
5,750.0,4
5,1248.0,2
5,1250.0,2
5,1748.0,2
5,1750.0,2
5,1898.0,1
5,1900.0,1
5,2048.0,1
5,2050.0,1
5,2198.0,1
5,2200.0,1
5,2348.0,1
5,2350.0,1
5,1666.0,2
5,2248.0,2
5,666.0,1
5,2332.0,1
5,3248.0,1
5,3250.0,1
5,2748.0,1
5,2750.0,1
6,0.0,36
6,3998.0,26
6,2998.0,20
6,3000.0,9
6,3748.0,1
6,3750.0,1
6,2000.0,25
6,2498.0,4
6,2500.0,1
6,3498.0,8
6,3500.0,9
6,998.0,16
6,1000.0,24
6,1998.0,16
6,498.0,18
6,500.0,11
6,1498.0,19
6,1500.0,11
6,2120.0,1
6,2124.0,1
6,2244.0,1
6,2248.0,1
6,2368.0,1
6,2376.0,1
6,2496.0,1
6,2618.0,1
6,2624.0,1
6,2744.0,1
6,2750.0,2
6,2870.0,1
6,2874.0,1
6,2994.0,1
6,3118.0,1
6,3126.0,1
6,3246.0,1
6,3248.0,1
6,3368.0,1
6,3374.0,1
6,3494.0,1
6,2748.0,1
