X,Y,Total_de_notas
2,16,12
2,20,14
2,24,9
2,28,14
2,1,3
2,3,9
2,4,12
2,5,7
2,7,7
2,8,8
2,12,13
2,17,4
2,18,9
2,19,10
2,21,10
2,22,11
2,23,9
2,26,5
2,27,10
2,29,9
2,30,12
2,0,7
2,2,9
2,6,9
2,9,3
2,10,7
2,11,6
2,13,6
2,14,11
2,15,7
2,25,8
2,31,8
3,16,45
3,18,31
3,21,27
3,24,43
3,26,31
3,29,27
3,0,52
3,2,26
3,5,18
3,8,45
3,10,29
3,13,21
3,25,2
3,1,2
3,9,2
3,4,20
3,12,12
3,20,8
3,6,8
3,14,8
3,22,4
3,28,4
3,30,4
4,0,28
4,1,5
4,3,6
4,5,2
4,7,2
4,8,25
4,16,29
4,18,16
4,20,22
4,22,22
4,26,14
4,28,18
4,30,22
4,2,15
4,4,22
4,6,16
4,10,16
4,12,18
4,14,18
4,24,24
4,9,5
4,11,6
4,13,4
4,15,4
4,17,2
4,19,4
4,21,2
4,23,2
4,25,7
4,27,8
4,29,2
4,31,4
5,0,33
5,1,31
5,3,29
5,4,31
5,5,65
5,6,45
5,7,29
5,8,35
5,9,32
5,11,33
5,12,29
5,13,68
5,14,48
5,15,29
5,16,33
5,24,35
5,25,30
5,27,34
5,28,30
5,29,72
5,30,50
5,31,30
5,17,33
5,19,30
5,20,30
5,21,69
5,22,45
5,23,30
5,2,9
5,10,6
5,18,7
5,26,2
6,16,29
6,20,9
6,24,30
6,28,7
6,0,31
6,4,15
6,8,29
6,12,12
6,2,4
6,6,4
6,10,4
6,14,4
6,18,2
6,22,2
6,26,2
6,30,2
6,31,1
6,15,1
7,17,7
7,19,10
7,20,24
7,21,6
7,23,8
7,24,29
7,25,3
7,27,8
7,28,26
7,29,6
7,31,6
7,0,33
7,8,30
7,9,3
7,11,4
7,12,20
7,13,4
7,15,4
7,16,32
7,18,16
7,26,19
7,1,5
7,3,4
7,5,4
7,7,2
7,22,15
7,30,20
7,6,12
7,14,18
7,4,18
7,2,11
7,10,15
8,1,24
8,2,34
8,3,20
8,4,36
8,5,28
8,6,34
8,7,19
8,8,38
8,9,29
8,10,41
8,11,29
8,12,45
8,13,33
8,14,39
8,15,27
8,16,32
8,17,22
8,20,32
8,21,30
8,24,27
8,25,22
8,26,29
8,27,20
8,28,29
8,29,28
8,30,37
8,31,20
8,0,34
8,18,28
8,19,20
8,22,29
8,23,21
9,2,51
9,3,32
9,6,30
9,7,17
9,10,40
9,11,32
9,14,38
9,15,19
9,16,31
9,19,27
9,22,25
9,24,29
9,27,36
9,30,36
9,0,48
9,8,31
9,26,30
9,31,17
9,18,31
9,23,15
9,4,30
9,12,31
9,20,18
9,28,24
9,17,22
9,21,14
9,25,24
9,29,19
9,1,42
9,5,17
9,9,23
9,13,21
