X,Y,Total_de_notas
2,16,12
2,20,14
2,24,9
2,28,14
2,1,3
2,3,9
2,4,12
2,5,7
2,7,7
2,8,8
2,12,13
2,17,4
2,18,9
2,19,10
2,21,10
2,22,11
2,23,9
2,26,5
2,27,10
2,29,9
2,30,12
2,0,7
2,2,9
2,6,9
2,9,3
2,10,7
2,11,6
2,13,6
2,14,11
2,15,7
2,25,8
2,31,8
3,16,13
3,20,15
3,24,9
3,28,14
3,1,4
3,3,9
3,4,12
3,5,7
3,7,6
3,8,8
3,12,13
3,17,4
3,18,9
3,19,10
3,21,9
3,22,11
3,23,8
3,26,6
3,30,12
3,0,8
3,2,9
3,6,9
3,10,7
3,14,11
3,9,3
3,11,6
3,13,6
3,25,7
3,27,9
3,29,9
3,31,9
3,15,6
4,16,13
4,20,17
4,24,11
4,28,16
4,1,4
4,3,10
4,4,14
4,5,8
4,7,7
4,8,9
4,12,15
4,17,5
4,18,11
4,19,12
4,21,11
4,22,12
4,23,9
4,26,7
4,27,11
4,29,10
4,30,14
4,0,9
4,2,11
4,6,10
4,9,4
4,10,9
4,11,7
4,13,7
4,14,12
4,15,7
4,25,8
4,31,9
5,16,45
5,18,31
5,21,27
5,24,43
5,26,31
5,29,27
5,0,52
5,2,26
5,5,18
5,8,45
5,10,29
5,13,21
5,25,2
5,1,2
5,9,2
5,4,20
5,12,12
5,20,8
5,6,8
5,14,8
5,22,4
5,28,4
5,30,4
6,0,28
6,1,5
6,3,6
6,5,2
6,7,2
6,8,25
6,16,29
6,18,16
6,20,22
6,22,22
6,26,14
6,28,18
6,30,22
6,2,15
6,4,22
6,6,16
6,10,16
6,12,18
6,14,18
6,24,24
6,9,5
6,11,6
6,13,4
6,15,4
6,17,2
6,19,4
6,21,2
6,23,2
6,25,7
6,27,8
6,29,2
6,31,4
7,0,33
7,1,31
7,3,29
7,4,31
7,5,65
7,6,45
7,7,29
7,8,35
7,9,32
7,11,33
7,12,29
7,13,68
7,14,48
7,15,29
7,16,33
7,24,35
7,25,30
7,27,34
7,28,30
7,29,72
7,30,50
7,31,30
7,17,33
7,19,30
7,20,30
7,21,69
7,22,45
7,23,30
7,2,9
7,10,6
7,18,7
7,26,2
8,0,27
8,1,21
8,3,27
8,5,21
8,7,27
8,8,27
8,9,19
8,11,27
8,13,19
8,15,27
8,16,28
8,17,20
8,18,10
8,19,26
8,20,10
8,21,20
8,22,16
8,23,26
8,24,26
8,25,18
8,26,10
8,27,26
8,28,10
8,29,18
8,30,18
8,31,26
8,2,5
8,4,5
8,6,11
8,10,5
8,12,5
8,14,13
9,18,30
9,21,27
9,26,30
9,29,24
9,2,24
9,5,18
9,10,27
9,13,21
9,24,26
9,25,1
9,0,35
9,1,1
9,8,29
9,9,1
9,16,27
9,4,15
9,12,9
9,20,6
9,6,6
9,14,6
9,22,3
9,28,3
9,30,3
10,16,29
10,20,9
10,24,30
10,28,7
10,0,31
10,4,15
10,8,29
10,12,12
10,2,4
10,6,4
10,10,4
10,14,4
10,18,2
10,22,2
10,26,2
10,30,2
10,31,1
10,15,1
11,17,7
11,19,10
11,20,24
11,21,6
11,23,8
11,24,29
11,25,3
11,27,8
11,28,26
11,29,6
11,31,6
11,0,33
11,8,30
11,9,3
11,11,4
11,12,20
11,13,4
11,15,4
11,16,32
11,18,16
11,26,19
11,1,5
11,3,4
11,5,4
11,7,2
11,22,15
11,30,20
11,6,12
11,14,18
11,4,18
11,2,11
11,10,15
12,1,24
12,2,34
12,3,20
12,4,36
12,5,28
12,6,34
12,7,19
12,8,38
12,9,29
12,10,41
12,11,29
12,12,45
12,13,33
12,14,39
12,15,27
12,16,32
12,17,22
12,20,32
12,21,30
12,24,27
12,25,22
12,26,29
12,27,20
12,28,29
12,29,28
12,30,37
12,31,20
12,0,34
12,18,28
12,19,20
12,22,29
12,23,21
13,2,51
13,3,32
13,6,30
13,7,17
13,10,40
13,11,32
13,14,38
13,15,19
13,16,31
13,19,27
13,22,25
13,24,29
13,27,36
13,30,36
13,0,48
13,8,31
13,26,30
13,31,17
13,18,31
13,23,15
13,4,30
13,12,31
13,20,18
13,28,24
13,17,22
13,21,14
13,25,24
13,29,19
13,1,42
13,5,17
13,9,23
13,13,21
