X,Y,Total_de_notas
2,27,26
2,28,44
2,29,28
2,30,31
2,31,34
2,0,23
2,2,25
2,4,42
2,6,22
2,7,32
2,9,18
2,11,26
2,12,40
2,13,17
2,14,21
2,15,29
2,16,20
2,18,20
2,20,29
2,22,19
2,23,30
2,25,22
2,1,16
2,3,22
2,8,24
2,10,20
2,17,15
2,19,18
2,21,11
2,26,28
2,5,19
2,24,19
3,1,17
3,2,19
3,3,24
3,4,34
3,5,19
3,8,19
3,9,15
3,10,19
3,11,23
3,12,30
3,13,17
3,14,22
3,15,30
3,16,23
3,17,13
3,18,20
3,19,20
3,20,30
3,21,11
3,24,12
3,25,14
3,26,18
3,27,19
3,28,28
3,29,18
3,30,21
3,31,25
3,0,13
3,7,26
3,22,19
3,6,16
3,23,18
4,0,35
4,2,30
4,4,46
4,6,25
4,7,45
4,9,30
4,11,42
4,12,56
4,13,31
4,14,27
4,15,47
4,16,28
4,18,33
4,20,50
4,22,24
4,23,46
4,25,32
4,27,40
4,28,54
4,29,35
4,30,33
4,31,47
4,1,20
4,3,34
4,8,27
4,10,19
4,17,22
4,19,36
4,21,32
4,26,21
4,5,25
4,24,14
5,0,34
5,2,20
5,3,24
5,4,24
5,5,24
5,7,42
5,9,33
5,11,26
5,12,26
5,13,26
5,14,24
5,15,42
5,16,37
5,18,21
5,19,26
5,20,26
5,21,26
5,23,42
5,25,31
5,27,24
5,28,24
5,29,24
5,30,28
5,31,44
5,22,22
5,8,20
5,6,16
5,1,14
5,17,14
5,24,18
5,10,6
5,26,6
6,2,24
6,3,24
6,6,22
6,7,22
6,10,24
6,11,24
6,14,23
6,15,23
6,18,24
6,19,23
6,22,23
6,23,23
6,26,23
6,27,23
6,30,22
6,31,22
6,16,1
